Algorithm,Problem,M,D,Run,IGD,SourcePath,HV
IVFSPEA2,DTLZ1,3,7,1,0.0202110362554279,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_1.mat,0.842631982199662
IVFSPEA2,DTLZ1,3,7,2,0.020118503574657,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_2.mat,0.842098777453184
IVFSPEA2,DTLZ1,3,7,3,0.020192816814555,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_3.mat,0.84277689605014
IVFSPEA2,DTLZ1,3,7,4,0.0200685644654543,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_4.mat,0.842713193799919
IVFSPEA2,DTLZ1,3,7,5,0.0200807518647733,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_5.mat,0.842152902765851
IVFSPEA2,DTLZ1,3,7,6,0.0198449322194396,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_6.mat,0.8427703017882
IVFSPEA2,DTLZ1,3,7,7,0.0201472526407911,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_7.mat,0.84226901188963
IVFSPEA2,DTLZ1,3,7,8,0.0202352470713756,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_8.mat,0.841908987102198
IVFSPEA2,DTLZ1,3,7,9,0.0200609009790126,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_9.mat,0.842752888231869
IVFSPEA2,DTLZ1,3,7,10,0.0201099969144916,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_10.mat,0.842520211584968
