Algorithm,Problem,M,Run,IGD
IVFSPEA2,DTLZ1,3,1,0.0202110362554279
IVFSPEA2,DTLZ1,3,2,0.020118503574657
IVFSPEA2,DTLZ1,3,3,0.020192816814555
IVFSPEA2,DTLZ1,3,4,0.0200685644654543
IVFSPEA2,DTLZ1,3,5,0.0200807518647733
IVFSPEA2,DTLZ1,3,6,0.0198449322194396
IVFSPEA2,DTLZ1,3,7,0.0201472526407911
IVFSPEA2,DTLZ1,3,8,0.0202352470713756
IVFSPEA2,DTLZ1,3,9,0.0200609009790126
IVFSPEA2,DTLZ1,3,10,0.0201099969144916
IVFSPEA2,DTLZ1,3,11,0.0199397596095395
IVFSPEA2,DTLZ1,3,12,0.0201586168538579
IVFSPEA2,DTLZ1,3,13,0.020225797081147
IVFSPEA2,DTLZ1,3,14,0.0199933355552998
IVFSPEA2,DTLZ1,3,15,0.0202145756580363
IVFSPEA2,DTLZ1,3,16,0.0200356352757733
IVFSPEA2,DTLZ1,3,17,0.0200692055047352
IVFSPEA2,DTLZ1,3,18,0.0200085306090217
IVFSPEA2,DTLZ1,3,19,0.0203241343335816
IVFSPEA2,DTLZ1,3,20,0.020226986899582
IVFSPEA2,DTLZ1,3,21,0.020066761170585
IVFSPEA2,DTLZ1,3,22,0.0200112896581899
IVFSPEA2,DTLZ1,3,23,0.0201809939650747
IVFSPEA2,DTLZ1,3,24,0.0201328443128686
IVFSPEA2,DTLZ1,3,25,0.0200284929863844
IVFSPEA2,DTLZ1,3,26,0.0201904587710842
IVFSPEA2,DTLZ1,3,27,0.0202426179056093
IVFSPEA2,DTLZ1,3,28,0.0201670580913918
IVFSPEA2,DTLZ1,3,29,0.0201163198042293
IVFSPEA2,DTLZ1,3,30,0.0199419531505383
IVFSPEA2,DTLZ1,3,31,0.0198836246756778
IVFSPEA2,DTLZ1,3,32,0.0199107746907367
IVFSPEA2,DTLZ1,3,33,0.0200001217377861
IVFSPEA2,DTLZ1,3,34,0.0203372996132295
IVFSPEA2,DTLZ1,3,35,0.0199517794795981
IVFSPEA2,DTLZ1,3,36,0.0201147548221978
IVFSPEA2,DTLZ1,3,37,0.020033361881642
IVFSPEA2,DTLZ1,3,38,0.0200875235571413
IVFSPEA2,DTLZ1,3,39,0.0202594090208438
IVFSPEA2,DTLZ1,3,40,0.0197578328459044
IVFSPEA2,DTLZ1,3,41,0.0199576841393492
IVFSPEA2,DTLZ1,3,42,0.0201434598880662
IVFSPEA2,DTLZ1,3,43,0.0200900617987594
IVFSPEA2,DTLZ1,3,44,0.0200064118740378
IVFSPEA2,DTLZ1,3,45,0.0202428410101409
IVFSPEA2,DTLZ1,3,46,0.0201444422406446
IVFSPEA2,DTLZ1,3,47,0.0199568445809122
IVFSPEA2,DTLZ1,3,48,0.0201702407696694
IVFSPEA2,DTLZ1,3,49,0.0200889928965418
IVFSPEA2,DTLZ1,3,50,0.0202300683350113
IVFSPEA2,DTLZ1,3,51,0.020142488897977
IVFSPEA2,DTLZ1,3,52,0.0202119223083141
IVFSPEA2,DTLZ1,3,53,0.0199728864756772
IVFSPEA2,DTLZ1,3,54,0.0199541934522703
IVFSPEA2,DTLZ1,3,55,0.0201126020345406
IVFSPEA2,DTLZ1,3,56,0.0198663718647035
IVFSPEA2,DTLZ1,3,57,0.0201656844904306
IVFSPEA2,DTLZ1,3,58,0.0199089099487838
IVFSPEA2,DTLZ1,3,59,0.0201618743274384
IVFSPEA2,DTLZ1,3,60,0.0202370367567405
IVFSPEA2ABL1C,DTLZ1,3,1,0.0202999192165984
IVFSPEA2ABL1C,DTLZ1,3,2,0.020197902364244
IVFSPEA2ABL1C,DTLZ1,3,3,0.0203794132774899
IVFSPEA2ABL1C,DTLZ1,3,4,0.0200132883310212
IVFSPEA2ABL1C,DTLZ1,3,5,0.0202309787172782
IVFSPEA2ABL1C,DTLZ1,3,6,0.0200330657278745
IVFSPEA2ABL1C,DTLZ1,3,7,0.0201537455891307
IVFSPEA2ABL1C,DTLZ1,3,8,0.0201848073092977
IVFSPEA2ABL1C,DTLZ1,3,9,0.0199248406577308
IVFSPEA2ABL1C,DTLZ1,3,10,0.020231922501722
IVFSPEA2ABL1C,DTLZ1,3,11,0.0198870952216261
IVFSPEA2ABL1C,DTLZ1,3,12,0.0201849013679778
IVFSPEA2ABL1C,DTLZ1,3,13,0.0200513386432677
IVFSPEA2ABL1C,DTLZ1,3,14,0.0201461471919147
IVFSPEA2ABL1C,DTLZ1,3,15,0.0200352776875485
IVFSPEA2ABL1C,DTLZ1,3,16,0.0199343985981352
IVFSPEA2ABL1C,DTLZ1,3,17,0.019907299571244
IVFSPEA2ABL1C,DTLZ1,3,18,0.0202221640009274
IVFSPEA2ABL1C,DTLZ1,3,19,0.0200857930031557
IVFSPEA2ABL1C,DTLZ1,3,20,0.0199621596730116
IVFSPEA2ABL1C,DTLZ1,3,21,0.0203811213179362
IVFSPEA2ABL1C,DTLZ1,3,22,0.0197518205849249
IVFSPEA2ABL1C,DTLZ1,3,23,0.0200718409000761
IVFSPEA2ABL1C,DTLZ1,3,24,0.0201751111769841
IVFSPEA2ABL1C,DTLZ1,3,25,0.0200494211600472
IVFSPEA2ABL1C,DTLZ1,3,26,0.0201668137801791
IVFSPEA2ABL1C,DTLZ1,3,27,0.0202304267586254
IVFSPEA2ABL1C,DTLZ1,3,28,0.0200818072765397
IVFSPEA2ABL1C,DTLZ1,3,29,0.0203120588373544
IVFSPEA2ABL1C,DTLZ1,3,30,0.0198735713951198
IVFSPEA2ABL1C,DTLZ1,3,31,0.0200920125206429
IVFSPEA2ABL1C,DTLZ1,3,32,0.0199613768453744
IVFSPEA2ABL1C,DTLZ1,3,33,0.0200670768949968
IVFSPEA2ABL1C,DTLZ1,3,34,0.0201795564940651
IVFSPEA2ABL1C,DTLZ1,3,35,0.020114019705368
IVFSPEA2ABL1C,DTLZ1,3,36,0.0200638350337866
IVFSPEA2ABL1C,DTLZ1,3,37,0.0200065524338163
IVFSPEA2ABL1C,DTLZ1,3,38,0.0199871446272189
IVFSPEA2ABL1C,DTLZ1,3,39,0.0200074194184271
IVFSPEA2ABL1C,DTLZ1,3,40,0.0197596367690738
IVFSPEA2ABL1C,DTLZ1,3,41,0.0198602446321373
IVFSPEA2ABL1C,DTLZ1,3,42,0.0201494037601417
IVFSPEA2ABL1C,DTLZ1,3,43,0.0200944393515492
IVFSPEA2ABL1C,DTLZ1,3,44,0.0200486379221945
IVFSPEA2ABL1C,DTLZ1,3,45,0.0200577020701188
IVFSPEA2ABL1C,DTLZ1,3,46,0.0201181973550067
IVFSPEA2ABL1C,DTLZ1,3,47,0.0201659154654551
IVFSPEA2ABL1C,DTLZ1,3,48,0.0201422210857756
IVFSPEA2ABL1C,DTLZ1,3,49,0.0199500635798283
IVFSPEA2ABL1C,DTLZ1,3,50,0.0201259901921649
IVFSPEA2ABL1C,DTLZ1,3,51,0.0202610287181661
IVFSPEA2ABL1C,DTLZ1,3,52,0.0200669186978294
IVFSPEA2ABL1C,DTLZ1,3,53,0.0200890314085992
IVFSPEA2ABL1C,DTLZ1,3,54,0.0198960930429944
IVFSPEA2ABL1C,DTLZ1,3,55,0.0198860088428167
IVFSPEA2ABL1C,DTLZ1,3,56,0.0200633158870758
IVFSPEA2ABL1C,DTLZ1,3,57,0.0204511823374948
IVFSPEA2ABL1C,DTLZ1,3,58,0.0201110182824921
IVFSPEA2ABL1C,DTLZ1,3,59,0.0200741741680631
IVFSPEA2ABL1C,DTLZ1,3,60,0.0200376260918633
IVFSPEA2ABL4C,DTLZ1,3,1,0.0198738549889761
IVFSPEA2ABL4C,DTLZ1,3,2,0.0203385114458392
IVFSPEA2ABL4C,DTLZ1,3,3,0.0198332570252168
IVFSPEA2ABL4C,DTLZ1,3,4,0.0202962981589915
IVFSPEA2ABL4C,DTLZ1,3,5,0.0200300668858086
IVFSPEA2ABL4C,DTLZ1,3,6,0.0202768793816653
IVFSPEA2ABL4C,DTLZ1,3,7,0.0200741466154889
IVFSPEA2ABL4C,DTLZ1,3,8,0.0201461338861543
IVFSPEA2ABL4C,DTLZ1,3,9,0.0200648161627685
IVFSPEA2ABL4C,DTLZ1,3,10,0.0199298268197277
IVFSPEA2ABL4C,DTLZ1,3,11,0.0201000639027602
IVFSPEA2ABL4C,DTLZ1,3,12,0.0201595478885569
IVFSPEA2ABL4C,DTLZ1,3,13,0.020292025832492
IVFSPEA2ABL4C,DTLZ1,3,14,0.0205599734331761
IVFSPEA2ABL4C,DTLZ1,3,15,0.0201126456344325
