Problem,n_common,IVFSPEA2_formatted,IVFSPEA2_median,IVFSPEA2_iqr,ABL1C_formatted,ABL1C_median,ABL1C_iqr,ABL1C_indicator,ABL1C_pvalue,ABL4C_formatted,ABL4C_median,ABL4C_iqr,ABL4C_indicator,ABL4C_pvalue,ABLDOM_formatted,ABLDOM_median,ABLDOM_iqr,ABLDOM_indicator,ABLDOM_pvalue
ZDT1($M$=2),60,3.92(0.09)e-3,0.00392435260788799,9.40776858881147e-05,3.91(0.09)e-3,0.00391464198365197,8.95483156888878e-05,=,0.245002589098763,3.91(0.09)e-3,0.00391250286067111,8.85832541186477e-05,=,0.396630040818099,3.91(0.09)e-3,0.00391202118226225,8.79620508214603e-05,=,0.619896973716299
ZDT6($M$=2),60,3.07(0.03)e-3,0.00307406088002085,2.8178548648406e-05,3.08(0.03)e-3,0.00307730247869683,3.45367983658343e-05,=,0.711360855768088,3.07(0.02)e-3,0.00307344804445277,2.41869567439391e-05,=,0.473720198693831,3.07(0.03)e-3,0.00307384677717793,2.66760677261136e-05,=,0.782891000053501
WFG4($M$=2),60,1.27(0.02)e-2,0.0127139421313852,0.000222471051587113,1.28(0.03)e-2,0.0127695499716111,0.000250608997235176,=,0.405460169430137,1.27(0.02)e-2,0.0126935727093866,0.000230266996564081,=,0.997906098467279,1.28(0.03)e-2,0.0128051281437947,0.000260017818818481,+,0.0469656554931042
WFG9($M$=2),60,1.60(0.23)e-2,0.0160133668456968,0.00228155500060331,1.60(0.23)e-2,0.0159665775992005,0.00227140085412245,=,0.249289754383909,1.58(0.23)e-2,0.0158100036153014,0.00228734569664838,=,0.66882290331166,1.55(0.18)e-2,0.0155285321634458,0.00183133923555295,=,0.190353060247507
DTLZ1($M$=3),60,2.01(0.02)e-2,0.0201112994745161,0.000182459562167517,2.01(0.02)e-2,0.0200779907223014,0.000163976552459894,=,0.608831388640854,2.01(0.02)e-2,0.0200921227177461,0.000169929013262782,=,0.922647125394855,2.01(0.02)e-2,0.020053494524023,0.000175494150236596,=,0.214493807783517
DTLZ4($M$=3),60,5.45(48.68)e-2,0.0544786546091431,0.486803315060199,5.47(48.66)e-2,0.0547019722256726,0.486551361438585,=,0.362485702112936,5.47(48.68)e-2,0.0546911922156261,0.48675698738249,=,0.467264871379764,5.44(48.68)e-2,0.0544265253975636,0.486798482099309,=,0.951869436525277
DTLZ7($M$=3),60,6.01(0.27)e-2,0.0600530712417449,0.00265921097147453,6.01(0.21)e-2,0.060071049819287,0.00205468658304725,=,0.989530780745167,6.00(0.15)e-2,0.0599583245471037,0.00145533775298606,=,0.493377135888836,6.01(0.17)e-2,0.0600816274465341,0.00168811383815154,=,0.727063423412851
WFG2($M$=3),60,1.75(0.06)e-1,0.175000437860278,0.00638263424280666,1.74(0.09)e-1,0.17428043655336,0.00850890916690653,=,0.63104931664901,1.72(0.08)e-1,0.171877516787412,0.00769814734962748,-,0.00112683580364537,1.70(0.06)e-1,0.169740874090134,0.00558675921765905,-,5.01687259802366e-08
MaF1($M$=3),60,4.13(0.04)e-2,0.041320926167713,0.000447043115304697,4.13(0.05)e-2,0.0413110508598947,0.000533432855372773,=,0.750831884089117,4.12(0.05)e-2,0.0412459520833238,0.000454530562660621,=,0.297479000956443,4.13(0.06)e-2,0.0412773981531025,0.00057632827121544,=,0.930987446559567
MaF5($M$=3),60,2.45(12.49)e-1,0.244814140830081,1.24887970279038,2.46(15.14)e-1,0.24639479488525,1.51410910992578,=,0.445059781942872,2.46(12.49)e-1,0.245725045476163,1.24897556010414,=,0.623604884395689,2.45(12.49)e-1,0.244973979300853,1.24873955581821,=,0.914315300974892
