algo,problem,group,M,D,run,IGD,HV
IVFNSGAII,DTLZ1,DTLZ,2,6,4001,0.0022386908668058,0.5815396873270173
IVFNSGAII,DTLZ1,DTLZ,2,6,4002,0.0020677022048045,0.5818964111973226
IVFNSGAII,DTLZ1,DTLZ,2,6,4003,0.0022936260403327,0.5813868099705657
IVFNSGAII,DTLZ1,DTLZ,2,6,4004,0.0022433038254561,0.581338457215896
IVFNSGAII,DTLZ1,DTLZ,2,6,4005,0.0022403676378115,0.5815045768509455
IVFNSGAII,DTLZ1,DTLZ,2,6,4006,0.0021694538819857,0.581640805423766
IVFNSGAII,DTLZ1,DTLZ,2,6,4007,0.0021451491511451,0.5817204463196493
IVFNSGAII,DTLZ1,DTLZ,2,6,4008,0.002306877330741,0.5812426453020725
IVFNSGAII,DTLZ1,DTLZ,2,6,4009,0.002132876665134,0.5816420628425417
IVFNSGAII,DTLZ1,DTLZ,2,6,4010,0.0021649292248089,0.5816605188950887
IVFNSGAII,DTLZ1,DTLZ,2,6,4011,0.002212302269108,0.5813965819420293
IVFNSGAII,DTLZ1,DTLZ,2,6,4012,0.0023298885911334,0.5812875068684622
IVFNSGAII,DTLZ1,DTLZ,2,6,4013,0.0022044292994589,0.5816163693685739
IVFNSGAII,DTLZ1,DTLZ,2,6,4014,0.0022901548131627,0.5812483188797635
IVFNSGAII,DTLZ1,DTLZ,2,6,4015,0.0021744229190832,0.581674734058897
IVFNSGAII,DTLZ1,DTLZ,2,6,4016,0.0021309067038759,0.5817302065103309
IVFNSGAII,DTLZ1,DTLZ,2,6,4017,0.002303643272591,0.5810648089182087
IVFNSGAII,DTLZ1,DTLZ,2,6,4018,0.0022157803940463,0.5815283551459167
IVFNSGAII,DTLZ1,DTLZ,2,6,4019,0.0022904583895594,0.5814212904154523
IVFNSGAII,DTLZ1,DTLZ,2,6,4020,0.0022357609644482,0.5811916477111809
IVFNSGAII,DTLZ1,DTLZ,2,6,4021,0.0022941618225553,0.5812365710086735
IVFNSGAII,DTLZ1,DTLZ,2,6,4022,0.0021980691897123,0.5811485761871014
IVFNSGAII,DTLZ1,DTLZ,2,6,4023,0.0022633965199685,0.581451899445872
IVFNSGAII,DTLZ1,DTLZ,2,6,4024,0.0022521053686451,0.5815027500366406
IVFNSGAII,DTLZ1,DTLZ,2,6,4025,0.0023729811633203,0.5810186644049438
IVFNSGAII,DTLZ1,DTLZ,2,6,4026,0.0020434143864374,0.5819867913555077
IVFNSGAII,DTLZ1,DTLZ,2,6,4027,0.0022348041728586,0.5812077310991144
IVFNSGAII,DTLZ1,DTLZ,2,6,4028,0.0024355290998665,0.5810545689750672
