problem,M,group,metric,algo,algo_label,median,rank,is_best
DTLZ1,2,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.0018254769990161,2,False
DTLZ1,2,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.0022352825686534,3,False
DTLZ1,2,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.0017853263971455,1,True
DTLZ1,3,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.02010024719712675,1,True
DTLZ1,3,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.0267887526276709,3,False
DTLZ1,3,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.020558964174140652,2,False
DTLZ2,2,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.004120473202951299,2,False
DTLZ2,2,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.0051180607396139,3,False
DTLZ2,2,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.0039658782972563505,1,True
DTLZ2,3,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.05379498603267315,1,True
DTLZ2,3,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.06913979310062104,3,False
DTLZ2,3,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.0544639709058104,2,False
DTLZ3,2,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.0040556137085074,2,False
DTLZ3,2,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.00523553957247465,3,False
DTLZ3,2,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.003992677891399,1,True
DTLZ3,3,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.053060627028447105,1,True
DTLZ3,3,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.06839486324762264,3,False
DTLZ3,3,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.05449525248344895,2,False
DTLZ4,2,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.0041117571637087,2,False
DTLZ4,2,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.00517018917191145,3,False
DTLZ4,2,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.00396587800767795,1,True
DTLZ4,3,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.054834363480064055,2,False
DTLZ4,3,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.06709818277935375,3,False
DTLZ4,3,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.054465152393706195,1,True
DTLZ5,2,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.0041219535836446,2,False
DTLZ5,2,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.00514398641207065,3,False
DTLZ5,2,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.0039658783353843,1,True
DTLZ5,3,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.0042656421852896,1,True
DTLZ5,3,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.00596916234060795,2,False
DTLZ5,3,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.0128576074283162,3,False
DTLZ6,2,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.00405428253714855,2,False
DTLZ6,2,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.00568286809664615,3,False
DTLZ6,2,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.00396587390878545,1,True
DTLZ6,3,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.0040587931205209,1,True
DTLZ6,3,DTLZ,IGD,IVFNSGAII,IVF/NSGA-II,0.0059198443743177,2,False
DTLZ6,3,DTLZ,IGD,IVFNSGAIII,IVF/NSGA-III,0.019015649242571,3,False
DTLZ7,2,DTLZ,IGD,IVFSPEA2,IVF/SPEA2,0.0046966946645048,1,True
