section,pipeline,base_algo,problem,M,run,activation_gate_line,activation_gate,generation_cap_line,generation_cap,generation_cap_check_line,generation_cap_check,mating_budget_line,mating_budget,fixed_generation_budget,n_checkpoints_ivf,fe_min_ivf,fe_max_ivf,overshoot_ivf,n_checkpoints_base,fe_min_base,fe_max_base,overshoot_base,mean_abs_fe_drift,max_abs_fe_drift,exact_match_pct
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7001.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7002.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7003.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7004.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7005.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7006.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7007.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7008.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7009.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7010.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7011.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7012.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7013.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7014.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7015.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7016.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7017.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7018.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
empirical,IVFNSGAII,NSGAII,DTLZ5,2.0,7019.0,,,,,,,,,,100.0,1000.0,100000.0,0.0,100.0,1000.0,100000.0,0.0,0.0,0.0,100.0
