problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,n_runs,significant,sign
DTLZ1,2,DTLZ,0.5814773247412564,0.0003976847913524928,0.5814449342774568,0.00026474866840053846,0.7000329215079546,0.5344444444444445,30,False,=
DTLZ2,2,DTLZ,0.3465827137061309,0.00027258271967489645,0.34650945029598784,0.00022965277611436408,0.24494642950594425,0.6022222222222223,30,False,=
DTLZ3,2,DTLZ,0.3457084104387934,0.0013619216626450936,0.34565181408578033,0.0009786968109585237,0.7921590935438871,0.538888888888889,30,False,=
DTLZ4,2,DTLZ,0.3465858658878024,0.0003357268135257274,0.3464929320895054,0.1919158680498788,0.21293285302817822,0.581111111111111,30,False,=
DTLZ5,2,DTLZ,0.3465766311257402,0.00017775482028475897,0.3466251778427251,0.0002672724771700108,0.5561132747679949,0.4666666666666667,30,False,=
DTLZ6,2,DTLZ,0.3464637536554893,0.0001873401231429206,0.34643802349006647,0.0002669703532299228,0.871207794174552,0.5177777777777778,30,False,=
DTLZ7,2,DTLZ,0.24266665579794225,8.871562670148547e-05,0.24269399757250154,5.7763007596717264e-05,0.036434996873140335,0.3233333333333333,30,False,=
MaF1,2,MaF,0.5809211803164189,0.0002728464405518105,0.5809406010588687,0.00021405250025474665,0.9032264724373817,0.49111111111111116,30,False,=
MaF2,2,MaF,0.20685605426627457,0.00012144402987052105,0.20676634674054356,0.00011734770114574244,0.001038169488310814,0.7411111111111112,30,True,+
MaF3,2,MaF,0.7185950331214033,0.0011758631263610875,0.7179657828190689,0.0019418718703630988,0.0635564886033535,0.6655555555555556,30,False,=
MaF4,2,MaF,0.8180702208777572,0.0007016876590179022,0.8181463875101916,0.0006292220393947501,0.1459994912147522,0.4022222222222222,30,False,=
MaF5,2,MaF,0.34659850452062313,0.00031303238743740636,0.3464344351888292,0.00025848038780235116,0.13473508320748806,0.6255555555555555,30,False,=
MaF6,2,MaF,0.3470559556972094,0.0001965420541601426,0.34705148302035954,0.00021843651108949258,0.5698575973510742,0.5633333333333332,30,False,=
MaF7,2,MaF,0.24267756526266404,8.730181466512499e-05,0.24269793345756874,7.471010381340792e-05,0.17719271034002304,0.40111111111111114,30,False,=
WFG1,2,WFG,0.6947265363732968,0.0004421486041545908,0.693084621396634,0.0025812049014932725,1.30385160446167e-08,0.9533333333333334,30,True,+
WFG2,2,WFG,0.6323764281560327,0.0006335128523994316,0.6328904298540571,0.00042947822894245924,4.4075772166252136e-05,0.2,30,True,-
WFG3,2,WFG,0.5802299198489738,0.0005605206097116788,0.5805362570796954,0.0005123453676409984,0.017453668639063835,0.28666666666666674,30,False,=
WFG4,2,WFG,0.34668116381381286,0.00020027846128628513,0.3465080388509651,0.0003840807333802543,0.0032229889184236526,0.7466666666666666,30,True,+
WFG5,2,WFG,0.3128198670321404,0.00022081832450349115,0.31280026150008644,0.0001607985535665435,0.4771064817905426,0.5355555555555556,30,False,=
WFG6,2,WFG,0.29787763186294147,0.015623340899034333,0.30152734188470276,0.015378813793098911,0.46454504504799843,0.4477777777777778,30,False,=
WFG7,2,WFG,0.3454380670836672,0.0004522662673446809,0.3452031941490533,0.00030538786174172383,0.0012321043759584427,0.7288888888888889,30,True,+
WFG8,2,WFG,0.2889393042720053,0.0014897541497608247,0.28869690717100516,0.00154341877893438,0.7765688337385654,0.5533333333333333,30,False,=
WFG9,2,WFG,0.3414417450853091,0.001359168564404989,0.3429019140129448,0.001424042560104033,0.0003449581563472748,0.23666666666666672,30,True,-
ZDT1,2,ZDT,0.7192906982699823,0.0002569618579284505,0.7191927958575854,0.00036212302342786273,0.22064675763249397,0.6055555555555555,30,False,=
ZDT2,2,ZDT,0.44409501839807297,0.0002111849271285715,0.4439891177137394,0.0002013165063564637,0.06056523136794567,0.6400000000000001,30,False,=
ZDT3,2,ZDT,0.5993716881548994,9.488706728744134e-05,0.5994089928791264,8.65666669028764e-05,0.19092952087521553,0.4055555555555556,30,False,=
ZDT4,2,ZDT,0.7195292904035914,0.00036155972473261855,0.7196348037014116,0.0002882818768988882,0.2710056286305189,0.4322222222222222,30,False,=
ZDT6,2,ZDT,0.3880773626410836,0.00025407928433451854,0.3883784656156411,0.0001289099137432026,1.0244548320770264e-07,0.07777777777777774,30,True,-
DTLZ1,3,DTLZ,0.8253207176914206,0.0038845234335675993,0.8258250083460922,0.00274493305717205,0.6701805889606476,0.51,30,False,=
DTLZ2,3,DTLZ,0.5329769553814051,0.006078931346543692,0.5323494994806837,0.0065961267602447915,0.10943205840885639,0.6344444444444444,30,False,=
DTLZ3,3,DTLZ,0.5320722183585078,0.007154687405621973,0.5317493781125406,0.00995994446675219,0.7151329666376114,0.5299999999999999,30,False,=
DTLZ4,3,DTLZ,0.5358680613392822,0.0070353357708604625,0.5349263536620641,0.004192886033699161,0.8078304156661034,0.5144444444444445,30,False,=
DTLZ5,3,DTLZ,0.19914026040279065,0.00022898127691411974,0.19913948408828214,0.00018564890783548393,0.338741784915328,0.5366666666666667,30,False,=
DTLZ6,3,DTLZ,0.19940479182491835,0.00022446175554929892,0.19939348603668083,0.000249825887263605,0.5698575973510742,0.5166666666666667,30,False,=
DTLZ7,3,DTLZ,0.26974987108420057,0.0023499492780924003,0.26876440851687156,0.0031924135422078947,0.42795460671186447,0.5888888888888888,30,False,=
MaF1,3,MaF,0.20441724318792748,0.0020586133007056973,0.20399704334723157,0.0022174446261672975,0.3817984350025654,0.5566666666666668,30,False,=
MaF2,3,MaF,0.2358466212715043,0.0031420381683720244,0.23492234580271865,0.0018552102946614857,0.02084985189139843,0.6866666666666668,30,False,=
MaF3,3,MaF,0.9521888178942552,0.006141053901139837,0.9510339023944834,0.0052546194703668725,0.5027610473334789,0.5877777777777777,30,False,=
MaF4,3,MaF,0.5230934388241613,0.0037225539667986585,0.5218228511491729,0.0056321714972623615,0.370740607380867,0.5655555555555556,30,False,=
