problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,n_runs,significant,sign
DTLZ1,2,DTLZ,0.0017853263971455,3.683325337001681e-07,0.0017860342030849,2.67049150952511e-06,0.0021877754479646683,0.2033333333333334,30,True,+
DTLZ2,2,DTLZ,0.0039658782972563505,4.137623724545514e-09,0.003966037678771,3.254391897460074e-08,1.862645149230957e-09,0.0,30,True,+
DTLZ3,2,DTLZ,0.003992677891399,0.00021337056946772476,0.004221532596863999,0.0005288309198190249,0.013663241639733315,0.23999999999999996,30,True,+
DTLZ4,2,DTLZ,0.00396587800767795,7.737267399693382e-09,0.00396614944577285,1.4399198605997976e-06,0.02084985189139843,0.17444444444444449,30,True,+
DTLZ5,2,DTLZ,0.0039658783353843,4.071592399172708e-09,0.0039660358374029,3.152535160005909e-08,1.862645149230957e-09,0.0,30,True,+
DTLZ6,2,DTLZ,0.00396587390878545,3.4364132494441035e-09,0.0039659708133419,1.552745064990757e-08,1.862645149230957e-09,0.0,30,True,+
DTLZ7,2,DTLZ,0.0050737431736110495,8.158683904584997e-05,0.005099293316237,9.98140891653003e-05,0.017453668639063835,0.3344444444444445,30,True,+
MaF1,2,MaF,0.0035705739461352,3.644942625068842e-09,0.0035707083461242,2.6442354274496677e-08,1.862645149230957e-09,0.0,30,True,+
MaF2,2,MaF,0.00200625605064425,5.706406387522012e-08,0.0020068601352535497,1.368893427424779e-06,9.90256667137146e-05,0.07666666666666669,30,True,+
MaF3,2,MaF,0.0059987980298251,0.000284501700037975,0.0065322656606685,0.0008872935400094,7.994472980499268e-06,0.15,30,True,+
MaF4,2,MaF,0.0349873963936281,0.00018703105398572284,0.0351683950047435,0.000510051498076973,0.01453801617026329,0.29666666666666663,30,True,+
MaF5,2,MaF,0.0122304875256289,1.5437769900969456e-08,0.01223102565867675,2.6344223210492818e-06,0.0007296018302440643,0.09777777777777778,30,True,+
MaF6,2,MaF,0.0039658814126353,3.348825450451287e-09,0.0039660811795808,4.402416919988689e-08,1.862645149230957e-09,0.0,30,True,+
