pipeline,parameter,code_value,text_value,status,code_file
IVFNSGAII,C,0.07,0.07,match,IVFNSGAII.m
IVFNSGAII,Cycles,5,5,match,IVFNSGAII.m
IVFNSGAII,R,0.5,0.5,match,IVFNSGAII.m
IVFNSGAIII,C,0.10,0.10,match,IVFNSGAIII.m
IVFNSGAIII,Cycles,5,5,match,IVFNSGAIII.m
IVFNSGAIII,ivf_rate,0.10,0.10,match,IVFNSGAIII.m
IVFSPEA2,C,0.12,0.12,match,IVFSPEA2V2.m
IVFSPEA2,Cycles,2,2,match,IVFSPEA2V2.m
IVFSPEA2,EARN,0,,code-only,IVFSPEA2V2.m
IVFSPEA2,M_mut,0.3,0.3,match,IVFSPEA2V2.m
IVFSPEA2,N_Offspring,1,,code-only,IVFSPEA2V2.m
IVFSPEA2,R,0.225,0.225,match,IVFSPEA2V2.m
IVFSPEA2,V,0.1,0.1,match,IVFSPEA2V2.m
