Problem,M,D,Include
RWMOP1,2,4,1
RWMOP2,2,5,1
RWMOP3,2,3,1
RWMOP4,2,4,1
RWMOP5,2,4,1
RWMOP6,2,7,1
RWMOP7,2,4,1
RWMOP8,3,7,1
RWMOP9,2,4,1
RWMOP10,2,2,1
RWMOP12,2,4,1
RWMOP13,3,7,1
RWMOP14,2,5,1
RWMOP15,2,3,1
RWMOP16,2,2,1
RWMOP17,3,6,1
RWMOP18,2,3,1
RWMOP19,3,10,1
RWMOP20,2,4,1
RWMOP21,2,6,1
RWMOP22,2,9,1
RWMOP23,2,6,1
RWMOP24,3,9,1
RWMOP25,2,2,1
RWMOP26,2,3,1
RWMOP27,2,3,1
RWMOP28,2,7,1
RWMOP29,2,7,1
RWMOP30,2,25,1
RWMOP31,2,25,1
RWMOP32,2,25,1
RWMOP33,2,30,1
RWMOP34,2,30,1
RWMOP35,2,30,1
RWMOP36,2,28,1
RWMOP37,2,28,1
RWMOP38,2,28,1
RWMOP39,3,28,1
RWMOP40,2,34,1
RWMOP41,3,34,1
RWMOP42,2,34,1
RWMOP43,2,34,1
RWMOP44,3,34,1
RWMOP45,3,34,1
RWMOP47,2,18,1
RWMOP48,2,18,1
RWMOP49,3,18,1
RWMOP50,2,6,1
