case_id,problem,m,d,role
wfg6_m2,WFG6,2,11,synthetic
wfg7_m2,WFG7,2,11,synthetic
wfg8_m2,WFG8,2,11,synthetic
wfg9_m2,WFG9,2,11,synthetic
maf1_m2,MaF1,2,11,synthetic
maf2_m2,MaF2,2,11,synthetic
maf3_m2,MaF3,2,11,synthetic
maf4_m2,MaF4,2,11,synthetic
maf5_m2,MaF5,2,11,synthetic
maf6_m2,MaF6,2,11,synthetic
maf7_m2,MaF7,2,21,synthetic
dtlz1_m3,DTLZ1,3,7,synthetic
dtlz2_m3,DTLZ2,3,12,synthetic
dtlz3_m3,DTLZ3,3,12,synthetic
dtlz4_m3,DTLZ4,3,12,synthetic
dtlz5_m3,DTLZ5,3,12,synthetic
dtlz6_m3,DTLZ6,3,12,synthetic
