case_id,problem,m,d,role
dtlz7_m3,DTLZ7,3,22,synthetic
wfg1_m3,WFG1,3,12,synthetic
wfg2_m3,WFG2,3,12,synthetic
wfg3_m3,WFG3,3,12,synthetic
wfg4_m3,WFG4,3,12,synthetic
wfg5_m3,WFG5,3,12,synthetic
wfg6_m3,WFG6,3,12,synthetic
wfg7_m3,WFG7,3,12,synthetic
wfg8_m3,WFG8,3,12,synthetic
wfg9_m3,WFG9,3,12,synthetic
maf1_m3,MaF1,3,12,synthetic
maf2_m3,MaF2,3,12,synthetic
maf3_m3,MaF3,3,12,synthetic
maf4_m3,MaF4,3,12,synthetic
maf5_m3,MaF5,3,12,synthetic
maf6_m3,MaF6,3,12,synthetic
maf7_m3,MaF7,3,22,synthetic
