case_id,problem,m,d,role
zdt1_m2,ZDT1,2,30,synthetic
zdt2_m2,ZDT2,2,30,synthetic
zdt3_m2,ZDT3,2,30,synthetic
zdt4_m2,ZDT4,2,10,synthetic
zdt6_m2,ZDT6,2,10,synthetic
dtlz1_m2,DTLZ1,2,6,synthetic
dtlz2_m2,DTLZ2,2,11,synthetic
dtlz3_m2,DTLZ3,2,11,synthetic
dtlz4_m2,DTLZ4,2,11,synthetic
dtlz5_m2,DTLZ5,2,11,synthetic
dtlz6_m2,DTLZ6,2,11,synthetic
dtlz7_m2,DTLZ7,2,21,synthetic
dtlz1_m3,DTLZ1,3,7,synthetic
dtlz2_m3,DTLZ2,3,12,synthetic
dtlz3_m3,DTLZ3,3,12,synthetic
dtlz4_m3,DTLZ4,3,12,synthetic
dtlz5_m3,DTLZ5,3,12,synthetic
