case_id,problem,m,d,role
wfg1_m2,WFG1,2,11,synthetic
wfg2_m2,WFG2,2,11,synthetic
wfg3_m2,WFG3,2,11,synthetic
wfg4_m2,WFG4,2,11,synthetic
wfg5_m2,WFG5,2,11,synthetic
wfg6_m2,WFG6,2,11,synthetic
wfg7_m2,WFG7,2,11,synthetic
wfg8_m2,WFG8,2,11,synthetic
wfg9_m2,WFG9,2,11,synthetic
wfg1_m3,WFG1,3,12,synthetic
wfg2_m3,WFG2,3,12,synthetic
wfg3_m3,WFG3,3,12,synthetic
wfg4_m3,WFG4,3,12,synthetic
wfg5_m3,WFG5,3,12,synthetic
wfg6_m3,WFG6,3,12,synthetic
wfg7_m3,WFG7,3,12,synthetic
wfg8_m3,WFG8,3,12,synthetic
wfg9_m3,WFG9,3,12,synthetic
