case_id,problem,m,d,role
zdt1_m2,ZDT1,2,30,synthetic
zdt2_m2,ZDT2,2,30,synthetic
zdt3_m2,ZDT3,2,30,synthetic
zdt4_m2,ZDT4,2,10,synthetic
zdt6_m2,ZDT6,2,10,synthetic
dtlz1_m2,DTLZ1,2,6,synthetic
dtlz2_m2,DTLZ2,2,11,synthetic
dtlz3_m2,DTLZ3,2,11,synthetic
dtlz4_m2,DTLZ4,2,11,synthetic
dtlz5_m2,DTLZ5,2,11,synthetic
dtlz6_m2,DTLZ6,2,11,synthetic
dtlz7_m2,DTLZ7,2,21,synthetic
wfg1_m2,WFG1,2,11,synthetic
wfg2_m2,WFG2,2,11,synthetic
wfg3_m2,WFG3,2,11,synthetic
wfg4_m2,WFG4,2,11,synthetic
wfg5_m2,WFG5,2,11,synthetic
wfg6_m2,WFG6,2,11,synthetic
wfg7_m2,WFG7,2,11,synthetic
wfg8_m2,WFG8,2,11,synthetic
wfg9_m2,WFG9,2,11,synthetic
maf1_m2,MaF1,2,11,synthetic
maf2_m2,MaF2,2,11,synthetic
maf3_m2,MaF3,2,11,synthetic
maf4_m2,MaF4,2,11,synthetic
maf5_m2,MaF5,2,11,synthetic
maf6_m2,MaF6,2,11,synthetic
maf7_m2,MaF7,2,21,synthetic
dtlz1_m3,DTLZ1,3,7,synthetic
dtlz2_m3,DTLZ2,3,12,synthetic
dtlz3_m3,DTLZ3,3,12,synthetic
dtlz4_m3,DTLZ4,3,12,synthetic
dtlz5_m3,DTLZ5,3,12,synthetic
dtlz6_m3,DTLZ6,3,12,synthetic
dtlz7_m3,DTLZ7,3,22,synthetic
wfg1_m3,WFG1,3,12,synthetic
wfg2_m3,WFG2,3,12,synthetic
wfg3_m3,WFG3,3,12,synthetic
wfg4_m3,WFG4,3,12,synthetic
wfg5_m3,WFG5,3,12,synthetic
wfg6_m3,WFG6,3,12,synthetic
wfg7_m3,WFG7,3,12,synthetic
wfg8_m3,WFG8,3,12,synthetic
wfg9_m3,WFG9,3,12,synthetic
maf1_m3,MaF1,3,12,synthetic
maf2_m3,MaF2,3,12,synthetic
maf3_m3,MaF3,3,12,synthetic
maf4_m3,MaF4,3,12,synthetic
maf5_m3,MaF5,3,12,synthetic
maf6_m3,MaF6,3,12,synthetic
maf7_m3,MaF7,3,22,synthetic
rwmop9_m2,RWMOP9,2,4,engineering
