Grupo,Problema,Algoritmo,mean,std,min,max
DTLZ,DTLZ1_M2,IVFSPEA2,0.001837242247262578,4.399891604868457e-05,0.001810395515809724,0.00213449398142587
DTLZ,DTLZ1_M2,MFOSPEA2,0.0018429299684580667,3.565066967298444e-05,0.0018137512584186645,0.0020934971174523314
DTLZ,DTLZ1_M2,MOEAD,0.0017901621305256622,8.04268502488552e-06,0.0017853080577942646,0.0018195483380705703
DTLZ,DTLZ1_M2,NSGAII,0.00220892234520354,7.122927151490483e-05,0.002051462836575173,0.002370987640923055
DTLZ,DTLZ1_M2,NSGAIII,0.0017894872071004056,1.5221430887664642e-05,0.001785373968366962,0.0019010448484923915
DTLZ,DTLZ1_M2,SPEA2,0.001838859036663307,2.322893290322689e-05,0.0018161296998634058,0.0019526525657607692
DTLZ,DTLZ1_M2,SPEA2SDE,0.0019924707759925637,7.070228753187221e-05,0.0018368855091902652,0.00216055679434478
DTLZ,DTLZ1_M3,IVFSPEA2,0.020111655197105893,0.00014331163522212381,0.019767169516450172,0.020461836983106465
DTLZ,DTLZ1_M3,MFOSPEA2,0.02018421683503762,0.00014735795338265996,0.019830600321613455,0.02053724613805432
DTLZ,DTLZ1_M3,MOEAD,0.02056553186214783,1.115353392312119e-05,0.02055607612408786,0.020604629208110813
DTLZ,DTLZ1_M3,NSGAII,0.027057000361291165,0.0014275517494116963,0.024836453879347724,0.03377049830947451
DTLZ,DTLZ1_M3,NSGAIII,0.02056986513546334,2.0605663487936118e-05,0.020556170294094907,0.02066925510743476
DTLZ,DTLZ1_M3,SPEA2,0.020139883171201703,0.0001586944926780389,0.019874258805204333,0.020585877387716632
DTLZ,DTLZ1_M3,SPEA2SDE,0.020573877874849454,0.00028419195626940935,0.019922463339995446,0.02137208333806478
DTLZ,DTLZ2_M2,IVFSPEA2,0.004140706230048342,3.9389079979732925e-05,0.004055592750809589,0.0042232923088700546
DTLZ,DTLZ2_M2,MFOSPEA2,0.004173876298193615,4.859250179664733e-05,0.004085400084588918,0.004295002748191295
DTLZ,DTLZ2_M2,MOEAD,0.003965893196435486,9.195140767167945e-09,0.003965879019162733,0.003965943549366673
DTLZ,DTLZ2_M2,NSGAII,0.0051165886142408344,0.0002012087063162061,0.004754610275318592,0.0059747586493904365
DTLZ,DTLZ2_M2,NSGAIII,0.003966048661567821,4.9205578137086726e-08,0.003965994079714398,0.003966359971145431
DTLZ,DTLZ2_M2,SPEA2,0.004171692355478195,4.210463562027994e-05,0.0040819451613912545,0.004232093078322972
DTLZ,DTLZ2_M2,SPEA2SDE,0.009862777342722978,0.0010477196034871829,0.007998444490387302,0.014091749332397506
DTLZ,DTLZ2_M3,IVFSPEA2,0.053965029551822266,0.0004554758583581754,0.052684075672391244,0.05518410425501255
