instance,corr_obj_mean,conflict_degree,skewness_mean,kurtosis_mean,cv_mean,cv_max,prop_nondominated,dom_depth_mean,dom_depth_std,n_nondominated,front_n_clusters,front_connectivity,front_diameter,front_gap_ratio,front_curvature_var,autocorr_mean,autocorr_min,info_content,neutrality_ratio,fdc_mean,n_obj,n_var,M,D,n_runs_spea2,n_runs_ivf,median_igd_spea2,median_igd_ivf,delta_igd,delta_pct,wilcoxon_p,a12,label,label_binary
ZDT1_M2,-0.792034649408662,0.794219907369852,0.209186599997855,2.31060869165035,0.376356413323788,0.577493156664895,0.0081,204.3648,209.526644593147,16.2,1.8,1.0,4.6,3.75521651845627,0.205365818025212,0.992202247824462,0.990568058774116,1.99895987464587,0.0,0.359388010497003,2,30,M2,D30,60,120,0.0039724770508656,0.0038978538764517,7.462317441385034e-05,1.8785048587653892,1.175466869318512e-06,0.7225,HELPS,HELPS
ZDT2_M2,-0.124571152742788,0.542686928551046,-0.0056754067634403,2.36640405065227,0.33391470097971,0.577490881773577,0.0045,458.2928,411.776651001938,9.0,1.2,1.0,1.8,6.06136539416378,0.266647134239797,0.991138226858951,0.986938894623065,1.99876428459518,0.0,0.385473770768443,2,30,M2,D30,60,120,0.003913216408325,0.0038947394724836,1.8476935841350503e-05,0.4721674937793513,0.0080343416563958,0.6213888888888889,HELPS,HELPS
ZDT3_M2,-0.630707855276964,0.722644914153005,-0.0716830168989498,2.28975703467383,0.385737376048363,0.577495729555885,0.0107,274.8744,313.426211346643,21.4,2.0,1.0,5.8,5.7048757038815,0.237015492843935,0.990055198167404,0.989001571991049,1.99721906901969,0.0,0.294919646629912,2,30,M2,D30,60,120,0.0049225086321233,0.004846353495733,7.615513639029972e-05,1.5470797936915062,0.0004647711045426,0.6602777777777777,HELPS,HELPS
ZDT4_M2,-0.105677064019266,0.531556442993929,0.0337523017271991,2.36119305060321,0.384022990746048,0.577491295819887,0.0044,464.5221,419.817732064488,8.8,1.0,1.0,2.0,5.73899662996551,0.289347189610776,0.961396579516478,0.928142944314362,2.01540117535993,0.0,0.191303316875829,2,10,M2,D10,60,120,0.003863237008896,0.0038260799945228,3.7157014373200015e-05,0.96181037527951,1.9109054439838725e-06,0.7180555555555556,HELPS,HELPS
ZDT6_M2,-0.0297614545479065,0.519590273571906,-1.58527160491817,6.90061781609562,0.10035444473371,0.155614973094363,0.0046,489.7833,442.764133487984,9.2,1.0,1.0,2.0,2.51241186406217,0.213136063191626,0.989710572982511,0.986516340015256,2.14068769021461,0.0006006006006006,0.47456230766084,2,10,M2,D10,60,120,0.0030951263193759,0.0030668161220841,2.831019729179979e-05,0.9146701740272686,1.1199841457151098e-10,0.7952777777777778,HELPS,HELPS
DTLZ1_M2,-0.6496752013188,0.731350586860279,0.58989836088628,2.72248111822672,0.670955110081647,0.673875170285898,0.0072,270.0265,255.032212934927,14.4,1.2,1.0,3.2,9.32734287412196,0.238663260151678,0.970321510241319,0.96390714949841,1.99882417449244,0.0,0.514849141362285,2,6,M2,D6,60,120,0.0018341394130401,0.0018271759544302,6.96345860989986e-06,0.3796580870784449,6.459488593379475e-06,0.7065277777777778,HELPS,HELPS
DTLZ1_M3,-0.265045356761339,0.889320957594842,1.11690275749281,4.14132470437503,0.865951960130183,0.970287852757652,0.0258,112.7489,134.050651948878,51.6,4.0,1.0,8.8,7.99848235553812,0.0149174988299034,0.976438761919439,0.966026455498224,2.00238153718489,0.0,0.487417188254297,3,7,M3,D7,60,120,0.0201060942059937,0.0201021727025042,3.921503489497102e-06,0.019504054090864,0.3429885766567995,0.5434722222222222,NEUTRAL,NOT_HELPS
DTLZ2_M2,-0.81502455875614,0.796917570935218,-0.266271943289679,2.03312128635444,0.50480413413478,0.506801487188371,0.0109,198.6762,202.671042136872,21.8,2.0,1.0,6.4,2.75774535250353,0.212819807698066,0.991965785238193,0.989778062594898,2.00168311068107,0.0002002002002002,0.496070346117586,2,11,M2,D11,60,120,0.0041810038244619,0.00413172220108,4.92816233818999e-05,1.178703140465123,7.380194365893289e-08,0.7463888888888889,HELPS,HELPS
DTLZ2_M3,-0.342342530485633,0.931514163130787,0.238746307349386,2.15437240078069,0.661163739730876,0.74363912319437,0.0519,67.8551,94.2775562304615,103.8,9.8,0.976842105263158,12.8,4.35281481679416,0.0100269696064067,0.994578041744414,0.993190927881656,1.99724354854353,0.0,0.44825948076487,3,12,M3,D12,60,120,0.0542400005734188,0.0538133334273341,0.0004266671460846,0.7866282108665636,1.0079827304729518e-06,0.7238888888888889,HELPS,HELPS
DTLZ3_M2,-0.642917393629348,0.721299653502978,-0.0123294597880721,2.14480669278335,0.536298845527328,0.538168902643891,0.008,276.5,274.290172079143,16.0,1.8,1.0,4.6,4.72068884460489,0.232030006645275,0.979620466384269,0.975620471116857,1.99824813696012,0.0,0.372987980946995,2,11,M2,D11,60,120,0.0042939187025745,0.0040832709131588,0.0002106477894156,4.905723745757041,7.92858933691054e-10,0.7813888888888889,HELPS,HELPS
