Grupo,Problema,Numero,Algoritmo,Objetivos,IGD
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001810395515809724
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001810692058254503
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018107519025386488
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018107868687399105
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018149892035732962
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018166190493869234
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018166317230875872
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018166374664089226
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018178427462313166
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001819144599902927
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001819146797246607
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001819415101545112
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018200126017740104
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018202880069230715
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018205615422932613
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001820619916267454
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018215627586128612
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001821890333889148
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018224699829969013
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018224747616421616
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001823055438364737
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018234372927765268
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018242890413994498
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018252992482580392
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018256724454668216
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018257887126740964
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018259317154548378
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018263831753905471
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001827361783171358
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018273755593412773
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018273997603560886
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018277405663272319
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018277761383598801
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018282742982673916
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018284812551890006
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018285417194365099
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018294158596567393
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018303259349956881
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001830871628525817
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018309439464214376
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018316636115298269
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018317857274770305
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018330016486772305
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001834930910430635
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018351175877460153
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001836545746939427
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001836837453314937
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018409312451805192
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001842078238506199
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018438546514665344
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001844541129420621
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018490254130844662
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018564719531652773
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018566784458649767
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018583738604778521
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018746635631576786
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0018774692004458295
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.001889823288035387
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.0019289487224505436
DTLZ,DTLZ1,1,IVFSPEA2,M2,0.00213449398142587
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018137512584186645
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018181199579358736
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018200826134225
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018203181646124164
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018216890491195056
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018218632537219453
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.001821872550753325
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.001823198795053257
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018247762758782783
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.001824878004768989
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018262043041593053
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018263693348039506
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018265885053073113
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018295482656735622
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018295775210547423
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018305603186487662
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018308847449156282
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.00183286889616651
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018338357208610727
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018346025474167951
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018346716068605026
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018348283332031599
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018349686527555868
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018360378297879237
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018360878956567312
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018361646998297572
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018362843031917296
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018363252466491922
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018365820996563396
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018365916475860057
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018366350089555716
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018367145278256755
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018367370529672581
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018367425435686527
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018377675379480838
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018378001834020942
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018382508086074796
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018389614090912239
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018402705967678027
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018404071576740087
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018404705757785469
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.001840616073515767
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018426248886741384
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.001843102430057595
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018457893854951096
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018465775504951318
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018466318173165372
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018470017015056559
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.001849557205349927
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.001850430175352172
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018541963090738711
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018565455856874359
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018588003881902424
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018594919612948523
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018634284806659232
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018645941478838007
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018690646561315464
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0018762611888151091
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.001876697244071126
DTLZ,DTLZ1,1,MFOSPEA2,M2,0.0020934971174523314
DTLZ,DTLZ1,1,MOEAD,M2,0.0017853080577942646
DTLZ,DTLZ1,1,MOEAD,M2,0.001785315152186687
DTLZ,DTLZ1,1,MOEAD,M2,0.0017853170062237685
DTLZ,DTLZ1,1,MOEAD,M2,0.0017853172902795155
DTLZ,DTLZ1,1,MOEAD,M2,0.0017853257943829341
DTLZ,DTLZ1,1,MOEAD,M2,0.001785331173319458
DTLZ,DTLZ1,1,MOEAD,M2,0.0017853339782741408
DTLZ,DTLZ1,1,MOEAD,M2,0.0017853546567885032
DTLZ,DTLZ1,1,MOEAD,M2,0.0017853698808631706
DTLZ,DTLZ1,1,MOEAD,M2,0.0017853918415709532
DTLZ,DTLZ1,1,MOEAD,M2,0.0017853966584096038
DTLZ,DTLZ1,1,MOEAD,M2,0.0017853971465647631
DTLZ,DTLZ1,1,MOEAD,M2,0.0017854272614556887
DTLZ,DTLZ1,1,MOEAD,M2,0.0017854613407619273
DTLZ,DTLZ1,1,MOEAD,M2,0.001785462105807661
DTLZ,DTLZ1,1,MOEAD,M2,0.0017854641105256174
DTLZ,DTLZ1,1,MOEAD,M2,0.0017854753819573218
DTLZ,DTLZ1,1,MOEAD,M2,0.001785523174036182
DTLZ,DTLZ1,1,MOEAD,M2,0.0017855236604842836
DTLZ,DTLZ1,1,MOEAD,M2,0.0017856272339117716
DTLZ,DTLZ1,1,MOEAD,M2,0.0017857159592779824
DTLZ,DTLZ1,1,MOEAD,M2,0.001785768201268792
DTLZ,DTLZ1,1,MOEAD,M2,0.0017860339879474441
DTLZ,DTLZ1,1,MOEAD,M2,0.0017860473364762867
DTLZ,DTLZ1,1,MOEAD,M2,0.001786102924841451
DTLZ,DTLZ1,1,MOEAD,M2,0.0017861619884161448
DTLZ,DTLZ1,1,MOEAD,M2,0.0017862678049429931
DTLZ,DTLZ1,1,MOEAD,M2,0.0017865358167209137
DTLZ,DTLZ1,1,MOEAD,M2,0.0017865398353375667
DTLZ,DTLZ1,1,MOEAD,M2,0.0017865430401881426
DTLZ,DTLZ1,1,MOEAD,M2,0.001786692164178195
DTLZ,DTLZ1,1,MOEAD,M2,0.0017867110570228637
DTLZ,DTLZ1,1,MOEAD,M2,0.001786733128679191
DTLZ,DTLZ1,1,MOEAD,M2,0.0017868055981203777
DTLZ,DTLZ1,1,MOEAD,M2,0.001787059144210759
DTLZ,DTLZ1,1,MOEAD,M2,0.001787159511425699
DTLZ,DTLZ1,1,MOEAD,M2,0.0017872292709376879
DTLZ,DTLZ1,1,MOEAD,M2,0.0017874218164738323
DTLZ,DTLZ1,1,MOEAD,M2,0.0017877594339876038
DTLZ,DTLZ1,1,MOEAD,M2,0.0017880379740785116
DTLZ,DTLZ1,1,MOEAD,M2,0.0017882526164548402
DTLZ,DTLZ1,1,MOEAD,M2,0.0017886799244293
DTLZ,DTLZ1,1,MOEAD,M2,0.0017887224458133374
DTLZ,DTLZ1,1,MOEAD,M2,0.0017888188572725732
DTLZ,DTLZ1,1,MOEAD,M2,0.0017891871820640993
DTLZ,DTLZ1,1,MOEAD,M2,0.001789948577439558
DTLZ,DTLZ1,1,MOEAD,M2,0.0017905628014648236
DTLZ,DTLZ1,1,MOEAD,M2,0.00179073166169025
DTLZ,DTLZ1,1,MOEAD,M2,0.001793349242552714
