Grupo,Algoritmo,Problema,Run,M,D,HV,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,1,M2,D6,0.5824942104292263,IVFSPEA2_DTLZ1_M2_D6_1.mat
DTLZ,IVFSPEA2,DTLZ1,2,M2,D6,0.582437840267048,IVFSPEA2_DTLZ1_M2_D6_2.mat
DTLZ,IVFSPEA2,DTLZ1,3,M2,D6,0.5825207712031464,IVFSPEA2_DTLZ1_M2_D6_3.mat
DTLZ,IVFSPEA2,DTLZ1,4,M2,D6,0.5820156640161344,IVFSPEA2_DTLZ1_M2_D6_4.mat
DTLZ,IVFSPEA2,DTLZ1,5,M2,D6,0.5824956422687573,IVFSPEA2_DTLZ1_M2_D6_5.mat
DTLZ,IVFSPEA2,DTLZ1,6,M2,D6,0.5823130538032322,IVFSPEA2_DTLZ1_M2_D6_6.mat
DTLZ,IVFSPEA2,DTLZ1,7,M2,D6,0.5825320800579007,IVFSPEA2_DTLZ1_M2_D6_7.mat
DTLZ,IVFSPEA2,DTLZ1,8,M2,D6,0.5823910454189277,IVFSPEA2_DTLZ1_M2_D6_8.mat
DTLZ,IVFSPEA2,DTLZ1,9,M2,D6,0.5822631049173459,IVFSPEA2_DTLZ1_M2_D6_9.mat
DTLZ,IVFSPEA2,DTLZ1,10,M2,D6,0.5824184324903527,IVFSPEA2_DTLZ1_M2_D6_10.mat
DTLZ,IVFSPEA2,DTLZ1,11,M2,D6,0.582395488195448,IVFSPEA2_DTLZ1_M2_D6_11.mat
DTLZ,IVFSPEA2,DTLZ1,12,M2,D6,0.5824907393935954,IVFSPEA2_DTLZ1_M2_D6_12.mat
DTLZ,IVFSPEA2,DTLZ1,13,M2,D6,0.5824840701943113,IVFSPEA2_DTLZ1_M2_D6_13.mat
DTLZ,IVFSPEA2,DTLZ1,14,M2,D6,0.5824906991019962,IVFSPEA2_DTLZ1_M2_D6_14.mat
DTLZ,IVFSPEA2,DTLZ1,15,M2,D6,0.5822810113289401,IVFSPEA2_DTLZ1_M2_D6_15.mat
DTLZ,IVFSPEA2,DTLZ1,16,M2,D6,0.5819049048184579,IVFSPEA2_DTLZ1_M2_D6_16.mat
