Grupo,Algoritmo,Problema,Run,M,D,IGD,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,1,M2,D6,0.0018224747616421616,IVFSPEA2_DTLZ1_M2_D6_1.mat
DTLZ,IVFSPEA2,DTLZ1,1,M3,D7,0.020134600443971116,IVFSPEA2_DTLZ1_M3_D7_1.mat
DTLZ,IVFSPEA2,DTLZ1,2,M3,D7,0.020255437365889743,IVFSPEA2_DTLZ1_M3_D7_2.mat
DTLZ,IVFSPEA2,DTLZ1,2,M2,D6,0.0018409312451805192,IVFSPEA2_DTLZ1_M2_D6_2.mat
DTLZ,IVFSPEA2,DTLZ1,3,M3,D7,0.019805836045693227,IVFSPEA2_DTLZ1_M3_D7_3.mat
DTLZ,IVFSPEA2,DTLZ1,3,M2,D6,0.0018166190493869234,IVFSPEA2_DTLZ1_M2_D6_3.mat
DTLZ,IVFSPEA2,DTLZ1,4,M3,D7,0.02007598094249916,IVFSPEA2_DTLZ1_M3_D7_4.mat
DTLZ,IVFSPEA2,DTLZ1,4,M2,D6,0.0018583738604778521,IVFSPEA2_DTLZ1_M2_D6_4.mat
DTLZ,IVFSPEA2,DTLZ1,5,M2,D6,0.001830871628525817,IVFSPEA2_DTLZ1_M2_D6_5.mat
DTLZ,IVFSPEA2,DTLZ1,5,M3,D7,0.0198989503200479,IVFSPEA2_DTLZ1_M3_D7_5.mat
DTLZ,IVFSPEA2,DTLZ1,6,M2,D6,0.0018438546514665344,IVFSPEA2_DTLZ1_M2_D6_6.mat
DTLZ,IVFSPEA2,DTLZ1,6,M3,D7,0.019767169516450172,IVFSPEA2_DTLZ1_M3_D7_6.mat
DTLZ,IVFSPEA2,DTLZ1,7,M3,D7,0.020104267709002217,IVFSPEA2_DTLZ1_M3_D7_7.mat
DTLZ,IVFSPEA2,DTLZ1,7,M2,D6,0.001810692058254503,IVFSPEA2_DTLZ1_M2_D6_7.mat
DTLZ,IVFSPEA2,DTLZ1,8,M2,D6,0.001821890333889148,IVFSPEA2_DTLZ1_M2_D6_8.mat
DTLZ,IVFSPEA2,DTLZ1,8,M3,D7,0.02022826961467444,IVFSPEA2_DTLZ1_M3_D7_8.mat
DTLZ,IVFSPEA2,DTLZ1,9,M2,D6,0.0018256724454668216,IVFSPEA2_DTLZ1_M2_D6_9.mat
DTLZ,IVFSPEA2,DTLZ1,9,M3,D7,0.020091029379953527,IVFSPEA2_DTLZ1_M3_D7_9.mat
DTLZ,IVFSPEA2,DTLZ1,10,M3,D7,0.020007269032330414,IVFSPEA2_DTLZ1_M3_D7_10.mat
DTLZ,IVFSPEA2,DTLZ1,10,M2,D6,0.0018277405663272319,IVFSPEA2_DTLZ1_M2_D6_10.mat
DTLZ,IVFSPEA2,DTLZ1,11,M3,D7,0.020139001619209267,IVFSPEA2_DTLZ1_M3_D7_11.mat
DTLZ,IVFSPEA2,DTLZ1,11,M2,D6,0.001820619916267454,IVFSPEA2_DTLZ1_M2_D6_11.mat
DTLZ,IVFSPEA2,DTLZ1,12,M3,D7,0.020230345326434966,IVFSPEA2_DTLZ1_M3_D7_12.mat
DTLZ,IVFSPEA2,DTLZ1,12,M2,D6,0.0018263831753905471,IVFSPEA2_DTLZ1_M2_D6_12.mat
DTLZ,IVFSPEA2,DTLZ1,13,M2,D6,0.001823055438364737,IVFSPEA2_DTLZ1_M2_D6_13.mat
DTLZ,IVFSPEA2,DTLZ1,13,M3,D7,0.02017561796973461,IVFSPEA2_DTLZ1_M3_D7_13.mat
DTLZ,IVFSPEA2,DTLZ1,14,M3,D7,0.02019187138366184,IVFSPEA2_DTLZ1_M3_D7_14.mat
DTLZ,IVFSPEA2,DTLZ1,14,M2,D6,0.0018234372927765268,IVFSPEA2_DTLZ1_M2_D6_14.mat
DTLZ,IVFSPEA2,DTLZ1,15,M3,D7,0.020007851302007627,IVFSPEA2_DTLZ1_M3_D7_15.mat
DTLZ,IVFSPEA2,DTLZ1,15,M2,D6,0.0018273997603560886,IVFSPEA2_DTLZ1_M2_D6_15.mat
DTLZ,IVFSPEA2,DTLZ1,16,M2,D6,0.0018566784458649767,IVFSPEA2_DTLZ1_M2_D6_16.mat
DTLZ,IVFSPEA2,DTLZ1,16,M3,D7,0.020088181700133437,IVFSPEA2_DTLZ1_M3_D7_16.mat
DTLZ,IVFSPEA2,DTLZ1,17,M3,D7,0.020016326513917555,IVFSPEA2_DTLZ1_M3_D7_17.mat
DTLZ,IVFSPEA2,DTLZ1,17,M2,D6,0.0018242890413994498,IVFSPEA2_DTLZ1_M2_D6_17.mat
DTLZ,IVFSPEA2,DTLZ1,18,M3,D7,0.020068527873773917,IVFSPEA2_DTLZ1_M3_D7_18.mat
DTLZ,IVFSPEA2,DTLZ1,18,M2,D6,0.0018746635631576786,IVFSPEA2_DTLZ1_M2_D6_18.mat
DTLZ,IVFSPEA2,DTLZ1,19,M3,D7,0.019938235476730265,IVFSPEA2_DTLZ1_M3_D7_19.mat
DTLZ,IVFSPEA2,DTLZ1,19,M2,D6,0.0018774692004458295,IVFSPEA2_DTLZ1_M2_D6_19.mat
DTLZ,IVFSPEA2,DTLZ1,20,M3,D7,0.020015587716458668,IVFSPEA2_DTLZ1_M3_D7_20.mat
DTLZ,IVFSPEA2,DTLZ1,20,M2,D6,0.001889823288035387,IVFSPEA2_DTLZ1_M2_D6_20.mat
DTLZ,IVFSPEA2,DTLZ1,21,M3,D7,0.02025770672494264,IVFSPEA2_DTLZ1_M3_D7_21.mat
DTLZ,IVFSPEA2,DTLZ1,21,M2,D6,0.0018564719531652773,IVFSPEA2_DTLZ1_M2_D6_21.mat
DTLZ,IVFSPEA2,DTLZ1,22,M3,D7,0.0200679862229535,IVFSPEA2_DTLZ1_M3_D7_22.mat
DTLZ,IVFSPEA2,DTLZ1,22,M2,D6,0.0018166374664089226,IVFSPEA2_DTLZ1_M2_D6_22.mat
DTLZ,IVFSPEA2,DTLZ1,23,M3,D7,0.020193400566030268,IVFSPEA2_DTLZ1_M3_D7_23.mat
DTLZ,IVFSPEA2,DTLZ1,23,M2,D6,0.0018330016486772305,IVFSPEA2_DTLZ1_M2_D6_23.mat
DTLZ,IVFSPEA2,DTLZ1,24,M3,D7,0.02017773220904439,IVFSPEA2_DTLZ1_M3_D7_24.mat
DTLZ,IVFSPEA2,DTLZ1,24,M2,D6,0.0018316636115298269,IVFSPEA2_DTLZ1_M2_D6_24.mat
DTLZ,IVFSPEA2,DTLZ1,25,M3,D7,0.020132046184938798,IVFSPEA2_DTLZ1_M3_D7_25.mat
DTLZ,IVFSPEA2,DTLZ1,25,M2,D6,0.0018166317230875872,IVFSPEA2_DTLZ1_M2_D6_25.mat
DTLZ,IVFSPEA2,DTLZ1,26,M2,D6,0.0018273755593412773,IVFSPEA2_DTLZ1_M2_D6_26.mat
DTLZ,IVFSPEA2,DTLZ1,26,M3,D7,0.02029685062488833,IVFSPEA2_DTLZ1_M3_D7_26.mat
DTLZ,IVFSPEA2,DTLZ1,27,M2,D6,0.0018309439464214376,IVFSPEA2_DTLZ1_M2_D6_27.mat
DTLZ,IVFSPEA2,DTLZ1,27,M3,D7,0.020264145295176623,IVFSPEA2_DTLZ1_M3_D7_27.mat
DTLZ,IVFSPEA2,DTLZ1,28,M3,D7,0.020211902507742494,IVFSPEA2_DTLZ1_M3_D7_28.mat
DTLZ,IVFSPEA2,DTLZ1,28,M2,D6,0.0018149892035732962,IVFSPEA2_DTLZ1_M2_D6_28.mat
DTLZ,IVFSPEA2,DTLZ1,29,M2,D6,0.0018284812551890006,IVFSPEA2_DTLZ1_M2_D6_29.mat
DTLZ,IVFSPEA2,DTLZ1,29,M3,D7,0.02010375359468179,IVFSPEA2_DTLZ1_M3_D7_29.mat
DTLZ,IVFSPEA2,DTLZ1,30,M3,D7,0.02004282013129656,IVFSPEA2_DTLZ1_M3_D7_30.mat
DTLZ,IVFSPEA2,DTLZ1,30,M2,D6,0.0018215627586128612,IVFSPEA2_DTLZ1_M2_D6_30.mat
DTLZ,IVFSPEA2,DTLZ1,31,M3,D7,0.019877565899355375,IVFSPEA2_DTLZ1_M3_D7_31.mat
DTLZ,IVFSPEA2,DTLZ1,31,M2,D6,0.0018351175877460153,IVFSPEA2_DTLZ1_M2_D6_31.mat
