Grupo,Algoritmo,Problema,Run,M,D,IGDp,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,1,M2,D6,0.0012953697273432035,IVFSPEA2_DTLZ1_M2_D6_1.mat
DTLZ,IVFSPEA2,DTLZ1,2,M2,D6,0.001312421031336038,IVFSPEA2_DTLZ1_M2_D6_2.mat
DTLZ,IVFSPEA2,DTLZ1,3,M2,D6,0.0012873406842821267,IVFSPEA2_DTLZ1_M2_D6_3.mat
DTLZ,IVFSPEA2,DTLZ1,4,M2,D6,0.0014411837442894326,IVFSPEA2_DTLZ1_M2_D6_4.mat
DTLZ,IVFSPEA2,DTLZ1,5,M2,D6,0.001294942218579265,IVFSPEA2_DTLZ1_M2_D6_5.mat
DTLZ,IVFSPEA2,DTLZ1,6,M2,D6,0.00135028258902456,IVFSPEA2_DTLZ1_M2_D6_6.mat
DTLZ,IVFSPEA2,DTLZ1,7,M2,D6,0.0012839137535414864,IVFSPEA2_DTLZ1_M2_D6_7.mat
DTLZ,IVFSPEA2,DTLZ1,8,M2,D6,0.0013266584550308289,IVFSPEA2_DTLZ1_M2_D6_8.mat
DTLZ,IVFSPEA2,DTLZ1,9,M2,D6,0.0013655732117180007,IVFSPEA2_DTLZ1_M2_D6_9.mat
DTLZ,IVFSPEA2,DTLZ1,10,M2,D6,0.0013183310274996285,IVFSPEA2_DTLZ1_M2_D6_10.mat
DTLZ,IVFSPEA2,DTLZ1,11,M2,D6,0.0013253294388296244,IVFSPEA2_DTLZ1_M2_D6_11.mat
DTLZ,IVFSPEA2,DTLZ1,12,M2,D6,0.001296434611570045,IVFSPEA2_DTLZ1_M2_D6_12.mat
DTLZ,IVFSPEA2,DTLZ1,13,M2,D6,0.0012984463583473878,IVFSPEA2_DTLZ1_M2_D6_13.mat
DTLZ,IVFSPEA2,DTLZ1,14,M2,D6,0.001296432962442198,IVFSPEA2_DTLZ1_M2_D6_14.mat
DTLZ,IVFSPEA2,DTLZ1,15,M2,D6,0.001360112152431121,IVFSPEA2_DTLZ1_M2_D6_15.mat
DTLZ,IVFSPEA2,DTLZ1,16,M2,D6,0.0014752647033578756,IVFSPEA2_DTLZ1_M2_D6_16.mat
DTLZ,IVFSPEA2,DTLZ1,17,M2,D6,0.001290559611640385,IVFSPEA2_DTLZ1_M2_D6_17.mat
DTLZ,IVFSPEA2,DTLZ1,18,M2,D6,0.0015090978970050744,IVFSPEA2_DTLZ1_M2_D6_18.mat
DTLZ,IVFSPEA2,DTLZ1,19,M2,D6,0.0015077850457186372,IVFSPEA2_DTLZ1_M2_D6_19.mat
DTLZ,IVFSPEA2,DTLZ1,20,M2,D6,0.0015571625237635763,IVFSPEA2_DTLZ1_M2_D6_20.mat
DTLZ,IVFSPEA2,DTLZ1,21,M2,D6,0.0014045091711054859,IVFSPEA2_DTLZ1_M2_D6_21.mat
DTLZ,IVFSPEA2,DTLZ1,22,M2,D6,0.0012856191777643768,IVFSPEA2_DTLZ1_M2_D6_22.mat
DTLZ,IVFSPEA2,DTLZ1,23,M2,D6,0.0013026837515417067,IVFSPEA2_DTLZ1_M2_D6_23.mat
DTLZ,IVFSPEA2,DTLZ1,24,M2,D6,0.0013424293067030083,IVFSPEA2_DTLZ1_M2_D6_24.mat
DTLZ,IVFSPEA2,DTLZ1,25,M2,D6,0.001293483826691526,IVFSPEA2_DTLZ1_M2_D6_25.mat
DTLZ,IVFSPEA2,DTLZ1,26,M2,D6,0.0013678358398112173,IVFSPEA2_DTLZ1_M2_D6_26.mat
DTLZ,IVFSPEA2,DTLZ1,27,M2,D6,0.0013758404689368543,IVFSPEA2_DTLZ1_M2_D6_27.mat
DTLZ,IVFSPEA2,DTLZ1,28,M2,D6,0.0012867955873818433,IVFSPEA2_DTLZ1_M2_D6_28.mat
DTLZ,IVFSPEA2,DTLZ1,29,M2,D6,0.0013051299415450814,IVFSPEA2_DTLZ1_M2_D6_29.mat
DTLZ,IVFSPEA2,DTLZ1,30,M2,D6,0.0012996971673603348,IVFSPEA2_DTLZ1_M2_D6_30.mat
DTLZ,IVFSPEA2,DTLZ1,31,M2,D6,0.001307077153154177,IVFSPEA2_DTLZ1_M2_D6_31.mat
DTLZ,IVFSPEA2,DTLZ1,32,M2,D6,0.0013683216919626268,IVFSPEA2_DTLZ1_M2_D6_32.mat
DTLZ,IVFSPEA2,DTLZ1,33,M2,D6,0.0012881535706504707,IVFSPEA2_DTLZ1_M2_D6_33.mat
DTLZ,IVFSPEA2,DTLZ1,34,M2,D6,0.0013111538260283022,IVFSPEA2_DTLZ1_M2_D6_34.mat
DTLZ,IVFSPEA2,DTLZ1,35,M2,D6,0.0012897881091419728,IVFSPEA2_DTLZ1_M2_D6_35.mat
DTLZ,IVFSPEA2,DTLZ1,36,M2,D6,0.0013838175876755498,IVFSPEA2_DTLZ1_M2_D6_36.mat
DTLZ,IVFSPEA2,DTLZ1,37,M2,D6,0.0012917430073574369,IVFSPEA2_DTLZ1_M2_D6_37.mat
DTLZ,IVFSPEA2,DTLZ1,38,M2,D6,0.001281352864858359,IVFSPEA2_DTLZ1_M2_D6_38.mat
DTLZ,IVFSPEA2,DTLZ1,39,M2,D6,0.001320159271136416,IVFSPEA2_DTLZ1_M2_D6_39.mat
DTLZ,IVFSPEA2,DTLZ1,40,M2,D6,0.0013277700725822508,IVFSPEA2_DTLZ1_M2_D6_40.mat
DTLZ,IVFSPEA2,DTLZ1,41,M2,D6,0.0013193649077296165,IVFSPEA2_DTLZ1_M2_D6_41.mat
DTLZ,IVFSPEA2,DTLZ1,42,M2,D6,0.0012805340329063376,IVFSPEA2_DTLZ1_M2_D6_42.mat
DTLZ,IVFSPEA2,DTLZ1,43,M2,D6,0.0013996386557501375,IVFSPEA2_DTLZ1_M2_D6_43.mat
DTLZ,IVFSPEA2,DTLZ1,44,M2,D6,0.0016357864457936006,IVFSPEA2_DTLZ1_M2_D6_44.mat
DTLZ,IVFSPEA2,DTLZ1,45,M2,D6,0.001364647035909614,IVFSPEA2_DTLZ1_M2_D6_45.mat
