Grupo,Algoritmo,Problema,Run,M,D,Spacing,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,1,M2,D6,0.0010896698977022258,IVFSPEA2_DTLZ1_M2_D6_1.mat
DTLZ,IVFSPEA2,DTLZ1,2,M2,D6,0.0013702962422663858,IVFSPEA2_DTLZ1_M2_D6_2.mat
DTLZ,IVFSPEA2,DTLZ1,3,M2,D6,0.0010231632651026546,IVFSPEA2_DTLZ1_M2_D6_3.mat
DTLZ,IVFSPEA2,DTLZ1,4,M2,D6,0.0013077139237157264,IVFSPEA2_DTLZ1_M2_D6_4.mat
DTLZ,IVFSPEA2,DTLZ1,5,M2,D6,0.0014269958793571666,IVFSPEA2_DTLZ1_M2_D6_5.mat
DTLZ,IVFSPEA2,DTLZ1,6,M2,D6,0.0014479530386949453,IVFSPEA2_DTLZ1_M2_D6_6.mat
DTLZ,IVFSPEA2,DTLZ1,7,M2,D6,0.0010150488911291552,IVFSPEA2_DTLZ1_M2_D6_7.mat
DTLZ,IVFSPEA2,DTLZ1,8,M2,D6,0.0010614395588737363,IVFSPEA2_DTLZ1_M2_D6_8.mat
DTLZ,IVFSPEA2,DTLZ1,9,M2,D6,0.0011239831061624571,IVFSPEA2_DTLZ1_M2_D6_9.mat
DTLZ,IVFSPEA2,DTLZ1,10,M2,D6,0.0011984041688782776,IVFSPEA2_DTLZ1_M2_D6_10.mat
DTLZ,IVFSPEA2,DTLZ1,11,M2,D6,0.0009821950138051243,IVFSPEA2_DTLZ1_M2_D6_11.mat
DTLZ,IVFSPEA2,DTLZ1,12,M2,D6,0.001124036531107684,IVFSPEA2_DTLZ1_M2_D6_12.mat
DTLZ,IVFSPEA2,DTLZ1,13,M2,D6,0.001236923310676576,IVFSPEA2_DTLZ1_M2_D6_13.mat
DTLZ,IVFSPEA2,DTLZ1,14,M2,D6,0.001314278120253868,IVFSPEA2_DTLZ1_M2_D6_14.mat
DTLZ,IVFSPEA2,DTLZ1,15,M2,D6,0.0010703529840044004,IVFSPEA2_DTLZ1_M2_D6_15.mat
DTLZ,IVFSPEA2,DTLZ1,16,M2,D6,0.001134828952481865,IVFSPEA2_DTLZ1_M2_D6_16.mat
DTLZ,IVFSPEA2,DTLZ1,17,M2,D6,0.001105651149673961,IVFSPEA2_DTLZ1_M2_D6_17.mat
DTLZ,IVFSPEA2,DTLZ1,18,M2,D6,0.0011281906776552343,IVFSPEA2_DTLZ1_M2_D6_18.mat
DTLZ,IVFSPEA2,DTLZ1,19,M2,D6,0.001264264951903473,IVFSPEA2_DTLZ1_M2_D6_19.mat
DTLZ,IVFSPEA2,DTLZ1,20,M2,D6,0.0011628625113232224,IVFSPEA2_DTLZ1_M2_D6_20.mat
DTLZ,IVFSPEA2,DTLZ1,21,M2,D6,0.0010388687790343026,IVFSPEA2_DTLZ1_M2_D6_21.mat
DTLZ,IVFSPEA2,DTLZ1,22,M2,D6,0.0010120462413897226,IVFSPEA2_DTLZ1_M2_D6_22.mat
DTLZ,IVFSPEA2,DTLZ1,23,M2,D6,0.0012981121402694177,IVFSPEA2_DTLZ1_M2_D6_23.mat
DTLZ,IVFSPEA2,DTLZ1,24,M2,D6,0.0010908573279673319,IVFSPEA2_DTLZ1_M2_D6_24.mat
DTLZ,IVFSPEA2,DTLZ1,25,M2,D6,0.001012719133942062,IVFSPEA2_DTLZ1_M2_D6_25.mat
DTLZ,IVFSPEA2,DTLZ1,26,M2,D6,0.001274923447888321,IVFSPEA2_DTLZ1_M2_D6_26.mat
DTLZ,IVFSPEA2,DTLZ1,27,M2,D6,0.0010952140780993624,IVFSPEA2_DTLZ1_M2_D6_27.mat
DTLZ,IVFSPEA2,DTLZ1,28,M2,D6,0.001105233592741824,IVFSPEA2_DTLZ1_M2_D6_28.mat
DTLZ,IVFSPEA2,DTLZ1,29,M2,D6,0.001408952826271317,IVFSPEA2_DTLZ1_M2_D6_29.mat
DTLZ,IVFSPEA2,DTLZ1,30,M2,D6,0.0012452529092529699,IVFSPEA2_DTLZ1_M2_D6_30.mat
DTLZ,IVFSPEA2,DTLZ1,31,M2,D6,0.001248767109710583,IVFSPEA2_DTLZ1_M2_D6_31.mat
DTLZ,IVFSPEA2,DTLZ1,32,M2,D6,0.0008724089353417339,IVFSPEA2_DTLZ1_M2_D6_32.mat
DTLZ,IVFSPEA2,DTLZ1,33,M2,D6,0.001137467111553528,IVFSPEA2_DTLZ1_M2_D6_33.mat
DTLZ,IVFSPEA2,DTLZ1,34,M2,D6,0.0013139811975972427,IVFSPEA2_DTLZ1_M2_D6_34.mat
DTLZ,IVFSPEA2,DTLZ1,35,M2,D6,0.001019304515937392,IVFSPEA2_DTLZ1_M2_D6_35.mat
DTLZ,IVFSPEA2,DTLZ1,36,M2,D6,0.0012317062715624834,IVFSPEA2_DTLZ1_M2_D6_36.mat
DTLZ,IVFSPEA2,DTLZ1,37,M2,D6,0.0012490107315471944,IVFSPEA2_DTLZ1_M2_D6_37.mat
DTLZ,IVFSPEA2,DTLZ1,38,M2,D6,0.0008402887030626219,IVFSPEA2_DTLZ1_M2_D6_38.mat
DTLZ,IVFSPEA2,DTLZ1,39,M2,D6,0.0013968646229309185,IVFSPEA2_DTLZ1_M2_D6_39.mat
DTLZ,IVFSPEA2,DTLZ1,40,M2,D6,0.0010702214032955973,IVFSPEA2_DTLZ1_M2_D6_40.mat
DTLZ,IVFSPEA2,DTLZ1,41,M2,D6,0.0010498009194065564,IVFSPEA2_DTLZ1_M2_D6_41.mat
DTLZ,IVFSPEA2,DTLZ1,42,M2,D6,0.0010834046614399614,IVFSPEA2_DTLZ1_M2_D6_42.mat
DTLZ,IVFSPEA2,DTLZ1,43,M2,D6,0.0014463883564976078,IVFSPEA2_DTLZ1_M2_D6_43.mat
DTLZ,IVFSPEA2,DTLZ1,44,M2,D6,0.0012917388659374667,IVFSPEA2_DTLZ1_M2_D6_44.mat
DTLZ,IVFSPEA2,DTLZ1,45,M2,D6,0.000996396741869224,IVFSPEA2_DTLZ1_M2_D6_45.mat
DTLZ,IVFSPEA2,DTLZ1,46,M2,D6,0.0011399839596149123,IVFSPEA2_DTLZ1_M2_D6_46.mat
DTLZ,IVFSPEA2,DTLZ1,47,M2,D6,0.0013197427453634006,IVFSPEA2_DTLZ1_M2_D6_47.mat
DTLZ,IVFSPEA2,DTLZ1,48,M2,D6,0.001279172615386025,IVFSPEA2_DTLZ1_M2_D6_48.mat
DTLZ,IVFSPEA2,DTLZ1,49,M2,D6,0.0009344255727134587,IVFSPEA2_DTLZ1_M2_D6_49.mat
DTLZ,IVFSPEA2,DTLZ1,50,M2,D6,0.001248377778105856,IVFSPEA2_DTLZ1_M2_D6_50.mat
DTLZ,IVFSPEA2,DTLZ1,51,M2,D6,0.0011570641206698675,IVFSPEA2_DTLZ1_M2_D6_51.mat
DTLZ,IVFSPEA2,DTLZ1,52,M2,D6,0.0011669444105195754,IVFSPEA2_DTLZ1_M2_D6_52.mat
DTLZ,IVFSPEA2,DTLZ1,53,M2,D6,0.0010197461229077987,IVFSPEA2_DTLZ1_M2_D6_53.mat
DTLZ,IVFSPEA2,DTLZ1,54,M2,D6,0.001035665050545433,IVFSPEA2_DTLZ1_M2_D6_54.mat
DTLZ,IVFSPEA2,DTLZ1,55,M2,D6,0.0012911404668872895,IVFSPEA2_DTLZ1_M2_D6_55.mat
DTLZ,IVFSPEA2,DTLZ1,56,M2,D6,0.0011560221892716873,IVFSPEA2_DTLZ1_M2_D6_56.mat
DTLZ,IVFSPEA2,DTLZ1,57,M2,D6,0.0009707453124416705,IVFSPEA2_DTLZ1_M2_D6_57.mat
DTLZ,IVFSPEA2,DTLZ1,58,M2,D6,0.0012704332651042366,IVFSPEA2_DTLZ1_M2_D6_58.mat
DTLZ,IVFSPEA2,DTLZ1,59,M2,D6,0.0012928628720966547,IVFSPEA2_DTLZ1_M2_D6_59.mat
DTLZ,IVFSPEA2,DTLZ1,60,M2,D6,0.0011020845082547002,IVFSPEA2_DTLZ1_M2_D6_60.mat
DTLZ,IVFSPEA2,DTLZ2,1,M2,D11,0.0027132228728905107,IVFSPEA2_DTLZ2_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ2,2,M2,D11,0.0035560968908748655,IVFSPEA2_DTLZ2_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ2,3,M2,D11,0.0038979976996141668,IVFSPEA2_DTLZ2_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ2,4,M2,D11,0.0034769865472666604,IVFSPEA2_DTLZ2_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ2,5,M2,D11,0.003412573918077284,IVFSPEA2_DTLZ2_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ2,6,M2,D11,0.0032153402975905955,IVFSPEA2_DTLZ2_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ2,7,M2,D11,0.0032814722126875114,IVFSPEA2_DTLZ2_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ2,8,M2,D11,0.0032739145836047376,IVFSPEA2_DTLZ2_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ2,9,M2,D11,0.003472233222486016,IVFSPEA2_DTLZ2_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ2,10,M2,D11,0.0029265505534584436,IVFSPEA2_DTLZ2_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ2,11,M2,D11,0.0030897489309887794,IVFSPEA2_DTLZ2_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ2,12,M2,D11,0.002879065786665701,IVFSPEA2_DTLZ2_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ2,13,M2,D11,0.0030375146736001655,IVFSPEA2_DTLZ2_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ2,14,M2,D11,0.003659191330482082,IVFSPEA2_DTLZ2_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ2,15,M2,D11,0.003336407617125724,IVFSPEA2_DTLZ2_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ2,16,M2,D11,0.002813730394561299,IVFSPEA2_DTLZ2_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ2,17,M2,D11,0.0025807309642965097,IVFSPEA2_DTLZ2_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ2,18,M2,D11,0.003544077816547841,IVFSPEA2_DTLZ2_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ2,19,M2,D11,0.00309426372120378,IVFSPEA2_DTLZ2_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ2,20,M2,D11,0.003030565844126159,IVFSPEA2_DTLZ2_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ2,21,M2,D11,0.0031153999048339582,IVFSPEA2_DTLZ2_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ2,22,M2,D11,0.003116265926412353,IVFSPEA2_DTLZ2_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ2,23,M2,D11,0.0037943857610165726,IVFSPEA2_DTLZ2_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ2,24,M2,D11,0.0029334923925206703,IVFSPEA2_DTLZ2_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ2,25,M2,D11,0.0026212865616904698,IVFSPEA2_DTLZ2_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ2,26,M2,D11,0.0029630137248220626,IVFSPEA2_DTLZ2_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ2,27,M2,D11,0.002668481897671686,IVFSPEA2_DTLZ2_M2_D11_27.mat
DTLZ,IVFSPEA2,DTLZ2,28,M2,D11,0.002932648414331519,IVFSPEA2_DTLZ2_M2_D11_28.mat
DTLZ,IVFSPEA2,DTLZ2,29,M2,D11,0.0032679245141707413,IVFSPEA2_DTLZ2_M2_D11_29.mat
DTLZ,IVFSPEA2,DTLZ2,30,M2,D11,0.003020005364948015,IVFSPEA2_DTLZ2_M2_D11_30.mat
DTLZ,IVFSPEA2,DTLZ2,31,M2,D11,0.0024564368684093854,IVFSPEA2_DTLZ2_M2_D11_31.mat
DTLZ,IVFSPEA2,DTLZ2,32,M2,D11,0.003592259932931225,IVFSPEA2_DTLZ2_M2_D11_32.mat
DTLZ,IVFSPEA2,DTLZ2,33,M2,D11,0.003390717801519248,IVFSPEA2_DTLZ2_M2_D11_33.mat
DTLZ,IVFSPEA2,DTLZ2,34,M2,D11,0.00298774091134062,IVFSPEA2_DTLZ2_M2_D11_34.mat
DTLZ,IVFSPEA2,DTLZ2,35,M2,D11,0.002790929628909809,IVFSPEA2_DTLZ2_M2_D11_35.mat
