Grupo,Algoritmo,Problema,Run,M,D,Spread,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,1,M2,D6,0.08541376923907143,IVFSPEA2_DTLZ1_M2_D6_1.mat
DTLZ,IVFSPEA2,DTLZ1,2,M2,D6,0.12306713567878977,IVFSPEA2_DTLZ1_M2_D6_2.mat
DTLZ,IVFSPEA2,DTLZ1,3,M2,D6,0.08504855102816003,IVFSPEA2_DTLZ1_M2_D6_3.mat
DTLZ,IVFSPEA2,DTLZ1,4,M2,D6,0.11017904972925262,IVFSPEA2_DTLZ1_M2_D6_4.mat
DTLZ,IVFSPEA2,DTLZ1,5,M2,D6,0.12316787439046036,IVFSPEA2_DTLZ1_M2_D6_5.mat
DTLZ,IVFSPEA2,DTLZ1,6,M2,D6,0.1212609583134128,IVFSPEA2_DTLZ1_M2_D6_6.mat
DTLZ,IVFSPEA2,DTLZ1,7,M2,D6,0.08453290719643923,IVFSPEA2_DTLZ1_M2_D6_7.mat
DTLZ,IVFSPEA2,DTLZ1,8,M2,D6,0.0844913567951341,IVFSPEA2_DTLZ1_M2_D6_8.mat
DTLZ,IVFSPEA2,DTLZ1,9,M2,D6,0.09797562951184205,IVFSPEA2_DTLZ1_M2_D6_9.mat
DTLZ,IVFSPEA2,DTLZ1,10,M2,D6,0.09941729444859972,IVFSPEA2_DTLZ1_M2_D6_10.mat
DTLZ,IVFSPEA2,DTLZ1,11,M2,D6,0.08440543928158162,IVFSPEA2_DTLZ1_M2_D6_11.mat
DTLZ,IVFSPEA2,DTLZ1,12,M2,D6,0.09958765820736375,IVFSPEA2_DTLZ1_M2_D6_12.mat
DTLZ,IVFSPEA2,DTLZ1,13,M2,D6,0.10331913495375084,IVFSPEA2_DTLZ1_M2_D6_13.mat
DTLZ,IVFSPEA2,DTLZ1,14,M2,D6,0.10465665011516065,IVFSPEA2_DTLZ1_M2_D6_14.mat
DTLZ,IVFSPEA2,DTLZ1,15,M2,D6,0.08775566167072234,IVFSPEA2_DTLZ1_M2_D6_15.mat
DTLZ,IVFSPEA2,DTLZ1,16,M2,D6,0.0963563320033375,IVFSPEA2_DTLZ1_M2_D6_16.mat
DTLZ,IVFSPEA2,DTLZ1,17,M2,D6,0.0932942947026702,IVFSPEA2_DTLZ1_M2_D6_17.mat
DTLZ,IVFSPEA2,DTLZ1,18,M2,D6,0.09640767987327885,IVFSPEA2_DTLZ1_M2_D6_18.mat
DTLZ,IVFSPEA2,DTLZ1,19,M2,D6,0.10510935403617157,IVFSPEA2_DTLZ1_M2_D6_19.mat
DTLZ,IVFSPEA2,DTLZ1,20,M2,D6,0.0950562984036492,IVFSPEA2_DTLZ1_M2_D6_20.mat
DTLZ,IVFSPEA2,DTLZ1,21,M2,D6,0.09654179336485993,IVFSPEA2_DTLZ1_M2_D6_21.mat
DTLZ,IVFSPEA2,DTLZ1,22,M2,D6,0.08822249949242834,IVFSPEA2_DTLZ1_M2_D6_22.mat
DTLZ,IVFSPEA2,DTLZ1,23,M2,D6,0.10359359954563627,IVFSPEA2_DTLZ1_M2_D6_23.mat
DTLZ,IVFSPEA2,DTLZ1,24,M2,D6,0.09737024639712903,IVFSPEA2_DTLZ1_M2_D6_24.mat
DTLZ,IVFSPEA2,DTLZ1,25,M2,D6,0.08632448610358598,IVFSPEA2_DTLZ1_M2_D6_25.mat
DTLZ,IVFSPEA2,DTLZ1,26,M2,D6,0.10404118540756585,IVFSPEA2_DTLZ1_M2_D6_26.mat
DTLZ,IVFSPEA2,DTLZ1,27,M2,D6,0.09547774624677267,IVFSPEA2_DTLZ1_M2_D6_27.mat
DTLZ,IVFSPEA2,DTLZ1,28,M2,D6,0.09431643982927769,IVFSPEA2_DTLZ1_M2_D6_28.mat
DTLZ,IVFSPEA2,DTLZ1,29,M2,D6,0.10139593195665987,IVFSPEA2_DTLZ1_M2_D6_29.mat
DTLZ,IVFSPEA2,DTLZ1,30,M2,D6,0.10524562960388847,IVFSPEA2_DTLZ1_M2_D6_30.mat
DTLZ,IVFSPEA2,DTLZ1,31,M2,D6,0.10699538846901344,IVFSPEA2_DTLZ1_M2_D6_31.mat
DTLZ,IVFSPEA2,DTLZ1,32,M2,D6,0.07406156420427808,IVFSPEA2_DTLZ1_M2_D6_32.mat
DTLZ,IVFSPEA2,DTLZ1,33,M2,D6,0.0963579618081638,IVFSPEA2_DTLZ1_M2_D6_33.mat
DTLZ,IVFSPEA2,DTLZ1,34,M2,D6,0.10907985232526157,IVFSPEA2_DTLZ1_M2_D6_34.mat
DTLZ,IVFSPEA2,DTLZ1,35,M2,D6,0.07924309652404705,IVFSPEA2_DTLZ1_M2_D6_35.mat
DTLZ,IVFSPEA2,DTLZ1,36,M2,D6,0.1069706870136782,IVFSPEA2_DTLZ1_M2_D6_36.mat
DTLZ,IVFSPEA2,DTLZ1,37,M2,D6,0.10611688782656722,IVFSPEA2_DTLZ1_M2_D6_37.mat
DTLZ,IVFSPEA2,DTLZ1,38,M2,D6,0.07183687258060062,IVFSPEA2_DTLZ1_M2_D6_38.mat
DTLZ,IVFSPEA2,DTLZ1,39,M2,D6,0.11681669572710886,IVFSPEA2_DTLZ1_M2_D6_39.mat
DTLZ,IVFSPEA2,DTLZ1,40,M2,D6,0.08799767211517272,IVFSPEA2_DTLZ1_M2_D6_40.mat
DTLZ,IVFSPEA2,DTLZ1,41,M2,D6,0.08014364763173061,IVFSPEA2_DTLZ1_M2_D6_41.mat
DTLZ,IVFSPEA2,DTLZ1,42,M2,D6,0.08943413925421827,IVFSPEA2_DTLZ1_M2_D6_42.mat
DTLZ,IVFSPEA2,DTLZ1,43,M2,D6,0.11881664484591319,IVFSPEA2_DTLZ1_M2_D6_43.mat
DTLZ,IVFSPEA2,DTLZ1,44,M2,D6,0.10698035848523296,IVFSPEA2_DTLZ1_M2_D6_44.mat
DTLZ,IVFSPEA2,DTLZ1,45,M2,D6,0.08100770446588973,IVFSPEA2_DTLZ1_M2_D6_45.mat
DTLZ,IVFSPEA2,DTLZ1,46,M2,D6,0.09653053664148578,IVFSPEA2_DTLZ1_M2_D6_46.mat
DTLZ,IVFSPEA2,DTLZ1,47,M2,D6,0.1121812945771764,IVFSPEA2_DTLZ1_M2_D6_47.mat
DTLZ,IVFSPEA2,DTLZ1,48,M2,D6,0.11110998128243653,IVFSPEA2_DTLZ1_M2_D6_48.mat
DTLZ,IVFSPEA2,DTLZ1,49,M2,D6,0.08178278423742648,IVFSPEA2_DTLZ1_M2_D6_49.mat
DTLZ,IVFSPEA2,DTLZ1,50,M2,D6,0.10616979015035193,IVFSPEA2_DTLZ1_M2_D6_50.mat
DTLZ,IVFSPEA2,DTLZ1,51,M2,D6,0.0938754826855094,IVFSPEA2_DTLZ1_M2_D6_51.mat
DTLZ,IVFSPEA2,DTLZ1,52,M2,D6,0.10496457153505365,IVFSPEA2_DTLZ1_M2_D6_52.mat
DTLZ,IVFSPEA2,DTLZ1,53,M2,D6,0.08843210339595961,IVFSPEA2_DTLZ1_M2_D6_53.mat
DTLZ,IVFSPEA2,DTLZ1,54,M2,D6,0.08858010153881414,IVFSPEA2_DTLZ1_M2_D6_54.mat
DTLZ,IVFSPEA2,DTLZ1,55,M2,D6,0.10905645963465412,IVFSPEA2_DTLZ1_M2_D6_55.mat
DTLZ,IVFSPEA2,DTLZ1,56,M2,D6,0.09765417160027208,IVFSPEA2_DTLZ1_M2_D6_56.mat
DTLZ,IVFSPEA2,DTLZ1,57,M2,D6,0.07695449669457176,IVFSPEA2_DTLZ1_M2_D6_57.mat
DTLZ,IVFSPEA2,DTLZ1,58,M2,D6,0.10610295542114909,IVFSPEA2_DTLZ1_M2_D6_58.mat
DTLZ,IVFSPEA2,DTLZ1,59,M2,D6,0.10410710116508902,IVFSPEA2_DTLZ1_M2_D6_59.mat
DTLZ,IVFSPEA2,DTLZ1,60,M2,D6,0.09449332050135899,IVFSPEA2_DTLZ1_M2_D6_60.mat
DTLZ,IVFSPEA2,DTLZ2,1,M2,D11,0.10400647787656195,IVFSPEA2_DTLZ2_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ2,2,M2,D11,0.12384476264099423,IVFSPEA2_DTLZ2_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ2,3,M2,D11,0.12485176821689317,IVFSPEA2_DTLZ2_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ2,4,M2,D11,0.11187992370873817,IVFSPEA2_DTLZ2_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ2,5,M2,D11,0.1397183189014819,IVFSPEA2_DTLZ2_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ2,6,M2,D11,0.1264150349308135,IVFSPEA2_DTLZ2_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ2,7,M2,D11,0.13402506476716572,IVFSPEA2_DTLZ2_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ2,8,M2,D11,0.1074369523916948,IVFSPEA2_DTLZ2_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ2,9,M2,D11,0.12005533058444902,IVFSPEA2_DTLZ2_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ2,10,M2,D11,0.12139623259562972,IVFSPEA2_DTLZ2_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ2,11,M2,D11,0.08688762850804511,IVFSPEA2_DTLZ2_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ2,12,M2,D11,0.12353473043365198,IVFSPEA2_DTLZ2_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ2,13,M2,D11,0.09247553670831456,IVFSPEA2_DTLZ2_M2_D11_13.mat
