Grupo,Algoritmo,Problema,Run,M,D,runtime,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,1,M2,D6,11.308150999999997,IVFSPEA2_DTLZ1_M2_D6_1.mat
DTLZ,IVFSPEA2,DTLZ1,1,M3,D7,26.476951999999976,IVFSPEA2_DTLZ1_M3_D7_1.mat
DTLZ,IVFSPEA2,DTLZ1,2,M3,D7,26.104668000000036,IVFSPEA2_DTLZ1_M3_D7_2.mat
DTLZ,IVFSPEA2,DTLZ1,2,M2,D6,11.242002999999986,IVFSPEA2_DTLZ1_M2_D6_2.mat
DTLZ,IVFSPEA2,DTLZ1,3,M3,D7,26.390243000000027,IVFSPEA2_DTLZ1_M3_D7_3.mat
DTLZ,IVFSPEA2,DTLZ1,3,M2,D6,11.003273000000007,IVFSPEA2_DTLZ1_M2_D6_3.mat
DTLZ,IVFSPEA2,DTLZ1,4,M3,D7,26.68807899999995,IVFSPEA2_DTLZ1_M3_D7_4.mat
DTLZ,IVFSPEA2,DTLZ1,4,M2,D6,11.414851,IVFSPEA2_DTLZ1_M2_D6_4.mat
DTLZ,IVFSPEA2,DTLZ1,5,M2,D6,11.273755999999993,IVFSPEA2_DTLZ1_M2_D6_5.mat
DTLZ,IVFSPEA2,DTLZ1,5,M3,D7,26.030988999999977,IVFSPEA2_DTLZ1_M3_D7_5.mat
DTLZ,IVFSPEA2,DTLZ1,6,M2,D6,11.487017000000002,IVFSPEA2_DTLZ1_M2_D6_6.mat
DTLZ,IVFSPEA2,DTLZ1,6,M3,D7,26.06233900000002,IVFSPEA2_DTLZ1_M3_D7_6.mat
DTLZ,IVFSPEA2,DTLZ1,7,M3,D7,23.141076999999964,IVFSPEA2_DTLZ1_M3_D7_7.mat
DTLZ,IVFSPEA2,DTLZ1,7,M2,D6,10.75266700000002,IVFSPEA2_DTLZ1_M2_D6_7.mat
DTLZ,IVFSPEA2,DTLZ1,8,M2,D6,10.382016999999994,IVFSPEA2_DTLZ1_M2_D6_8.mat
DTLZ,IVFSPEA2,DTLZ1,8,M3,D7,23.238504999999964,IVFSPEA2_DTLZ1_M3_D7_8.mat
DTLZ,IVFSPEA2,DTLZ1,9,M2,D6,10.286959000000001,IVFSPEA2_DTLZ1_M2_D6_9.mat
DTLZ,IVFSPEA2,DTLZ1,9,M3,D7,22.522041000000023,IVFSPEA2_DTLZ1_M3_D7_9.mat
DTLZ,IVFSPEA2,DTLZ1,10,M3,D7,22.95677899999995,IVFSPEA2_DTLZ1_M3_D7_10.mat
DTLZ,IVFSPEA2,DTLZ1,10,M2,D6,10.650677999999996,IVFSPEA2_DTLZ1_M2_D6_10.mat
DTLZ,IVFSPEA2,DTLZ1,11,M3,D7,23.112831999999997,IVFSPEA2_DTLZ1_M3_D7_11.mat
DTLZ,IVFSPEA2,DTLZ1,11,M2,D6,10.42830599999999,IVFSPEA2_DTLZ1_M2_D6_11.mat
DTLZ,IVFSPEA2,DTLZ1,12,M3,D7,22.96493799999999,IVFSPEA2_DTLZ1_M3_D7_12.mat
DTLZ,IVFSPEA2,DTLZ1,12,M2,D6,11.155845999999999,IVFSPEA2_DTLZ1_M2_D6_12.mat
DTLZ,IVFSPEA2,DTLZ1,13,M2,D6,10.310252000000014,IVFSPEA2_DTLZ1_M2_D6_13.mat
DTLZ,IVFSPEA2,DTLZ1,13,M3,D7,21.792916999999967,IVFSPEA2_DTLZ1_M3_D7_13.mat
DTLZ,IVFSPEA2,DTLZ1,14,M3,D7,22.119126999999995,IVFSPEA2_DTLZ1_M3_D7_14.mat
DTLZ,IVFSPEA2,DTLZ1,14,M2,D6,10.462235000000023,IVFSPEA2_DTLZ1_M2_D6_14.mat
DTLZ,IVFSPEA2,DTLZ1,15,M3,D7,22.98706299999997,IVFSPEA2_DTLZ1_M3_D7_15.mat
DTLZ,IVFSPEA2,DTLZ1,15,M2,D6,10.248575000000006,IVFSPEA2_DTLZ1_M2_D6_15.mat
DTLZ,IVFSPEA2,DTLZ1,16,M2,D6,10.41273,IVFSPEA2_DTLZ1_M2_D6_16.mat
DTLZ,IVFSPEA2,DTLZ1,16,M3,D7,22.455354000000032,IVFSPEA2_DTLZ1_M3_D7_16.mat
DTLZ,IVFSPEA2,DTLZ1,17,M3,D7,22.42017599999999,IVFSPEA2_DTLZ1_M3_D7_17.mat
DTLZ,IVFSPEA2,DTLZ1,17,M2,D6,10.505542000000005,IVFSPEA2_DTLZ1_M2_D6_17.mat
DTLZ,IVFSPEA2,DTLZ1,18,M3,D7,22.484939999999973,IVFSPEA2_DTLZ1_M3_D7_18.mat
DTLZ,IVFSPEA2,DTLZ1,18,M2,D6,10.29011000000001,IVFSPEA2_DTLZ1_M2_D6_18.mat
DTLZ,IVFSPEA2,DTLZ1,19,M3,D7,22.39684499999999,IVFSPEA2_DTLZ1_M3_D7_19.mat
DTLZ,IVFSPEA2,DTLZ1,19,M2,D6,11.127537,IVFSPEA2_DTLZ1_M2_D6_19.mat
DTLZ,IVFSPEA2,DTLZ1,20,M3,D7,22.052207999999982,IVFSPEA2_DTLZ1_M3_D7_20.mat
DTLZ,IVFSPEA2,DTLZ1,20,M2,D6,10.045747999999998,IVFSPEA2_DTLZ1_M2_D6_20.mat
DTLZ,IVFSPEA2,DTLZ1,21,M3,D7,22.638675000000003,IVFSPEA2_DTLZ1_M3_D7_21.mat
DTLZ,IVFSPEA2,DTLZ1,21,M2,D6,10.535171000000007,IVFSPEA2_DTLZ1_M2_D6_21.mat
