algo,problem,group,M,D,run,IGD,HV,runtime
IVFNSGAII,DTLZ1,DTLZ,2,6,4001,0.0022386908668058743,0.5815396873270173,2.0583739999999984
IVFNSGAII,DTLZ1,DTLZ,2,6,4002,0.002067702204804528,0.5818964111973226,2.128366999999999
IVFNSGAII,DTLZ1,DTLZ,2,6,4003,0.002293626040332714,0.5813868099705657,2.445483
IVFNSGAII,DTLZ1,DTLZ,2,6,4004,0.002243303825456195,0.581338457215896,2.02247
IVFNSGAII,DTLZ1,DTLZ,2,6,4005,0.0022403676378115397,0.5815045768509455,1.888705000000002
IVFNSGAII,DTLZ1,DTLZ,2,6,4006,0.002169453881985754,0.581640805423766,2.050274999999998
IVFNSGAII,DTLZ1,DTLZ,2,6,4007,0.0021451491511451245,0.5817204463196493,1.9602360000000005
IVFNSGAII,DTLZ1,DTLZ,2,6,4008,0.002306877330741079,0.5812426453020725,2.049837999999999
IVFNSGAII,DTLZ1,DTLZ,2,6,4009,0.002132876665134063,0.5816420628425417,2.014805
IVFNSGAII,DTLZ1,DTLZ,2,6,4010,0.002164929224808961,0.5816605188950887,2.1830730000000016
IVFNSGAII,DTLZ1,DTLZ,2,6,4011,0.0022123022691080286,0.5813965819420293,2.216526999999997
IVFNSGAII,DTLZ1,DTLZ,2,6,4012,0.0023298885911334772,0.5812875068684622,2.2214020000000017
IVFNSGAII,DTLZ1,DTLZ,2,6,4013,0.0022044292994589194,0.5816163693685739,2.072005000000001
IVFNSGAII,DTLZ1,DTLZ,2,6,4014,0.0022901548131627984,0.5812483188797635,2.1787959999999953
IVFNSGAII,DTLZ1,DTLZ,2,6,4015,0.0021744229190832753,0.581674734058897,2.270946000000004
IVFNSGAII,DTLZ1,DTLZ,2,6,4016,0.002130906703875961,0.5817302065103309,1.987750000000003
IVFNSGAII,DTLZ1,DTLZ,2,6,4017,0.002303643272591066,0.5810648089182087,2.0890370000000016
IVFNSGAII,DTLZ1,DTLZ,2,6,4018,0.0022157803940463564,0.5815283551459167,2.663192000000001
IVFNSGAII,DTLZ1,DTLZ,2,6,4019,0.0022904583895594923,0.5814212904154523,1.909631000000003
IVFNSGAII,DTLZ1,DTLZ,2,6,4020,0.0022357609644482294,0.5811916477111809,2.449363999999995
IVFNSGAII,DTLZ1,DTLZ,2,6,4021,0.0022941618225553123,0.5812365710086735,2.2512959999999986
IVFNSGAII,DTLZ1,DTLZ,2,6,4022,0.0021980691897123834,0.5811485761871014,1.8699459999999992
IVFNSGAII,DTLZ1,DTLZ,2,6,4023,0.0022633965199685894,0.581451899445872,2.1309169999999966
IVFNSGAII,DTLZ1,DTLZ,2,6,4024,0.0022521053686451412,0.5815027500366406,2.125694000000003
IVFNSGAII,DTLZ1,DTLZ,2,6,4025,0.0023729811633203726,0.5810186644049438,2.498827000000001
IVFNSGAII,DTLZ1,DTLZ,2,6,4026,0.0020434143864374995,0.5819867913555077,1.7393060000000045
IVFNSGAII,DTLZ1,DTLZ,2,6,4027,0.0022348041728586926,0.5812077310991144,1.9969659999999982
