case_id,metric,pairing,test_method,n_ctrl,n_ivf,n_spea2,median_ctrl,iqr_ctrl,median_ivf,iqr_ivf,median_spea2,iqr_spea2,p_ctrl_vs_ivf,p_bh_ctrl_vs_ivf,a12_ctrl_vs_ivf,p_ctrl_vs_spea2,p_bh_ctrl_vs_spea2,a12_ctrl_vs_spea2
dtlz1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.582502600019398,5.631829210717143e-05,0.5825061605310056,1.820760110582409e-05,0.5824140302172505,0.00013669828535212147,0.05874181100765334,0.18156559766001942,0.41333333333333333,6.286613643169403e-05,0.00022111537641492383,0.8488888888888889
dtlz1_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.8425628362048527,0.0003729317328388104,0.8427201674114257,0.00025946573546686835,0.842543115676244,0.0005857246183652576,0.11201270602233171,0.292956308058406,0.33,0.11907656863331795,0.17106774648730183,0.5833333333333334
dtlz2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3473024527391092,0.00010538448518582211,0.3474330166776683,0.00011052704289299387,0.34727897285891235,0.00013351489650365034,0.0008592965497084358,0.005109525824847974,0.20555555555555555,0.31839608028531075,0.39128192998917705,0.6
dtlz2_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5580394332480185,0.001511441648735734,0.5580394332480185,0.0012026148803027104,0.5557195569826755,0.0013126457542316228,0.15735882751618868,0.39147805869881086,0.49333333333333335,1.0244548320770264e-07,7.463885205132621e-07,0.91
dtlz3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34750523132389494,9.221449191570974e-05,0.34750523132389494,9.221449191570974e-05,0.34669865880090417,0.0009045907902038852,1.0,1.0,0.5,3.725290298461914e-09,7.599592208862304e-08,0.9588888888888889
dtlz3_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5614322941179273,0.0011629769035657045,0.5614322941179273,0.0011629769035657045,0.557948434482928,0.003312112925052957,1.0,1.0,0.5,1.30385160446167e-07,8.312053978443146e-07,0.8933333333333333
dtlz4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34734742947519254,0.00015380733400227609,0.34741649433462,8.503305055895805e-05,0.34729937464654637,9.611048932389732e-05,0.0018020205636929939,0.00875267130936597,0.3022222222222222,0.08406547829508781,0.12427070704491242,0.6266666666666667
dtlz4_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.558178236777906,0.002063177785149528,0.558178236777906,0.002063177785149528,0.5537945524155319,0.1563415703913858,1.0,1.0,0.5,1.30385160446167e-08,1.6624107956886292e-07,0.9144444444444444
dtlz5_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3472872692742322,0.00014833546286763255,0.34740176567101827,0.00012004777725233007,0.3472511883220434,0.00011806096630012641,0.0008718203753232956,0.005109525824847974,0.2011111111111111,0.08793856762349606,0.1281390556799514,0.5911111111111111
dtlz5_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.19974945519314352,0.00013393143786510908,0.19974945519314352,0.00013393143786510908,0.19962138255133757,0.00017243181821652298,1.0,1.0,0.5,0.005382779985666275,0.01076555997133255,0.77
dtlz6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3475844424390069,4.9704795855198824e-05,0.34758181801549104,4.0907003890422455e-05,0.34757073018953233,7.047590681208415e-05,0.8552717231214046,1.0,0.5222222222222223,0.052263347432017326,0.08077062784948132,0.6322222222222222
dtlz6_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.20009921457269414,6.078061309847116e-05,0.20008235465869856,7.147159206974396e-05,0.20007736595830547,4.7662421250704856e-05,0.5978077705949545,1.0,0.5444444444444444,0.0061949919909238815,0.012151715059119921,0.69
dtlz7_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.24290506782707372,1.6987308686794433e-05,0.24290506782707372,1.6987308686794433e-05,0.24288635134748646,3.852306918158965e-05,1.0,1.0,0.5,1.597777009010315e-05,6.790552288293839e-05,0.7977777777777778
dtlz7_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2774851933206389,0.0005974355500900641,0.2774851933206389,0.0005974355500900641,0.276716780924268,0.0009699638491334484,1.0,1.0,0.5,0.00046010687947273254,0.001173272542655468,0.7588888888888888
maf1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.5821933953912707,0.0001997126872474997,0.5822336752126798,0.0001051835707340798,0.582060395451015,0.0001306105717944206,0.019144671432692127,0.0697413030762356,0.33111111111111113,0.0012321043759584427,0.0026182217989116907,0.7411111111111112
maf1_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2200942460391271,0.0007647719363072514,0.2200942460391271,0.0007647719363072514,0.21868488966428945,0.0010708861733062791,1.0,1.0,0.5,1.862645149230957e-09,6.332993507385254e-08,0.9555555555555556
maf2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.20725565712036492,4.499425470566587e-05,0.20725565712036492,4.499425470566587e-05,0.20712768151605157,6.712580648457478e-05,1.0,1.0,0.5,9.313225746154785e-09,1.3570700372968402e-07,0.9677777777777777
maf2_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2362264747094307,0.0020632625145786676,0.2362264747094307,0.0020632625145786676,0.23444577679442818,0.0014395549671896435,1.0,1.0,0.5,0.0007296018302440643,0.0016913496973839674,0.7966666666666666
maf3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.7204765594602525,0.00011689444923423942,0.7204765594602525,0.00011689444923423942,0.7185878541298923,0.0015426456129782329,1.0,1.0,0.5,1.862645149230957e-09,6.332993507385254e-08,0.9733333333333334
maf3_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.9632990171492676,0.0002347245689460209,0.9632990171492676,0.0002347245689460209,0.962704482323636,0.0008605309947274931,1.0,1.0,0.5,3.855675458908081e-07,2.1848827600479126e-06,0.9366666666666666
maf4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.8191289527885219,7.531911815972236e-05,0.8191289527885219,7.531911815972236e-05,0.8187602852664171,0.0005694397731216272,1.0,1.0,0.5,4.6566128730773926e-08,3.9581209421157837e-07,0.95
maf4_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5330704782827211,0.0014273531707079679,0.5330704782827211,0.0014273531707079679,0.5304673489751877,0.0030646939185758892,1.0,1.0,0.5,2.7623027563095093e-06,1.4087744057178498e-05,0.8188888888888889
maf5_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3472312414256423,0.00024192011035201189,0.3472545798767497,0.00021936163438845968,0.3470916119390345,0.2563297195473486,0.4013266068352682,0.8354145693305584,0.43944444444444447,0.026228994131088257,0.04180245939642191,0.6866666666666666
maf5_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.556391963487769,0.21030400454523734,0.556391963487769,0.21013208553434015,0.5538210943740859,0.002780309429043948,0.008326818218288583,0.03397341833061742,0.46944444444444444,0.6701805889606476,0.7433489518676032,0.6533333333333333
maf6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34756171762371757,8.430391538960524e-05,0.3475826974546584,5.9629207089351155e-05,0.34754944488516754,6.037204289199849e-05,0.07470897504031146,0.2177232986889077,0.37666666666666665,0.7303419969975948,0.7601518744260681,0.5288888888888889
maf6_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.20007691096822428,7.71314554734448e-05,0.20007691096822428,7.933792919256888e-05,0.20004769572118464,9.028481800085753e-05,0.31731050786291415,0.7060086997630803,0.49277777777777776,0.054921628907322884,0.08361203206786469,0.64
maf7_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.24291056198044492,2.9231514767635858e-05,0.24291056198044492,2.9231514767635858e-05,0.2428942321808124,3.035304776363712e-05,1.0,1.0,0.5,0.010598260909318924,0.01930397522768804,0.7211111111111111
maf7_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2774851933206389,0.0005974355500900641,0.2774851933206389,0.0005974355500900641,0.276716780924268,0.0009699638491334484,1.0,1.0,0.5,0.00046010687947273254,0.001173272542655468,0.7588888888888888
wfg1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.6876220304232692,0.004917236321355656,0.6866236593683017,0.004716744673115558,0.6855107760896693,0.008604259894317234,0.9500399854424391,1.0,0.5705555555555556,0.016431212425231934,0.027933061122894287,0.6711111111111111
wfg1_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.9450800424051267,0.001710900647588498,0.944633480372402,0.0011582661081823709,0.9442545135560307,0.0014359237772071376,0.6408254038542509,1.0,0.5622222222222222,0.17059839516878128,0.23201381742954255,0.6266666666666667
wfg2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.632804631014187,0.0005023567919314464,0.632532138617502,0.0005310112024524694,0.6332730164867548,0.0001989801584663109,0.0050126127898693085,0.022229848024637802,0.6944444444444444,4.7124922275543213e-07,2.52986424847653e-06,0.12
wfg2_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.9305928353362367,0.001492105225804452,0.9288007447906719,0.001958411945382821,0.9304206912899461,0.0014479840599007643,5.5396595874845834e-05,0.0005136775253849342,0.8483333333333334,0.685047073289752,0.7433489518676032,0.5522222222222222
wfg3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.5811600827304082,0.0009774385579867095,0.5813182695705181,0.000670188520719539,0.5816374345340938,0.00039321159648531,0.09610157273709774,0.2649286599779451,0.41444444444444445,9.220093488693237e-06,4.0889110254204794e-05,0.21444444444444444
wfg3_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.38700283182970563,0.004087261426955979,0.3958581854595089,0.0034908919195898447,0.3883278324029571,0.005910694821524065,1.862645149230957e-09,9.499490261077881e-08,0.006666666666666667,0.18396909348666668,0.24690588862684212,0.39555555555555555
wfg4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3471894613384255,0.00014201314955114563,0.3472926115372511,0.00012802493745089905,0.3470898334167435,0.0002492321998921465,0.0009517744183540344,0.005109525824847974,0.24888888888888888,0.026228994131088257,0.04180245939642191,0.67
wfg4_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5437767596876776,0.0024398196376630432,0.5515786497552875,0.002396973156279847,0.5426420412627242,0.004355598914462688,1.862645149230957e-09,9.499490261077881e-08,0.0044444444444444444,0.12935307621955872,0.1832501913110415,0.6322222222222222
wfg5_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3135616057019116,8.857760945568671e-05,0.3135769992176194,8.037587009357416e-05,0.3134339265650694,0.00014190353333037864,0.11921786079963735,0.30400554503907523,0.4177777777777778,0.0003800932317972183,0.0010478245849544938,0.8122222222222222
wfg5_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5160978415693707,0.0017280853127413787,0.5160978415693707,0.0017280853127413787,0.5139991198513079,0.0015225111988395046,1.0,1.0,0.5,4.968419671058655e-05,0.00018099243087427958,0.8377777777777777
wfg6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3061791501596931,0.017603224485486735,0.3063805123611641,0.01769689685039283,0.3030375582741972,0.018689683407135005,0.31839608028531075,0.7060086997630803,0.4988888888888889,0.7303419969975948,0.7601518744260681,0.5533333333333333
wfg6_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.4962284597254649,0.022449027433682434,0.4991255985886996,0.017994383127809987,0.5007050069767436,0.021864890895196498,4.7124922275543213e-07,1.201685518026352e-05,0.44222222222222224,0.2621222734451294,0.33007989989386666,0.42333333333333334
wfg7_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34642608579833056,0.00038060350895186,0.3466236014044668,0.0002934824880281295,0.3463003478145032,0.00028796683562126724,4.4075772166252136e-05,0.0004495728760957718,0.22111111111111112,0.2988441474735737,0.3717329639305429,0.6233333333333333
wfg7_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5495724091986166,0.002363984812294606,0.5495724091986166,0.002363984812294606,0.542886319242958,0.0040054015361533635,1.0,1.0,0.5,3.725290298461914e-09,7.599592208862304e-08,0.9844444444444445
wfg8_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.28968436793624364,0.0010246929402399352,0.28969627876810633,0.0007787250535158385,0.2899927805641901,0.0010923874667417843,0.024786051362752914,0.08427257463335991,0.47,0.036434996873140335,0.05717491817015868,0.36
wfg8_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.45993973027909063,0.0038673534637195806,0.4623114068481106,0.003933990094356243,0.45819968070214767,0.0036120605293155084,0.0003800932317972183,0.00315507606332222,0.21888888888888888,0.42795460671186447,0.5135455280542374,0.57
wfg9_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34145164959897084,0.0029091732805748283,0.34118412400203446,0.002225304146308782,0.3430223766506969,0.0010787090878459638,0.805037372957797,1.0,0.5238888888888888,0.00018860027194023132,0.000565800815820694,0.2811111111111111
wfg9_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.51554487849616,0.007096305720601825,0.5365790933566716,0.01008924715665116,0.5156516304682184,0.008270085157569218,4.074379600651387e-06,5.936953132377735e-05,0.10833333333333334,0.6263462882488966,0.7098591266820828,0.52
zdt1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.7204323275044762,0.00016215734361502143,0.7204348088197027,0.0001535075271510422,0.7203049801901811,0.00013429718829149895,0.591046535600346,1.0,0.485,0.0050126127898693085,0.01022573009133339,0.7488888888888889
zdt2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.4450241599533885,0.00011650382051919816,0.4450241599533885,0.00011650382051919816,0.44495943212216604,8.747291080091202e-05,1.0,1.0,0.5,0.00020912662148475647,0.0006094547254698618,0.73
zdt3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.5997309733038889,7.816575220787048e-05,0.5997309733038889,7.816575220787048e-05,0.5996861136425929,5.6981874090755724e-05,1.0,1.0,0.5,0.0011314544826745987,0.002508877331148023,0.7144444444444444
zdt4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.7206052567454648,2.3933682104293474e-05,0.7206052567454648,2.3933682104293474e-05,0.7203890744512973,0.0002505586353750422,1.0,1.0,0.5,5.587935447692871e-09,9.499490261077881e-08,0.9633333333333334
zdt6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3889367912256615,1.8657787538678416e-05,0.3889367912256615,1.8657787538678416e-05,0.3889091726314668,1.6057508665956455e-05,1.0,1.0,0.5,4.6566128730773926e-08,3.9581209421157837e-07,0.9222222222222223
dtlz1_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0018261844791052305,1.5730087505851998e-05,0.0018244992209831147,8.95939020863299e-06,0.0018354208956210356,1.4004454523285515e-05,0.41408911786023783,0.8447418004348851,0.5544444444444444,0.01453801617026329,0.025566856023566478,0.31666666666666665
dtlz1_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.019993340699008717,0.0001539940869887818,0.019944825214002135,0.00016409496152124461,0.020016177488649915,0.00015272514640170265,0.34921617388183757,0.7420843694989049,0.5922222222222222,0.9676735773682594,0.9676735773682594,0.5077777777777778
dtlz2_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004178074687019907,7.091346652420786e-05,0.0041178426437836,4.430418928073627e-05,0.0041767659649672075,6.80222026040074e-05,0.00040211753748224373,0.00315507606332222,0.8111111111111111,0.9676735773682594,0.9676735773682594,0.5388888888888889
dtlz2_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.05316387471498587,0.000858814402377249,0.05316387471498587,0.000858814402377249,0.05375965709009298,0.0006275079493126348,0.9808795062755976,1.0,0.5,0.008705463260412216,0.01614467731930993,0.2633333333333333
dtlz3_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004041021935358944,4.598078618541033e-05,0.004041021935358944,4.598078618541033e-05,0.004175256927921452,0.00020102004823793675,1.0,1.0,0.5,8.009374141693115e-08,6.284278172713059e-07,0.058888888888888886
dtlz3_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.05268926643427344,0.0008639418688343586,0.05268926643427344,0.0008639418688343586,0.053086459163173436,0.00105623103230066,1.0,1.0,0.5,0.008142979815602303,0.015381184096137682,0.32555555555555554
dtlz4_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004182642620567455,8.233062606780375e-05,0.0041048893216249095,6.817728497730997e-05,0.004156378341950297,8.00584692957837e-05,0.000701806567895925,0.004772284661692289,0.7533333333333333,0.4771064817905426,0.5593662200302914,0.5566666666666666
dtlz4_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.05355995823274165,0.0006152572008598367,0.05355995823274165,0.0006152572008598367,0.054412070314424146,0.3643637104896175,1.0,1.0,0.5,2.60770320892334e-08,2.9553969701131183e-07,0.1
dtlz5_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004148177806220687,7.855297387077825e-05,0.004129311042093091,7.06186183120315e-05,0.004167563129976478,3.896140861283249e-05,0.01453801617026329,0.054921394420994654,0.67,0.2621222734451294,0.33007989989386666,0.4177777777777778
dtlz5_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004296240310533911,0.00011650374941548497,0.004296240310533911,0.00011650374941548497,0.00435531276560368,0.0001456454120194635,1.0,1.0,0.5,0.0005548261106014252,0.0013802991044230576,0.25222222222222224
dtlz6_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004084733484018294,3.376299028895642e-05,0.004054689923299672,3.534671109815986e-05,0.00408818816915595,3.743850287476428e-05,3.904104232788086e-05,0.0004424651463826497,0.8411111111111111,0.7151329666376114,0.7598287770524621,0.48777777777777775
dtlz6_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.00408118371872483,4.6032626203005786e-05,0.0040559686085113525,3.1081658616672996e-05,0.0040902494617720145,3.8886653557565834e-05,0.022098854184150696,0.07772700437184038,0.6933333333333334,0.20540969260036945,0.2686126749389447,0.39444444444444443
dtlz7_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004713135260978911,9.901367099632383e-05,0.004713135260978911,9.901367099632383e-05,0.004784189895057786,8.51351923241133e-05,1.0,1.0,0.5,0.0004183966666460037,0.0011230647367866415,0.2411111111111111
dtlz7_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.05932931132711368,0.0012950772393612031,0.05932931132711368,0.0012950772393612031,0.05981399309642896,0.0022219265526485787,1.0,1.0,0.5,0.4898460879921913,0.561396640170826,0.4088888888888889
maf1_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.003792618289530862,8.200463164599776e-05,0.003738158406155399,7.959606027369177e-05,0.0038096045651704086,5.5640944717386814e-05,0.06438542895975957,0.19315628687927872,0.6288888888888889,0.024786051362752914,0.040777052241948344,0.33666666666666667
maf1_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.040881486705132225,0.00046659526228556847,0.040881486705132225,0.00046659526228556847,0.04147093036217691,0.0006050136792329561,1.0,1.0,0.5,2.551823854446411e-07,1.5310943126678467e-06,0.13777777777777778
maf2_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0021175016722719767,3.567665999643652e-05,0.0021175016722719767,3.567665999643652e-05,0.0021843512318951695,3.558862595908537e-05,1.0,1.0,0.5,4.6566128730773926e-08,3.9581209421157837e-07,0.06555555555555556
maf2_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.030827519466257274,0.0012270929208940372,0.030827519466257274,0.0012270929208940372,0.03210549051609238,0.0015060410057117016,1.0,1.0,0.5,0.00013739429414272308,0.00043794431257992983,0.15888888888888889
maf3_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.003767042676945816,7.131480127449017e-05,0.003767042676945816,7.131480127449017e-05,0.004385607062387457,0.0007488237187252061,1.0,1.0,0.5,1.862645149230957e-09,6.332993507385254e-08,0.03
maf3_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.031943922553046816,0.0005971827920976114,0.031943922553046816,0.0005971827920976114,0.03288075688248415,0.0009383047489106844,1.0,1.0,0.5,4.421919584274292e-06,2.147789512361799e-05,0.13777777777777778
maf4_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.012479366263154804,0.00015677094160740368,0.012479366263154804,0.00015677094160740368,0.012695946994313586,0.0002003455665311113,1.0,1.0,0.5,3.049522638320923e-05,0.00011963511888797466,0.16
maf4_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.23625877921308241,0.0036236846451114246,0.23625877921308241,0.0036236846451114246,0.23999132485281102,0.004199891244460935,1.0,1.0,0.5,2.6885420083999634e-05,0.00010969251394271851,0.18666666666666668
maf5_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.01282571321876521,0.0002959618313345576,0.012686267482462377,0.00032377930865021276,0.012857753379204872,1.9957229405365688,0.0038430548892057475,0.01781779994086301,0.6572222222222223,0.46454504504799843,0.5509720301732074,0.42333333333333334
maf5_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.24333602266308918,1.2517548140791046,0.24333602266308918,1.251561768901518,0.24443877345719156,0.0046677110607388494,0.04901955731679922,0.1562498389472975,0.5316666666666666,0.7000329215079546,0.7516142946716986,0.48333333333333334
maf6_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004062155784967688,4.604300635574921e-05,0.004050863000585898,3.9908322420277934e-05,0.0040834398801645345,4.560545226944823e-05,0.24827995115992452,0.6029655956741024,0.5644444444444444,0.20540969260036945,0.2686126749389447,0.37666666666666665
maf6_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004054476702769549,3.283457359238174e-05,0.004056413999260591,3.258862983415191e-05,0.00408584925573122,3.647097444144792e-05,0.31731050786291415,0.7060086997630803,0.48388888888888887,0.0008718203753232956,0.001976126184066137,0.21222222222222223
maf7_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004679916053465854,0.00010814753435242717,0.004679916053465854,0.00010814753435242717,0.004753154010767396,7.848816290741568e-05,1.0,1.0,0.5,0.0021877754479646683,0.004554144810048902,0.24333333333333335
maf7_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.05932931132711368,0.0012950772393612031,0.05932931132711368,0.0012950772393612031,0.05981399309642896,0.0022219265526485787,1.0,1.0,0.5,0.4898460879921913,0.561396640170826,0.4088888888888889
wfg1_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.020753426718041618,0.01060382275728854,0.02324580632972329,0.014515581314141792,0.027150897316567314,0.036515677483057105,0.8182932366388466,1.0,0.42833333333333334,0.012047622352838516,0.02155890315771103,0.33
wfg1_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.1532487789604856,0.0041815739224733695,0.1537548960953043,0.002900183387552241,0.15446407365655856,0.005015818277464279,0.6554384250193834,1.0,0.4866666666666667,0.685047073289752,0.7433489518676032,0.4577777777777778
wfg2_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.011157573272294136,0.000345544120533163,0.011264171635229322,0.0002906908381363777,0.01101950822825025,0.00020987655129245386,0.3284698575735092,0.7128494781382541,0.41888888888888887,0.0006084088236093521,0.0014432023257710213,0.7811111111111111
wfg2_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.1714742622465947,0.006283378797142997,0.17964650540591784,0.008863888760366812,0.16948951922686692,0.00634535163247224,2.4786764370169976e-05,0.0003160312457196672,0.14722222222222223,0.17059839516878128,0.23201381742954255,0.6111111111111112
wfg3_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.012336913720489489,0.0007549696821709338,0.01214792112068245,0.0004292448757205799,0.012066180471769754,0.00027316257009956345,0.008705463260412216,0.03415220202161716,0.6433333333333333,0.0001528710126876831,0.0004725104028528387,0.7388888888888889
wfg3_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.10174807310660397,0.007093245834332407,0.08796424871136832,0.011134832840820189,0.10020880541154836,0.013476128763196288,4.6566128730773926e-08,1.5832483768463135e-06,0.9466666666666667,0.338741784915328,0.4113293102543269,0.5866666666666667
wfg4_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.012732698626635054,0.00023555042728883382,0.012671686576369409,0.00017624310690673474,0.012824387548599363,0.000284923381152314,0.10943205840885639,0.292956308058406,0.6133333333333333,0.05768792890012264,0.08653189335018396,0.31555555555555553
wfg4_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.21332260113159118,0.003033682017076489,0.21095819894243548,0.002006497879687097,0.21455409698664257,0.002907508728531266,0.0012321043759584427,0.006283732317388058,0.7666666666666667,0.015460003167390823,0.02672746310294685,0.2833333333333333
wfg5_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.06354018086793327,0.00013446909175407473,0.06347185148438372,0.00013304920889457839,0.06366979461172007,0.00013167318847316645,0.04024111592763277,0.13240625240704976,0.6344444444444445,3.904104232788086e-05,0.0001474883821275499,0.14444444444444443
wfg5_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.21992745475035042,0.0029044648646735782,0.21992745475035042,0.0029044648646735782,0.22208429656804435,0.0028557225580406187,1.0,1.0,0.5,0.0003800932317972183,0.0010478245849544938,0.22555555555555556
