case_id,metric,pairing,test_method,n_ctrl,n_ivf,n_spea2,median_ctrl,iqr_ctrl,median_ivf,iqr_ivf,median_spea2,iqr_spea2,p_ctrl_vs_ivf,p_bh_ctrl_vs_ivf,a12_ctrl_vs_ivf,p_ctrl_vs_spea2,p_bh_ctrl_vs_spea2,a12_ctrl_vs_spea2
dtlz1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.5825061605310056,1.9458711567610365e-05,0.5825061605310056,1.820760110582409e-05,0.5824140302172505,0.00013669828535212147,0.31731050786291415,0.7552651206767836,0.49277777777777776,1.30385160446167e-07,8.312053978443146e-07,0.9322222222222222
dtlz1_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.8427201674114257,0.0002727436930102245,0.8427201674114257,0.00025946573546686835,0.842543115676244,0.0005857246183652576,0.9808795062755976,1.0,0.49666666666666665,0.004338232800364494,0.0077631534322312006,0.7322222222222222
dtlz2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34742818773878326,0.00010305960590278884,0.3474330166776683,0.00011052704289299387,0.34727897285891235,0.00013351489650365034,0.31731050786291415,0.7552651206767836,0.48277777777777775,2.551823854446411e-07,1.446033517519633e-06,0.8333333333333334
dtlz2_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5580394332480185,0.0012026148803027104,0.5580394332480185,0.0012026148803027104,0.5557195569826755,0.0013126457542316228,1.0,1.0,0.5,2.60770320892334e-08,2.659857273101807e-07,0.9177777777777778
dtlz3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34750523132389494,9.221449191570974e-05,0.34750523132389494,9.221449191570974e-05,0.34669865880090417,0.0009045907902038852,1.0,1.0,0.5,3.725290298461914e-09,9.499490261077881e-08,0.9588888888888889
dtlz3_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5614322941179273,0.0011629769035657045,0.5614322941179273,0.0011629769035657045,0.557948434482928,0.003312112925052957,1.0,1.0,0.5,1.30385160446167e-07,8.312053978443146e-07,0.8933333333333333
dtlz4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34741649433462,9.393670348101235e-05,0.34741649433462,8.503305055895805e-05,0.34729937464654637,9.611048932389732e-05,1.0,1.0,0.5088888888888888,0.00023163668811321259,0.0006058190304499406,0.8322222222222222
dtlz4_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.558178236777906,0.002063177785149528,0.558178236777906,0.002063177785149528,0.5537945524155319,0.1563415703913858,1.0,1.0,0.5,1.30385160446167e-08,1.8998980522155762e-07,0.9144444444444444
dtlz5_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3473971792976411,0.00012796018930222308,0.34740176567101827,0.00012004777725233007,0.3472511883220434,0.00011806096630012641,0.31731050786291415,0.7552651206767836,0.47833333333333333,4.421919584274292e-06,1.9610252069390338e-05,0.8111111111111111
dtlz5_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.19974945519314352,0.00013393143786510908,0.19974945519314352,0.00013393143786510908,0.19962138255133757,0.00017243181821652298,1.0,1.0,0.5,0.005382779985666275,0.009466268250654483,0.77
dtlz6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3475857107366527,4.542855875511176e-05,0.34758181801549104,4.0907003890422455e-05,0.34757073018953233,7.047590681208415e-05,0.6959309442940154,1.0,0.5383333333333333,0.029325857758522034,0.04273196416241782,0.64
dtlz6_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.20009921457269414,6.787581213674176e-05,0.20008235465869856,7.147159206974396e-05,0.20007736595830547,4.7662421250704856e-05,0.7891592341415333,1.0,0.5272222222222223,0.013663241639733315,0.02212143884528251,0.6688888888888889
dtlz7_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.24290506782707372,1.6987308686794433e-05,0.24290506782707372,1.6987308686794433e-05,0.24288635134748646,3.852306918158965e-05,1.0,1.0,0.5,1.597777009010315e-05,6.036046478483412e-05,0.7977777777777778
dtlz7_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2774851933206389,0.0005974355500900641,0.2774851933206389,0.0005974355500900641,0.276716780924268,0.0009699638491334484,1.0,1.0,0.5,0.00046010687947273254,0.0010914163187492726,0.7588888888888888
maf1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.5822336752126798,0.0001051835707340798,0.5822336752126798,0.0001051835707340798,0.582060395451015,0.0001306105717944206,1.0,1.0,0.5,1.862645149230957e-08,2.3748725652694702e-07,0.9166666666666666
maf1_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2200942460391271,0.0007647719363072514,0.2200942460391271,0.0007647719363072514,0.21868488966428945,0.0010708861733062791,1.0,1.0,0.5,1.862645149230957e-09,6.332993507385254e-08,0.9555555555555556
maf2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.20725565712036492,4.499425470566587e-05,0.20725565712036492,4.499425470566587e-05,0.20712768151605157,6.712580648457478e-05,1.0,1.0,0.5,9.313225746154785e-09,1.5832483768463135e-07,0.9677777777777777
maf2_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2362264747094307,0.0020632625145786676,0.2362264747094307,0.0020632625145786676,0.23444577679442818,0.0014395549671896435,1.0,1.0,0.5,0.0007296018302440643,0.0015504038892686367,0.7966666666666666
maf3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.7204765594602525,0.00011689444923423942,0.7204765594602525,0.00011689444923423942,0.7185878541298923,0.0015426456129782329,1.0,1.0,0.5,1.862645149230957e-09,6.332993507385254e-08,0.9733333333333334
maf3_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.9632990171492676,0.0002347245689460209,0.9632990171492676,0.0002347245689460209,0.962704482323636,0.0008605309947274931,1.0,1.0,0.5,3.855675458908081e-07,2.0698889305717067e-06,0.9366666666666666
maf4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.8191289527885219,7.531911815972236e-05,0.8191289527885219,7.531911815972236e-05,0.8187602852664171,0.0005694397731216272,1.0,1.0,0.5,4.6566128730773926e-08,3.6536501004145697e-07,0.95
maf4_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5330704782827211,0.0014273531707079679,0.5330704782827211,0.0014273531707079679,0.5304673489751877,0.0030646939185758892,1.0,1.0,0.5,2.7623027563095093e-06,1.3416899102074759e-05,0.8188888888888889
maf5_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34726541603033245,0.00021936163438845968,0.3472545798767497,0.00021936163438845968,0.3470916119390345,0.2563297195473486,0.31731050786291415,0.7552651206767836,0.5072222222222222,0.0012321043759584427,0.0024168201220723298,0.7322222222222222
maf5_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.556391963487769,0.21013208553434015,0.556391963487769,0.21013208553434015,0.5538210943740859,0.002780309429043948,1.0,1.0,0.5,0.6701805889606476,0.7272172348296388,0.6688888888888889
maf6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3475826974546584,5.9629207089351155e-05,0.3475826974546584,5.9629207089351155e-05,0.34754944488516754,6.037204289199849e-05,1.0,1.0,0.5,0.047259049490094185,0.06695032011096676,0.6455555555555555
maf6_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.20007691096822428,7.933792919256888e-05,0.20007691096822428,7.933792919256888e-05,0.20004769572118464,9.028481800085753e-05,1.0,1.0,0.5,0.054921628907322884,0.07673981025406759,0.6455555555555555
