Grupo,Algoritmo,Problema,Run,M,D,arquivo_original,IGD,runtime,HV,Spread,IGDp,Spacing
DTLZ,AGEMOEAII,DTLZ1,1,M2,D6,AGEMOEAII_DTLZ1_M2_D6_1.mat,0.00210303054705775,9.61237000000001,0.58185167883488,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,2,M2,D6,AGEMOEAII_DTLZ1_M2_D6_2.mat,0.0020029451145855,9.197483,0.582063972949082,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,3,M2,D6,AGEMOEAII_DTLZ1_M2_D6_3.mat,0.00199602425187646,10.343809,0.5821002227983,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,4,M2,D6,AGEMOEAII_DTLZ1_M2_D6_4.mat,0.00198275095021012,9.459425,0.581987674396744,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,5,M2,D6,AGEMOEAII_DTLZ1_M2_D6_5.mat,0.00212590403663198,9.85914499999998,0.581791414676686,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,6,M2,D6,AGEMOEAII_DTLZ1_M2_D6_6.mat,0.00211893931790392,9.234096,0.581812309877896,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,7,M2,D6,AGEMOEAII_DTLZ1_M2_D6_7.mat,0.00197647954683475,8.338307,0.582120290970708,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,8,M2,D6,AGEMOEAII_DTLZ1_M2_D6_8.mat,0.00199351416966749,8.009152,0.582103387646695,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,9,M2,D6,AGEMOEAII_DTLZ1_M2_D6_9.mat,0.00199371310041845,8.304492,0.582072742159792,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,10,M2,D6,AGEMOEAII_DTLZ1_M2_D6_10.mat,0.00208144977758252,7.732552,0.581884628908773,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,11,M2,D6,AGEMOEAII_DTLZ1_M2_D6_11.mat,0.00204137443966261,7.992687,0.582003586394931,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,12,M2,D6,AGEMOEAII_DTLZ1_M2_D6_12.mat,0.00204915338517867,7.30978199999999,0.581980660927273,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,13,M2,D6,AGEMOEAII_DTLZ1_M2_D6_13.mat,0.00206987606671121,7.25254099999999,0.581937467176861,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,14,M2,D6,AGEMOEAII_DTLZ1_M2_D6_14.mat,0.00206184362326189,9.415757,0.581950378537476,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,15,M2,D6,AGEMOEAII_DTLZ1_M2_D6_15.mat,0.00209279372904234,8.548951,0.58184213241781,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,16,M2,D6,AGEMOEAII_DTLZ1_M2_D6_16.mat,0.00207804289605029,8.09515799999999,0.581918363574839,NaN,NaN,NaN
