case_id,problem,m,d,family,early_frac,label_binary,n_runs,ivf_turnover_early,spea2_turnover_early,label_binary_eval
zdt1_m2,ZDT1,2,30,ZDT,0.05,HELPS,30,0.5696938775510205,0.5274489795918367,HELPS
zdt1_m2,ZDT1,2,30,ZDT,0.1,HELPS,30,0.4553030303030303,0.44055555555555553,HELPS
zdt1_m2,ZDT1,2,30,ZDT,0.15,HELPS,30,0.38248322147651004,0.37661073825503355,HELPS
zdt1_m2,ZDT1,2,30,ZDT,0.2,HELPS,30,0.34236180904522606,0.3388190954773869,HELPS
zdt1_m2,ZDT1,2,30,ZDT,0.25,HELPS,30,0.316285140562249,0.31618473895582333,HELPS
zdt1_m2,ZDT1,2,30,ZDT,0.3,HELPS,30,0.2989632107023411,0.30000000000000004,HELPS
zdt2_m2,ZDT2,2,30,ZDT,0.05,HELPS,30,0.6260204081632652,0.5554081632653061,HELPS
zdt2_m2,ZDT2,2,30,ZDT,0.1,HELPS,30,0.4981818181818181,0.4714646464646464,HELPS
zdt2_m2,ZDT2,2,30,ZDT,0.15,HELPS,30,0.4129530201342282,0.3956040268456376,HELPS
zdt2_m2,ZDT2,2,30,ZDT,0.2,HELPS,30,0.3644974874371859,0.3512814070351759,HELPS
zdt2_m2,ZDT2,2,30,ZDT,0.25,HELPS,30,0.33363453815261046,0.32421686746987954,HELPS
zdt2_m2,ZDT2,2,30,ZDT,0.3,HELPS,30,0.31128762541806015,0.3065551839464883,HELPS
zdt3_m2,ZDT3,2,30,ZDT,0.05,HELPS,30,0.5262244897959184,0.49806122448979595,HELPS
zdt3_m2,ZDT3,2,30,ZDT,0.1,HELPS,30,0.43353535353535355,0.41095959595959597,HELPS
zdt3_m2,ZDT3,2,30,ZDT,0.15,HELPS,30,0.36838926174496645,0.3578859060402685,HELPS
zdt3_m2,ZDT3,2,30,ZDT,0.2,HELPS,30,0.3288693467336683,0.32298994974874373,HELPS
zdt3_m2,ZDT3,2,30,ZDT,0.25,HELPS,30,0.30373493975903615,0.3007028112449799,HELPS
zdt3_m2,ZDT3,2,30,ZDT,0.3,HELPS,30,0.2862541806020067,0.2868394648829431,HELPS
zdt4_m2,ZDT4,2,10,ZDT,0.05,HELPS,30,0.45173469387755105,0.3570408163265306,HELPS
zdt4_m2,ZDT4,2,10,ZDT,0.1,HELPS,30,0.3802020202020202,0.31919191919191925,HELPS
