Config,Problem,M,IGD
IVFSPEA2,DTLZ1,3,0.019958209148562802
IVFSPEA2,DTLZ1,3,0.020216393343976412
IVFSPEA2,DTLZ1,3,0.019855292073076024
IVFSPEA2,DTLZ1,3,0.020055704738996864
IVFSPEA2,DTLZ1,3,0.01996533316292991
IVFSPEA2,DTLZ1,3,0.020118360392944387
IVFSPEA2,DTLZ1,3,0.02029503830450243
IVFSPEA2,DTLZ1,3,0.02034416522737739
IVFSPEA2,DTLZ1,3,0.02028179062361682
IVFSPEA2,DTLZ1,3,0.019963469830920712
IVFSPEA2,DTLZ1,3,0.020130215089915547
IVFSPEA2,DTLZ1,3,0.020119926535425076
IVFSPEA2,DTLZ1,3,0.02012514422438838
IVFSPEA2,DTLZ1,3,0.020287915613692756
IVFSPEA2,DTLZ1,3,0.02001459903485012
IVFSPEA2,DTLZ1,3,0.019930748668722107
IVFSPEA2,DTLZ1,3,0.020145664241256935
IVFSPEA2,DTLZ1,3,0.019810762527017547
IVFSPEA2,DTLZ1,3,0.020050563636495787
IVFSPEA2,DTLZ1,3,0.020132543760202695
IVFSPEA2,DTLZ1,3,0.02018077409141911
IVFSPEA2,DTLZ1,3,0.020024037439448725
IVFSPEA2,DTLZ1,3,0.020026121535091684
IVFSPEA2,DTLZ1,3,0.02000537170112493
IVFSPEA2,DTLZ1,3,0.020015593614579465
IVFSPEA2,DTLZ1,3,0.019953455060386868
IVFSPEA2,DTLZ1,3,0.020093162135775246
IVFSPEA2,DTLZ1,3,0.02002740021341581
IVFSPEA2,DTLZ1,3,0.01993759374305088
IVFSPEA2,DTLZ1,3,0.020190782871836503
IVFSPEA2,DTLZ2,3,0.053178575921518735
IVFSPEA2,DTLZ2,3,0.05363673030817933
IVFSPEA2,DTLZ2,3,0.053694492547395264
IVFSPEA2,DTLZ2,3,0.053728416049476084
IVFSPEA2,DTLZ2,3,0.053481083031600755
IVFSPEA2,DTLZ2,3,0.05307715870573112
IVFSPEA2,DTLZ2,3,0.05331398145573654
IVFSPEA2,DTLZ2,3,0.053709050108411975
IVFSPEA2,DTLZ2,3,0.05378953179001432
IVFSPEA2,DTLZ2,3,0.054991404205390206
IVFSPEA2,DTLZ2,3,0.053422545473554454
IVFSPEA2,DTLZ2,3,0.054970289280820595
IVFSPEA2,DTLZ2,3,0.0540656714986732
IVFSPEA2,DTLZ2,3,0.05300114225768606
IVFSPEA2,DTLZ2,3,0.054367227042844836
IVFSPEA2,DTLZ2,3,0.053316653098027876
IVFSPEA2,DTLZ2,3,0.054373200033036515
IVFSPEA2,DTLZ2,3,0.05356362399917847
IVFSPEA2,DTLZ2,3,0.05381546411213898
IVFSPEA2,DTLZ2,3,0.054013213083435645
IVFSPEA2,DTLZ2,3,0.054059569926952156
IVFSPEA2,DTLZ2,3,0.05357132575397532
IVFSPEA2,DTLZ2,3,0.054444147672058574
IVFSPEA2,DTLZ2,3,0.05453340717381255
IVFSPEA2,DTLZ2,3,0.05412619720187871
IVFSPEA2,DTLZ2,3,0.05366800193041003
IVFSPEA2,DTLZ2,3,0.05391770888992181
IVFSPEA2,DTLZ2,3,0.05404878994637594
IVFSPEA2,DTLZ2,3,0.05390823382106122
IVFSPEA2,DTLZ2,3,0.05359627207934125
IVFSPEA2,DTLZ4,3,0.05412713310879172
IVFSPEA2,DTLZ4,3,0.05409870497085087
IVFSPEA2,DTLZ4,3,0.05444488226580375
IVFSPEA2,DTLZ4,3,0.5408254568238535
IVFSPEA2,DTLZ4,3,0.5408317749599572
IVFSPEA2,DTLZ4,3,0.054699861457100867
IVFSPEA2,DTLZ4,3,0.5408505963333303
IVFSPEA2,DTLZ4,3,0.540836433361963
IVFSPEA2,DTLZ4,3,0.05494098111270387
IVFSPEA2,DTLZ4,3,0.5408385638640345
IVFSPEA2,DTLZ4,3,0.054235266212350676
