Problem,M,IVFSPEA2_P2_C05_median,IVFSPEA2_P2_C05_formatted,IVFSPEA2_median,IVFSPEA2_formatted,SPEA2_median,SPEA2_formatted,IVFSPEA2_p_raw,IVFSPEA2_direction,SPEA2_p_raw,SPEA2_direction,IVFSPEA2_p_adj,IVFSPEA2_indicator,SPEA2_p_adj,SPEA2_indicator
ZDT1,2,0.003915558435863102,3.92(0.07)e-3,0.0039090755406164,3.91(0.07)e-3,0.0039724770508656,3.97(0.11)e-3,0.9435118656366177,-,0.00032074523716966617,+,1.0,=,0.009622357115089984,+
ZDT2,2,0.003896293947325189,3.90(0.08)e-3,0.0039041432444544,3.90(0.07)e-3,0.003913216408325,3.91(0.06)e-3,0.20123407100192758,+,0.03600852018926173,+,1.0,=,0.6841618835959729,=
ZDT3,2,0.004868464877923039,4.87(0.14)e-3,0.0048535141045084,4.85(0.15)e-3,0.0049225086321233,4.92(0.18)e-3,0.33812499588035305,-,0.1885824987934308,+,1.0,=,1.0,=
ZDT4,2,0.0038368220761156894,3.84(0.06)e-3,0.00384375221312935,3.84(0.05)e-3,0.00386323700889605,3.86(0.05)e-3,0.2283721993204626,+,0.0006153952324613767,+,1.0,=,0.01661567127645717,+
ZDT6,2,0.003075159470148442,3.08(0.03)e-3,0.0030781681476957498,3.08(0.04)e-3,0.00309512631937595,3.10(0.03)e-3,0.968599550786657,+,8.872440511917812e-06,+,1.0,=,0.0003815149420124659,+
DTLZ1,2,0.0018253840487151669,1.83(0.01)e-3,0.0018273876598486,1.83(0.01)e-3,0.0018341394130401,1.83(0.01)e-3,0.27380536557428314,+,3.9172235186685546e-05,+,1.0,=,0.0016060616426541074,+
DTLZ2,2,0.004142311475779782,4.14(0.05)e-3,0.004138650745962549,4.14(0.04)e-3,0.00418100382446195,4.18(0.06)e-3,0.9853434967954952,-,7.658289467492374e-05,+,1.0,=,0.002910149997647102,+
DTLZ3,2,0.00425677461987158,4.26(0.43)e-3,0.0041941023300685,4.19(0.25)e-3,0.0042939187025745,4.29(0.38)e-3,0.3048402615192033,-,0.4513419546750508,+,1.0,=,1.0,=
DTLZ4,2,0.0041427885068419925,4.14(0.08)e-3,0.0041575945394131,4.16(737.96)e-3,0.00416475354508685,4.16(0.08)e-3,0.08853377201422956,+,0.16990191297923563,+,1.0,=,1.0,=
DTLZ5,2,0.004137966926779269,4.14(0.06)e-3,0.0041432324125701,4.14(0.05)e-3,0.0041740627226965,4.17(0.06)e-3,0.46405558884502185,+,0.0005695161754070494,+,1.0,=,0.015946452911397384,+
DTLZ6,2,0.0040738188804172685,4.07(0.03)e-3,0.0040690972297923005,4.07(0.05)e-3,0.004093124659048,4.09(0.04)e-3,0.4513419546750508,-,0.0002565042235597307,+,1.0,=,0.008208135153911382,+
DTLZ7,2,0.004750737812488587,4.75(0.11)e-3,0.00478168912406845,4.78(0.08)e-3,0.00477429662951355,4.77(0.13)e-3,0.08952009557288666,+,0.16188429211543676,+,1.0,=,1.0,=
WFG1,2,0.017285095759016864,1.73(0.07)e-2,0.01212276855391315,1.21(0.01)e-2,0.0292511404250795,2.93(2.40)e-2,3.5565709749847226e-21,-,3.652527001763173e-18,+,1.8138511972422085e-19,-,1.8627887708992182e-16,+
WFG2,2,0.011187034739373335,1.12(0.03)e-2,0.0110916879885409,1.11(0.03)e-2,0.0110770246152068,1.11(0.02)e-2,0.03989425892270804,-,0.005362637674863876,-,1.0,=,0.128703304196733,=
WFG3,2,0.011968235793829975,1.20(0.03)e-2,0.0119958283619141,1.20(0.03)e-2,0.01203636143409715,1.20(0.03)e-2,0.8976807731002201,+,0.2807681883057561,+,1.0,=,1.0,=
WFG4,2,0.01274734028545463,1.27(0.02)e-2,0.01276050679590485,1.28(0.02)e-2,0.01289092475863135,1.29(0.03)e-2,0.516851144143313,+,0.00012334575440397385,+,1.0,=,0.0043171014041390844,+
WFG5,2,0.06359259044113257,6.36(0.02)e-2,0.0635354490508568,6.35(0.01)e-2,0.0636528201456833,6.37(0.01)e-2,0.030787003983813222,-,0.002522813564411135,+,1.0,=,0.06307033911027837,=
WFG6,2,0.07273179298139018,7.27(3.51)e-2,0.08464522493820015,8.46(3.78)e-2,0.0763566150933066,7.64(2.94)e-2,0.0364758734140521,+,0.4900709361966048,+,1.0,=,1.0,=
WFG7,2,0.013347130477858647,1.33(0.03)e-2,0.0133910113937502,1.34(0.04)e-2,0.0137131375253036,1.37(0.05)e-2,0.9476899315947543,+,8.254078546805342e-08,+,1.0,=,4.044498487934618e-06,+
WFG8,2,0.1073000970151308,1.07(0.02)e-1,0.1074141534047569,1.07(0.02)e-1,0.10747732110939405,1.07(0.02)e-1,0.35424606639571177,+,0.6422863113297957,+,1.0,=,1.0,=
WFG9,2,0.015637999544557038,1.56(0.24)e-2,0.01623756027150415,1.62(0.36)e-2,0.015918867012147703,1.59(0.14)e-2,0.10096366657226129,+,0.22635132994366647,+,1.0,=,1.0,=
MaF1,2,0.003780973116426463,3.78(0.05)e-3,0.0037724478500709997,3.77(0.06)e-3,0.0038039315396105004,3.80(0.06)e-3,0.6385313730974329,-,0.00018427288104936826,+,1.0,=,0.006081005074629152,+
MaF2,2,0.0021425185755311353,2.14(0.04)e-3,0.002145674919689,2.15(0.03)e-3,0.0021890444626624997,2.19(0.04)e-3,0.24287851741639732,+,2.4075403988196997e-11,+,1.0,=,1.2037701994098498e-09,+
MaF3,2,0.0043772461140525725,4.38(0.73)e-3,0.0043975287355321,4.40(0.90)e-3,0.00420216846843205,4.20(0.64)e-3,0.8480748788655377,+,0.5725985170615513,-,1.0,=,1.0,=
MaF4,2,0.012635282903685449,1.26(0.03)e-2,0.0126790048512865,1.27(0.04)e-2,0.01266500027136085,1.27(0.02)e-2,0.3048402615192033,+,0.29747900095644275,+,1.0,=,1.0,=
MaF5,2,0.012834689451077195,1.28(199.58)e-2,0.0129455125508616,1.29(199.57)e-2,0.01285372847248825,1.29(0.04)e-2,0.37365692271316164,+,0.6688229033116599,+,1.0,=,1.0,=
MaF6,2,0.004061772160839094,4.06(0.04)e-3,0.0040666264948684,4.07(0.04)e-3,0.0040891875962685495,4.09(0.05)e-3,0.7074539677020746,+,8.359429741999532e-05,+,1.0,=,0.0030093947071198313,+
MaF7,2,0.004747811393187801,4.75(0.13)e-3,0.0047520364438331,4.75(0.16)e-3,0.0047839910171274,4.78(0.16)e-3,0.40546016943013685,+,0.12344449251547768,+,1.0,=,1.0,=
DTLZ1,3,0.02009870608873018,2.01(0.02)e-2,0.02010401065184195,2.01(0.02)e-2,0.020106094205993748,2.01(0.02)e-2,0.4900709361966048,+,0.2324524140309291,+,1.0,=,1.0,=
DTLZ2,3,0.053945701094100726,5.39(0.07)e-2,0.0539332882596589,5.39(0.05)e-2,0.05424000057341885,5.42(0.07)e-2,0.6841772840657244,-,0.013138907490448097,+,1.0,=,0.2890559647898581,=
DTLZ3,3,0.05302773043337566,5.30(0.05)e-2,0.053172111193549504,5.32(0.05)e-2,0.0532882754632287,5.33(0.06)e-2,0.1496549411443214,+,0.0015937060286095777,+,1.0,=,0.04143635674384902,+
DTLZ4,3,0.054900566578165534,5.49(48.67)e-2,0.5408294185159774,5.41(4.87)e-1,0.0549836185510664,5.50(48.63)e-2,0.00874936710166284,+,0.12090820999933773,+,0.42871898798147917,=,1.0,=
DTLZ5,3,0.004328343027845235,4.33(0.13)e-3,0.0043035824416927,4.30(0.08)e-3,0.0044071630883601495,4.41(0.14)e-3,0.5339657379759071,-,1.1868525224729266e-05,+,1.0,=,0.0004984780594386292,+
DTLZ6,3,0.004070545984737802,4.07(0.04)e-3,0.004081961536400849,4.08(0.04)e-3,0.004082885816618,4.08(0.03)e-3,0.11235119769046385,+,0.031195793891774144,+,1.0,=,0.655111671727257,=
DTLZ7,3,0.059838369530089516,5.98(0.15)e-2,0.0596443382492015,5.96(0.15)e-2,0.060587852895987296,6.06(0.18)e-2,0.3048402615192033,-,0.005906794153805775,+,1.0,=,0.13585626553753283,=
WFG1,3,0.1492900329394572,1.49(0.05)e-1,0.1500354391097593,1.50(0.04)e-1,0.1526768295201431,1.53(0.06)e-1,0.15875844357945867,+,3.7092006300702e-07,+,1.0,=,1.743324296132994e-05,+
WFG2,3,0.17695110620739285,1.77(0.07)e-1,0.17837821166843643,1.78(0.08)e-1,0.17260910683638342,1.73(0.06)e-1,0.09987740276926409,+,1.7626941386698544e-06,-,1.0,=,8.108393037881331e-05,-
WFG3,3,0.09122116444239467,9.12(1.02)e-2,0.09010274216723894,9.01(0.96)e-2,0.09621225998485865,9.62(0.99)e-2,0.8521885879273688,-,7.658289467492374e-05,+,1.0,=,0.002910149997647102,+
WFG4,3,0.21296542490720077,2.13(0.03)e-1,0.21407445610984577,2.14(0.02)e-1,0.2151413485085322,2.15(0.03)e-1,0.0364758734140521,+,7.66030209405739e-06,+,1.0,=,0.00033705329213852515,+
WFG5,3,0.22103934994058005,2.21(0.03)e-1,0.22181404754014605,2.22(0.02)e-1,0.22277862221648798,2.23(0.02)e-1,0.126022121770373,+,5.022586076172453e-05,+,1.0,=,0.0020090344304689815,+
