Algorithm,Problem,M,Run,IGD,HV
IVFSPEA2_P2_C05,ZDT1,2,300001,0.003929392070947641,0.7204352142391852
IVFSPEA2_P2_C05,ZDT1,2,300002,0.004014165651887677,0.7202395311532709
IVFSPEA2_P2_C05,ZDT1,2,300003,0.003861572363634446,0.7205013345131467
IVFSPEA2_P2_C05,ZDT1,2,300004,0.003997675463579358,0.7203423666429167
IVFSPEA2_P2_C05,ZDT1,2,300005,0.0039008203244084013,0.7204816567179335
IVFSPEA2_P2_C05,ZDT1,2,300006,0.003796558165322595,0.72050178012867
IVFSPEA2_P2_C05,ZDT1,2,300007,0.0038929527363517537,0.7205021303939044
IVFSPEA2_P2_C05,ZDT1,2,300008,0.003908521832347746,0.7204783475552905
IVFSPEA2_P2_C05,ZDT1,2,300009,0.00394447802245163,0.720301933888492
IVFSPEA2_P2_C05,ZDT1,2,300010,0.003914266381361655,0.7203167326271822
IVFSPEA2_P2_C05,ZDT1,2,300011,0.0038651416842661406,0.7203968949063019
IVFSPEA2_P2_C05,ZDT1,2,300012,0.003923435910980729,0.7203393198332255
IVFSPEA2_P2_C05,ZDT1,2,300013,0.003821388174644576,0.7204690776831988
IVFSPEA2_P2_C05,ZDT1,2,300014,0.0038441742335820045,0.720492350854381
IVFSPEA2_P2_C05,ZDT1,2,300015,0.003956599396099079,0.7202950367696714
IVFSPEA2_P2_C05,ZDT1,2,300016,0.003965670077169578,0.720256260137977
IVFSPEA2_P2_C05,ZDT1,2,300017,0.0039312992938988255,0.7203815097833801
IVFSPEA2_P2_C05,ZDT1,2,300018,0.0038996250303018746,0.7203830768343189
IVFSPEA2_P2_C05,ZDT1,2,300019,0.003841185828457654,0.7204079513290768
IVFSPEA2_P2_C05,ZDT1,2,300020,0.0038906532707757434,0.7204197539849657
IVFSPEA2_P2_C05,ZDT1,2,300021,0.003956675041595089,0.7203963437144311
IVFSPEA2_P2_C05,ZDT1,2,300022,0.0039045918489293485,0.7203231107658976
IVFSPEA2_P2_C05,ZDT1,2,300023,0.003945431903549429,0.7203527736369167
IVFSPEA2_P2_C05,ZDT1,2,300024,0.004031589457944551,0.7202138317179411
IVFSPEA2_P2_C05,ZDT1,2,300025,0.003950795833144657,0.7203335338834338
IVFSPEA2_P2_C05,ZDT1,2,300026,0.003909924012070583,0.7204181556658491
