Cycles,Problem,M,D,Median_IGD,Mean_IGD,Std_IGD,Median_HV,N_runs
1,ZDT1,2,30,0.00393635,0.00392976,0.00005444,0.72038070,30
1,DTLZ1,3,7,0.02006951,0.02008475,0.00013217,0.84255624,30
2,ZDT1,2,30,0.00391422,0.00391549,0.00006732,0.72037748,30
2,DTLZ1,3,7,0.02010416,0.02009720,0.00011285,0.84259427,30
3,ZDT1,2,30,0.00392973,0.00392709,0.00007438,0.72034524,30
3,DTLZ1,3,7,0.02008678,0.02008383,0.00013401,0.84255307,30
5,ZDT1,2,30,0.00392506,0.00393087,0.00005589,0.72037328,30
5,DTLZ1,3,7,0.02010067,0.02010929,0.00015109,0.84242401,30
10,ZDT1,2,30,0.00392188,0.00392732,0.00004986,0.72038236,30
10,DTLZ1,3,7,0.02011535,0.02013405,0.00010767,0.84249738,30
20,ZDT1,2,30,0.00391845,0.00393052,0.00005575,0.72034127,30
20,DTLZ1,3,7,0.02009181,0.02015213,0.00016401,0.84261424,30
