Stage,Problem,M,Metric,Plus,Equal,Minus
SCREEN,RWMOP1,2,IGD,0,0,0
SCREEN,RWMOP1,2,HV,0,0,0
SCREEN,RWMOP5,2,IGD,0,2,5
SCREEN,RWMOP5,2,HV,0,2,5
SCREEN,RWMOP7,2,IGD,1,1,6
SCREEN,RWMOP7,2,HV,1,2,5
SCREEN,RWMOP8,3,IGD,1,1,5
SCREEN,RWMOP8,3,HV,1,1,5
SCREEN,RWMOP9,2,IGD,7,1,0
SCREEN,RWMOP9,2,HV,3,2,3
SCREEN,RWMOP10,2,IGD,6,2,0
SCREEN,RWMOP10,2,HV,3,4,1
SCREEN,RWMOP12,2,IGD,2,2,2
SCREEN,RWMOP12,2,HV,0,1,5
SCREEN,RWMOP14,2,IGD,0,1,5
SCREEN,RWMOP14,2,HV,0,1,5
SCREEN,RWMOP16,2,IGD,5,1,1
SCREEN,RWMOP16,2,HV,1,1,5
SCREEN,RWMOP18,2,IGD,2,2,4
SCREEN,RWMOP18,2,HV,2,1,5
SCREEN,RWMOP21,2,IGD,3,2,3
SCREEN,RWMOP21,2,HV,3,2,3
SCREEN,RWMOP25,2,IGD,1,2,5
SCREEN,RWMOP25,2,HV,1,2,5
SCREEN,RWMOP27,2,IGD,1,2,5
SCREEN,RWMOP27,2,HV,1,6,1
