Stage,Problem,M,Algorithm,Display,RunID,NTotalPoints,NFeasiblePoints,IGD_PF,HV,SourceFile
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,1,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/IVFSPEA2_RWMOP1_M2/IVFSPEA2_RWMOP1_M2_D4_1.mat
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,2,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/IVFSPEA2_RWMOP1_M2/IVFSPEA2_RWMOP1_M2_D4_2.mat
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,3,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/IVFSPEA2_RWMOP1_M2/IVFSPEA2_RWMOP1_M2_D4_3.mat
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,4,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/IVFSPEA2_RWMOP1_M2/IVFSPEA2_RWMOP1_M2_D4_4.mat
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,5,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/IVFSPEA2_RWMOP1_M2/IVFSPEA2_RWMOP1_M2_D4_5.mat
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,6,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/IVFSPEA2_RWMOP1_M2/IVFSPEA2_RWMOP1_M2_D4_6.mat
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,7,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/IVFSPEA2_RWMOP1_M2/IVFSPEA2_RWMOP1_M2_D4_7.mat
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,8,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/IVFSPEA2_RWMOP1_M2/IVFSPEA2_RWMOP1_M2_D4_8.mat
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,9,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/IVFSPEA2_RWMOP1_M2/IVFSPEA2_RWMOP1_M2_D4_9.mat
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,10,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/IVFSPEA2_RWMOP1_M2/IVFSPEA2_RWMOP1_M2_D4_10.mat
SCREEN,RWMOP1,2,SPEA2,SPEA2,1,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2_RWMOP1_M2/SPEA2_RWMOP1_M2_D4_1.mat
SCREEN,RWMOP1,2,SPEA2,SPEA2,2,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2_RWMOP1_M2/SPEA2_RWMOP1_M2_D4_2.mat
SCREEN,RWMOP1,2,SPEA2,SPEA2,3,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2_RWMOP1_M2/SPEA2_RWMOP1_M2_D4_3.mat
SCREEN,RWMOP1,2,SPEA2,SPEA2,4,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2_RWMOP1_M2/SPEA2_RWMOP1_M2_D4_4.mat
SCREEN,RWMOP1,2,SPEA2,SPEA2,5,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2_RWMOP1_M2/SPEA2_RWMOP1_M2_D4_5.mat
SCREEN,RWMOP1,2,SPEA2,SPEA2,6,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2_RWMOP1_M2/SPEA2_RWMOP1_M2_D4_6.mat
SCREEN,RWMOP1,2,SPEA2,SPEA2,7,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2_RWMOP1_M2/SPEA2_RWMOP1_M2_D4_7.mat
SCREEN,RWMOP1,2,SPEA2,SPEA2,8,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2_RWMOP1_M2/SPEA2_RWMOP1_M2_D4_8.mat
SCREEN,RWMOP1,2,SPEA2,SPEA2,9,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2_RWMOP1_M2/SPEA2_RWMOP1_M2_D4_9.mat
SCREEN,RWMOP1,2,SPEA2,SPEA2,10,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2_RWMOP1_M2/SPEA2_RWMOP1_M2_D4_10.mat
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,1,100,100,142209.9784,0.60777,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MFOSPEA2_RWMOP1_M2/MFOSPEA2_RWMOP1_M2_D4_1.mat
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,2,100,100,145997.5282,0.60752,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MFOSPEA2_RWMOP1_M2/MFOSPEA2_RWMOP1_M2_D4_2.mat
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,3,100,100,146834.3436,0.60751,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MFOSPEA2_RWMOP1_M2/MFOSPEA2_RWMOP1_M2_D4_3.mat
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,4,100,100,156850.9701,0.60686,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MFOSPEA2_RWMOP1_M2/MFOSPEA2_RWMOP1_M2_D4_4.mat
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,5,100,100,151692.2509,0.60763,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MFOSPEA2_RWMOP1_M2/MFOSPEA2_RWMOP1_M2_D4_5.mat
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,6,100,100,131693.6715,0.6079,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MFOSPEA2_RWMOP1_M2/MFOSPEA2_RWMOP1_M2_D4_6.mat
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,7,100,100,145897.7232,0.60657,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MFOSPEA2_RWMOP1_M2/MFOSPEA2_RWMOP1_M2_D4_7.mat
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,8,100,100,152102.3573,0.60729,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MFOSPEA2_RWMOP1_M2/MFOSPEA2_RWMOP1_M2_D4_8.mat
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,9,100,100,149952.5808,0.60756,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MFOSPEA2_RWMOP1_M2/MFOSPEA2_RWMOP1_M2_D4_9.mat
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,10,100,100,150426.497,0.60714,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MFOSPEA2_RWMOP1_M2/MFOSPEA2_RWMOP1_M2_D4_10.mat
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,1,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2SDE_RWMOP1_M2/SPEA2SDE_RWMOP1_M2_D4_1.mat
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,2,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2SDE_RWMOP1_M2/SPEA2SDE_RWMOP1_M2_D4_2.mat
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,3,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2SDE_RWMOP1_M2/SPEA2SDE_RWMOP1_M2_D4_3.mat
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,4,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2SDE_RWMOP1_M2/SPEA2SDE_RWMOP1_M2_D4_4.mat
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,5,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2SDE_RWMOP1_M2/SPEA2SDE_RWMOP1_M2_D4_5.mat
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,6,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2SDE_RWMOP1_M2/SPEA2SDE_RWMOP1_M2_D4_6.mat
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,7,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2SDE_RWMOP1_M2/SPEA2SDE_RWMOP1_M2_D4_7.mat
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,8,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2SDE_RWMOP1_M2/SPEA2SDE_RWMOP1_M2_D4_8.mat
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,9,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2SDE_RWMOP1_M2/SPEA2SDE_RWMOP1_M2_D4_9.mat
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,10,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/SPEA2SDE_RWMOP1_M2/SPEA2SDE_RWMOP1_M2_D4_10.mat
SCREEN,RWMOP1,2,NSGAII,NSGA-II,1,100,100,190978.7554,0.60487,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAII_RWMOP1_M2/NSGAII_RWMOP1_M2_D4_1.mat
SCREEN,RWMOP1,2,NSGAII,NSGA-II,2,100,100,195499.9106,0.60521,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAII_RWMOP1_M2/NSGAII_RWMOP1_M2_D4_2.mat
SCREEN,RWMOP1,2,NSGAII,NSGA-II,3,100,100,196795.6619,0.60541,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAII_RWMOP1_M2/NSGAII_RWMOP1_M2_D4_3.mat
SCREEN,RWMOP1,2,NSGAII,NSGA-II,4,100,100,208765.8169,0.60582,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAII_RWMOP1_M2/NSGAII_RWMOP1_M2_D4_4.mat
SCREEN,RWMOP1,2,NSGAII,NSGA-II,5,100,100,209982.063,0.60478,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAII_RWMOP1_M2/NSGAII_RWMOP1_M2_D4_5.mat
SCREEN,RWMOP1,2,NSGAII,NSGA-II,6,100,100,197704.7546,0.60488,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAII_RWMOP1_M2/NSGAII_RWMOP1_M2_D4_6.mat
SCREEN,RWMOP1,2,NSGAII,NSGA-II,7,100,100,202830.159,0.60574,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAII_RWMOP1_M2/NSGAII_RWMOP1_M2_D4_7.mat
SCREEN,RWMOP1,2,NSGAII,NSGA-II,8,100,100,200358.9611,0.60571,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAII_RWMOP1_M2/NSGAII_RWMOP1_M2_D4_8.mat
SCREEN,RWMOP1,2,NSGAII,NSGA-II,9,100,100,203529.1516,0.60499,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAII_RWMOP1_M2/NSGAII_RWMOP1_M2_D4_9.mat
SCREEN,RWMOP1,2,NSGAII,NSGA-II,10,100,100,190722.7586,0.60535,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAII_RWMOP1_M2/NSGAII_RWMOP1_M2_D4_10.mat
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,1,100,100,107440.6997,0.60893,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAIII_RWMOP1_M2/NSGAIII_RWMOP1_M2_D4_1.mat
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,2,100,100,95257.6744,0.60929,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAIII_RWMOP1_M2/NSGAIII_RWMOP1_M2_D4_2.mat
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,3,100,100,102672.4555,0.60929,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAIII_RWMOP1_M2/NSGAIII_RWMOP1_M2_D4_3.mat
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,4,100,100,113507.3109,0.60876,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAIII_RWMOP1_M2/NSGAIII_RWMOP1_M2_D4_4.mat
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,5,100,100,132884.2878,0.60821,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAIII_RWMOP1_M2/NSGAIII_RWMOP1_M2_D4_5.mat
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,6,100,100,109806.9254,0.6088,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAIII_RWMOP1_M2/NSGAIII_RWMOP1_M2_D4_6.mat
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,7,100,100,119789.6515,0.60849,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAIII_RWMOP1_M2/NSGAIII_RWMOP1_M2_D4_7.mat
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,8,100,100,113205.6188,0.60911,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAIII_RWMOP1_M2/NSGAIII_RWMOP1_M2_D4_8.mat
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,9,100,100,96693.3088,0.60923,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAIII_RWMOP1_M2/NSGAIII_RWMOP1_M2_D4_9.mat
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,10,100,100,135580.2058,0.60773,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/NSGAIII_RWMOP1_M2/NSGAIII_RWMOP1_M2_D4_10.mat
SCREEN,RWMOP1,2,MOEAD,MOEA/D,1,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MOEAD_RWMOP1_M2/MOEAD_RWMOP1_M2_D4_1.mat
SCREEN,RWMOP1,2,MOEAD,MOEA/D,2,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MOEAD_RWMOP1_M2/MOEAD_RWMOP1_M2_D4_2.mat
SCREEN,RWMOP1,2,MOEAD,MOEA/D,3,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MOEAD_RWMOP1_M2/MOEAD_RWMOP1_M2_D4_3.mat
SCREEN,RWMOP1,2,MOEAD,MOEA/D,4,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MOEAD_RWMOP1_M2/MOEAD_RWMOP1_M2_D4_4.mat
SCREEN,RWMOP1,2,MOEAD,MOEA/D,5,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MOEAD_RWMOP1_M2/MOEAD_RWMOP1_M2_D4_5.mat
SCREEN,RWMOP1,2,MOEAD,MOEA/D,6,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MOEAD_RWMOP1_M2/MOEAD_RWMOP1_M2_D4_6.mat
SCREEN,RWMOP1,2,MOEAD,MOEA/D,7,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MOEAD_RWMOP1_M2/MOEAD_RWMOP1_M2_D4_7.mat
SCREEN,RWMOP1,2,MOEAD,MOEA/D,8,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MOEAD_RWMOP1_M2/MOEAD_RWMOP1_M2_D4_8.mat
SCREEN,RWMOP1,2,MOEAD,MOEA/D,9,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MOEAD_RWMOP1_M2/MOEAD_RWMOP1_M2_D4_9.mat
SCREEN,RWMOP1,2,MOEAD,MOEA/D,10,100,0,,,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/MOEAD_RWMOP1_M2/MOEAD_RWMOP1_M2_D4_10.mat
SCREEN,RWMOP1,2,AGEMOEAII,AGE-MOEA-II,1,100,100,132108.8089,0.6103,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/AGEMOEAII_RWMOP1_M2/AGEMOEAII_RWMOP1_M2_D4_1.mat
SCREEN,RWMOP1,2,AGEMOEAII,AGE-MOEA-II,2,100,100,126820.9949,0.6103,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/AGEMOEAII_RWMOP1_M2/AGEMOEAII_RWMOP1_M2_D4_2.mat
SCREEN,RWMOP1,2,AGEMOEAII,AGE-MOEA-II,3,100,100,126000.9659,0.61029,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/AGEMOEAII_RWMOP1_M2/AGEMOEAII_RWMOP1_M2_D4_3.mat
SCREEN,RWMOP1,2,AGEMOEAII,AGE-MOEA-II,4,100,100,133767.7145,0.61026,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/AGEMOEAII_RWMOP1_M2/AGEMOEAII_RWMOP1_M2_D4_4.mat
SCREEN,RWMOP1,2,AGEMOEAII,AGE-MOEA-II,5,100,100,132341.6549,0.61029,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/AGEMOEAII_RWMOP1_M2/AGEMOEAII_RWMOP1_M2_D4_5.mat
SCREEN,RWMOP1,2,AGEMOEAII,AGE-MOEA-II,6,100,100,134555.7659,0.61018,/home/pedro/desenvolvimento/ivfspea2/data/engineering_screening/AGEMOEAII_RWMOP1_M2/AGEMOEAII_RWMOP1_M2_D4_6.mat
