Stage,Problem,M,Algorithm,Display,NCommonRuns,NValidIGD,NValidHV,FeasibleRunRate,MedianIGD_PF,IQRIGD_PF,MedianHV,IQRHV,P_vs_IVF_IGD,SymbolIGD,P_vs_IVF_HV,SymbolHV
SCREEN,RWMOP1,2,IVFSPEA2,IVF/SPEA2,10,0,0,0,,,,,,---,,---
SCREEN,RWMOP1,2,SPEA2,SPEA2,10,0,0,0,,,,,,N/A,,N/A
SCREEN,RWMOP1,2,MFOSPEA2,MFO/SPEA2,10,10,10,1,148393.4622,5794.5277,0.60751,0.0004969,,N/A,,N/A
SCREEN,RWMOP1,2,SPEA2SDE,SPEA2+SDE,10,0,0,0,,,,,,N/A,,N/A
SCREEN,RWMOP1,2,NSGAII,NSGA-II,10,10,10,1,199031.8579,8029.2411,0.60528,0.00082595,,N/A,,N/A
SCREEN,RWMOP1,2,NSGAIII,NSGA-III,10,10,10,1,111506.2721,17117.1959,0.60887,0.00073775,,N/A,,N/A
SCREEN,RWMOP1,2,MOEAD,MOEA/D,10,0,0,0,,,,,,N/A,,N/A
SCREEN,RWMOP1,2,AGEMOEAII,AGE-MOEA-II,10,10,10,1,132160.1618,6946.7196,0.61027,5.5828e-05,,N/A,,N/A
SCREEN,RWMOP1,2,ARMOEA,AR-MOEA,10,10,10,1,96089.9221,4174.8617,0.6094,0.00028523,,N/A,,N/A
SCREEN,RWMOP5,2,IVFSPEA2,IVF/SPEA2,10,10,10,1,0.61029,0.018033,0.27266,0.0039012,,---,,---
SCREEN,RWMOP5,2,SPEA2,SPEA2,10,10,10,1,0.60732,0.016238,0.27336,0.0035672,0.3447,=,0.30749,=
SCREEN,RWMOP5,2,MFOSPEA2,MFO/SPEA2,10,10,10,1,0.014331,0.00080028,0.43404,0.00045529,0.00018267,-,0.00018267,-
SCREEN,RWMOP5,2,SPEA2SDE,SPEA2+SDE,10,10,10,1,0.61459,0.007896,0.2723,0.0014353,0.67758,=,0.96985,=
SCREEN,RWMOP5,2,NSGAII,NSGA-II,10,10,10,1,0.019669,0.0015606,0.43458,0.00040377,0.00018267,-,0.00018267,-
SCREEN,RWMOP5,2,NSGAIII,NSGA-III,10,10,10,1,0.041659,0.00037921,0.4347,0.0011482,0.00018267,-,0.00018267,-
SCREEN,RWMOP5,2,MOEAD,MOEA/D,10,0,0,0,,,,,,N/A,,N/A
SCREEN,RWMOP5,2,AGEMOEAII,AGE-MOEA-II,10,10,10,1,0.019533,0.000865,0.43496,0.00013702,0.00018267,-,0.00018267,-
SCREEN,RWMOP5,2,ARMOEA,AR-MOEA,10,10,10,1,0.041688,0.0017906,0.43495,0.0028172,0.00018267,-,0.00018267,-
SCREEN,RWMOP7,2,IVFSPEA2,IVF/SPEA2,10,10,10,1,0.055943,0.0029317,0.48299,0.00029133,,---,,---
SCREEN,RWMOP7,2,SPEA2,SPEA2,10,10,10,1,0.056964,0.0034014,0.483,0.00026525,0.90972,=,0.57075,=
SCREEN,RWMOP7,2,MFOSPEA2,MFO/SPEA2,10,10,10,1,0.027213,0.0010755,0.48449,3.7576e-05,0.00018267,-,0.00018267,-
SCREEN,RWMOP7,2,SPEA2SDE,SPEA2+SDE,10,10,10,1,0.049763,0.0054294,0.48122,0.002517,0.00032984,-,0.088973,=
SCREEN,RWMOP7,2,NSGAII,NSGA-II,10,10,10,1,0.037573,0.0014962,0.48399,6.7202e-05,0.00018267,-,0.00018267,-
SCREEN,RWMOP7,2,NSGAIII,NSGA-III,10,10,10,1,0.024883,0.0010899,0.4845,0.0004471,0.00018267,-,0.00018267,-
SCREEN,RWMOP7,2,MOEAD,MOEA/D,10,10,10,1,0.098734,0.0033757,0.48163,0.00038052,0.00018267,+,0.00018267,+
SCREEN,RWMOP7,2,AGEMOEAII,AGE-MOEA-II,10,10,10,1,0.027656,0.00055913,0.48474,2.9764e-05,0.00018267,-,0.00018267,-
SCREEN,RWMOP7,2,ARMOEA,AR-MOEA,10,10,10,1,0.024674,0.0018028,0.48476,0.00014289,0.00018267,-,0.00018267,-
SCREEN,RWMOP8,3,IVFSPEA2,IVF/SPEA2,10,10,10,1,1.604,0.61796,0.023402,0.00067187,,---,,---
SCREEN,RWMOP8,3,SPEA2,SPEA2,10,10,10,1,1.5761,0.63772,0.023579,0.00077148,0.79134,=,1,=
