Problem,M,D,UsedRuns,FeasibleRuns,MedianFeasiblePoints,FeasibleRunRate
RWMOP1,2,4,1,0,0,0
RWMOP2,2,5,1,0,0,0
RWMOP3,2,3,1,0,0,0
RWMOP4,2,4,1,0,0,0
RWMOP5,2,4,1,1,31,1
RWMOP6,2,7,1,0,0,0
RWMOP7,2,4,1,1,49,1
RWMOP8,3,7,1,1,36,1
RWMOP9,2,4,1,1,100,1
RWMOP10,2,2,1,1,100,1
RWMOP11,5,3,1,1,14,1
RWMOP12,2,4,1,1,87,1
RWMOP13,3,7,1,0,0,0
RWMOP14,2,5,1,1,41,1
RWMOP15,2,3,1,0,0,0
RWMOP16,2,2,1,1,89,1
RWMOP17,3,6,1,0,0,0
RWMOP18,2,3,1,1,80,1
RWMOP19,3,10,1,0,0,0
RWMOP20,2,4,1,0,0,0
RWMOP21,2,6,1,1,100,1
RWMOP22,2,9,1,0,0,0
RWMOP23,2,6,1,0,0,0
RWMOP24,3,9,1,0,0,0
RWMOP25,2,2,1,1,28,1
RWMOP26,2,3,1,0,0,0
RWMOP27,2,3,1,0,0,0
RWMOP28,2,7,1,0,0,0
RWMOP29,2,7,1,0,0,0
RWMOP30,2,25,1,0,0,0
RWMOP31,2,25,1,0,0,0
RWMOP32,2,25,1,0,0,0
RWMOP33,2,30,1,0,0,0
RWMOP34,2,30,1,0,0,0
RWMOP35,2,30,1,0,0,0
RWMOP36,2,28,1,0,0,0
RWMOP37,2,28,1,0,0,0
RWMOP38,2,28,1,0,0,0
RWMOP39,3,28,1,0,0,0
RWMOP40,2,34,1,0,0,0
RWMOP41,3,34,1,0,0,0
RWMOP42,2,34,1,0,0,0
RWMOP43,2,34,1,0,0,0
RWMOP44,3,34,1,0,0,0
RWMOP45,3,34,1,0,0,0
RWMOP46,4,34,1,0,0,0
RWMOP47,2,18,1,0,0,0
RWMOP48,2,18,1,0,0,0
RWMOP49,3,18,1,0,0,0
RWMOP50,2,6,1,0,0,0
