Stage,Problem,M,Algorithm,Display,RunID,NTotalPoints,NFeasiblePoints,IGD_PF,HV,SourceFile
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,1,100,100,4.1614,0.40966,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_1.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,2,100,100,4.2282,0.40944,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_2.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,3,100,100,3.9947,0.40964,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_3.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,4,100,100,4.0598,0.40943,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_4.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,5,100,100,4.3909,0.40923,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_5.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,6,100,100,3.9693,0.40957,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_6.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,7,100,100,4.2607,0.40944,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_7.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,8,100,100,4.0846,0.40944,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_8.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,9,100,100,4.2797,0.40972,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_9.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,10,100,100,4.2935,0.40949,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_10.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,11,100,100,4.0336,0.4095,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_11.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,12,100,100,4.0995,0.40961,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_12.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,13,100,100,4.1204,0.40944,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_13.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,14,100,100,4.1422,0.40966,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_14.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,15,100,100,4.1475,0.40942,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_15.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,16,100,100,4.1931,0.40966,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_16.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,17,100,100,4.1719,0.40941,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_17.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,18,100,100,4.3668,0.40924,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_18.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,19,100,100,4.3291,0.40935,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_19.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,20,100,100,4.1963,0.40957,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_20.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,21,100,100,4.0408,0.40962,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_21.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,22,100,100,4.0808,0.40941,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_22.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,23,100,100,4.0712,0.40953,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_23.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,24,100,100,4.1002,0.40966,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_24.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,25,100,100,4.2521,0.40963,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_25.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,26,100,100,4.2202,0.4093,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_26.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,27,100,100,4.3799,0.4095,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_27.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,28,100,100,3.9572,0.40959,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_28.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,29,100,100,4.2964,0.4096,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_29.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,30,100,100,4.0128,0.4095,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_30.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,31,100,100,4.1907,0.40947,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_31.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,32,100,100,4.3124,0.40941,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_32.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,33,100,100,4.2017,0.40961,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_33.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,34,100,100,4.2998,0.40955,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_34.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,35,100,100,4.276,0.40949,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_35.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,36,100,100,4.1055,0.40948,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_36.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,37,100,100,4.2965,0.40959,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_37.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,38,100,100,4.2241,0.40949,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_38.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,39,100,100,4.1213,0.40953,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_39.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,40,100,100,4.0295,0.40951,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_40.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,41,100,100,4.2988,0.4095,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_41.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,42,100,100,4.2637,0.40953,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_42.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,43,100,100,4.1448,0.40956,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_43.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,44,100,100,4.4057,0.40931,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_44.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,45,100,100,4.2945,0.40962,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_45.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,46,100,100,4.2253,0.4094,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_46.mat
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,47,100,100,3.9594,0.40969,/home/pedro/desenvolvimento/ivfspea2/data/engineering_suite/IVFSPEA2_RWMOP9_M2/IVFSPEA2_RWMOP9_M2_D4_47.mat
