Stage,Problem,M,Algorithm,Display,NCommonRuns,NValidIGD,NValidHV,FeasibleRunRate,MedianIGD_PF,IQRIGD_PF,MedianHV,IQRHV,P_vs_IVF_IGD,SymbolIGD,P_vs_IVF_HV,SymbolHV
MAIN,RWMOP9,2,IVFSPEA2,IVF/SPEA2,60,60,60,1,4.1919,0.17776,0.4095,0.0001761,,---,,---
MAIN,RWMOP9,2,SPEA2,SPEA2,60,60,60,1,4.2417,0.14002,0.40946,0.00020297,0.0017746,+,0.0034906,+
MAIN,RWMOP9,2,MFOSPEA2,MFO/SPEA2,60,60,60,1,4.2398,0.14808,0.40943,0.00021097,0.018572,+,0.0029456,+
MAIN,RWMOP9,2,SPEA2SDE,SPEA2+SDE,60,60,60,1,8.7699,5.1097,0.4079,0.0015978,3.5566e-21,+,4.5678e-21,+
MAIN,RWMOP9,2,NSGAII,NSGA-II,60,60,60,1,5.2878,0.32968,0.40907,0.0002113,3.5566e-21,+,8.3049e-21,+
MAIN,RWMOP9,2,NSGAIII,NSGA-III,60,60,60,1,5.3114,0.1938,0.40997,0.00016519,3.5566e-21,+,1.0642e-20,-
MAIN,RWMOP9,2,MOEAD,MOEA/D,60,60,60,1,700.689,0.010003,0.053061,6.8133e-05,3.5566e-21,+,3.5566e-21,+
MAIN,RWMOP9,2,AGEMOEAII,AGE-MOEA-II,60,60,60,1,4.3465,0.15955,0.41006,4.041e-05,1.9512e-09,+,3.5566e-21,-
MAIN,RWMOP9,2,ARMOEA,AR-MOEA,60,60,60,1,4.8493,0.025673,0.41032,1.9383e-05,3.5566e-21,+,3.5566e-21,-
MAIN,RWMOP21,2,IVFSPEA2,IVF/SPEA2,60,60,60,1,0.017189,0.00061621,0.031757,1.176e-06,,---,,---
MAIN,RWMOP21,2,SPEA2,SPEA2,60,60,60,1,0.017236,0.00072851,0.031757,1.3117e-06,0.86043,=,0.17485,=
MAIN,RWMOP21,2,MFOSPEA2,MFO/SPEA2,60,60,60,1,0.017277,0.00065928,0.031757,1.1958e-06,0.25363,=,0.099877,=
MAIN,RWMOP21,2,SPEA2SDE,SPEA2+SDE,60,60,60,1,0.088267,0.063736,0.031646,5.816e-05,3.5566e-21,+,3.5566e-21,+
MAIN,RWMOP21,2,NSGAII,NSGA-II,60,60,60,1,0.021889,0.0022392,0.031752,1.9135e-06,3.5566e-21,+,4.3451e-21,+
MAIN,RWMOP21,2,NSGAIII,NSGA-III,60,60,60,1,0.016229,0.00027226,0.031765,3.8339e-07,8.6698e-17,-,6.8495e-20,-
MAIN,RWMOP21,2,MOEAD,MOEA/D,60,60,60,1,2.8909,0.0043988,0.02932,3.5598e-06,3.5566e-21,+,3.5566e-21,+
MAIN,RWMOP21,2,AGEMOEAII,AGE-MOEA-II,60,60,60,1,0.013824,0.00085935,0.031762,2.9701e-07,3.9313e-21,-,3.5566e-21,-
MAIN,RWMOP21,2,ARMOEA,AR-MOEA,60,60,60,1,0.016101,6.5592e-05,0.031765,1.7895e-07,1.7437e-20,-,3.5566e-21,-
MAIN,RWMOP8,3,IVFSPEA2,IVF/SPEA2,60,60,60,1,1.3743,0.55356,0.023479,0.00071797,,---,,---
MAIN,RWMOP8,3,SPEA2,SPEA2,60,60,60,1,1.446,0.40165,0.023406,0.00063166,0.85631,=,0.54437,=
MAIN,RWMOP8,3,MFOSPEA2,MFO/SPEA2,60,60,60,1,0.27952,0.011516,0.026055,8.3734e-05,3.5566e-21,-,3.5566e-21,-
MAIN,RWMOP8,3,SPEA2SDE,SPEA2+SDE,60,18,18,0.3,16.7224,1.1724,0.01879,0.0022792,1.5724e-10,+,1.5724e-10,+
MAIN,RWMOP8,3,NSGAII,NSGA-II,60,60,60,1,0.34296,0.021424,0.025916,0.00010708,3.5566e-21,-,3.5566e-21,-
MAIN,RWMOP8,3,NSGAIII,NSGA-III,60,60,60,1,0.56083,0.1404,0.025559,0.00019583,4.6603e-19,-,3.5566e-21,-
MAIN,RWMOP8,3,MOEAD,MOEA/D,60,0,0,0,,,,,,N/A,,N/A
MAIN,RWMOP8,3,AGEMOEAII,AGE-MOEA-II,60,60,60,1,0.4692,0.14469,0.025877,0.00014724,3.8892e-17,-,3.5566e-21,-
MAIN,RWMOP8,3,ARMOEA,AR-MOEA,60,60,60,1,0.35277,0.0068105,0.026176,2.532e-05,3.5566e-21,-,3.5566e-21,-
