Source,Config,Problem,M,D,Run,HV,Path
baseline,ARMOEA,WFG4,2,11,1,0.347187144003397,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_1.mat
baseline,ARMOEA,WFG4,2,11,11,0.347040155263698,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_11.mat
baseline,ARMOEA,WFG4,2,11,12,0.347097932292032,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_12.mat
baseline,ARMOEA,WFG4,2,11,13,0.347172564174226,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_13.mat
baseline,ARMOEA,WFG4,2,11,14,0.347188581879591,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_14.mat
baseline,ARMOEA,WFG4,2,11,19,0.347079110921129,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_19.mat
baseline,ARMOEA,WFG4,2,11,2,0.34720600955637,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_2.mat
baseline,ARMOEA,WFG4,2,11,20,0.347162251357275,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_20.mat
baseline,ARMOEA,WFG4,2,11,21,0.347206513424139,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_21.mat
baseline,ARMOEA,WFG4,2,11,22,0.347198073061724,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_22.mat
baseline,ARMOEA,WFG4,2,11,27,0.347201722335295,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_27.mat
baseline,ARMOEA,WFG4,2,11,28,0.347192078830263,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_28.mat
baseline,ARMOEA,WFG4,2,11,29,0.347199673983387,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_29.mat
baseline,ARMOEA,WFG4,2,11,3,0.347188334025981,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_3.mat
baseline,ARMOEA,WFG4,2,11,30,0.347199873054226,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_30.mat
baseline,ARMOEA,WFG4,2,11,35,0.347186166341256,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_35.mat
baseline,ARMOEA,WFG4,2,11,36,0.347184488174564,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_36.mat
baseline,ARMOEA,WFG4,2,11,37,0.347162875463952,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_37.mat
baseline,ARMOEA,WFG4,2,11,38,0.34719048909792,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_38.mat
