Source,Config,Problem,M,D,Run,HasHV,HV,HasIGD,IGD,Path
baseline,AGEMOEAII,RWMOP13,3,7,1,1,0.0872536094876805,1,583.553798905924,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP13_M3_D7_1.mat
baseline,AGEMOEAII,RWMOP13,3,7,10,1,0.0859443186172619,1,640.484843711971,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP13_M3_D7_10.mat
baseline,AGEMOEAII,RWMOP13,3,7,2,1,0.0872605380104405,1,584.327851858729,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP13_M3_D7_2.mat
baseline,AGEMOEAII,RWMOP13,3,7,3,1,0.0863406237169461,1,640.343328037868,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP13_M3_D7_3.mat
baseline,AGEMOEAII,RWMOP13,3,7,4,1,0.0872183616838347,1,545.8270986829,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP13_M3_D7_4.mat
baseline,AGEMOEAII,RWMOP13,3,7,5,1,0.0862261674317967,1,629.82580013225,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP13_M3_D7_5.mat
baseline,AGEMOEAII,RWMOP13,3,7,6,1,0.0861826524100337,1,636.595778517506,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP13_M3_D7_6.mat
baseline,AGEMOEAII,RWMOP13,3,7,7,1,0.0873905614823172,1,553.921769013178,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP13_M3_D7_7.mat
baseline,AGEMOEAII,RWMOP13,3,7,8,1,0.0860137319854765,1,622.049912984475,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP13_M3_D7_8.mat
baseline,AGEMOEAII,RWMOP13,3,7,9,1,0.0859975494654285,1,636.926529138151,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP13_M3_D7_9.mat
baseline,AGEMOEAII,RWMOP20,2,4,1,1,0,1,1407.30962913874,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP20_M2_D4_1.mat
baseline,AGEMOEAII,RWMOP20,2,4,10,1,0,1,1428.61252889133,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP20_M2_D4_10.mat
baseline,AGEMOEAII,RWMOP20,2,4,2,1,0,1,1387.87878575601,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP20_M2_D4_2.mat
baseline,AGEMOEAII,RWMOP20,2,4,3,1,0,1,1410.82146768596,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP20_M2_D4_3.mat
baseline,AGEMOEAII,RWMOP20,2,4,4,1,0,1,1391.45143909879,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP20_M2_D4_4.mat
baseline,AGEMOEAII,RWMOP20,2,4,5,1,0,1,1434.87091947376,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP20_M2_D4_5.mat
baseline,AGEMOEAII,RWMOP20,2,4,6,1,0,1,1430.43418135682,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP20_M2_D4_6.mat
baseline,AGEMOEAII,RWMOP20,2,4,7,1,0,1,1447.07839461478,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP20_M2_D4_7.mat
baseline,AGEMOEAII,RWMOP20,2,4,8,1,0,1,1407.37083131103,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP20_M2_D4_8.mat
baseline,AGEMOEAII,RWMOP20,2,4,9,1,0,1,1433.32357413318,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP20_M2_D4_9.mat
baseline,AGEMOEAII,RWMOP24,3,9,10,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP24_M3_D9_10.mat
baseline,AGEMOEAII,RWMOP24,3,9,4,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP24_M3_D9_4.mat
baseline,AGEMOEAII,RWMOP24,3,9,5,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/AGEMOEAII/AGEMOEAII_RWMOP24_M3_D9_5.mat
baseline,ARMOEA,RWMOP13,3,7,1,1,0.0882434249728927,1,655.086721490668,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_1.mat
baseline,ARMOEA,RWMOP13,3,7,10,1,0.0882594154655114,1,737.968809659462,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_10.mat
baseline,ARMOEA,RWMOP13,3,7,2,1,0.0881975576279265,1,653.46955474083,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_2.mat
baseline,ARMOEA,RWMOP13,3,7,3,1,0.0882257004551496,1,718.154914105487,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_3.mat
baseline,ARMOEA,RWMOP13,3,7,4,1,0.0883371569092439,1,1180.73626022717,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_4.mat
baseline,ARMOEA,RWMOP13,3,7,5,1,0.0882123415762396,1,893.609744646983,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_5.mat
baseline,ARMOEA,RWMOP13,3,7,6,1,0.088259087675927,1,1438.23032022955,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_6.mat
