Algorithm,Problem,M,D,Run,HasHV,HV,Path
AGEMOEAII,DTLZ1,2,6,1,1,0.58185167883488,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_1.mat
AGEMOEAII,DTLZ1,2,6,10,1,0.581884628908773,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_10.mat
AGEMOEAII,DTLZ1,2,6,100,1,0.581825794539823,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_100.mat
AGEMOEAII,DTLZ1,2,6,11,1,0.582003586394931,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_11.mat
AGEMOEAII,DTLZ1,2,6,12,1,0.581980660927273,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_12.mat
AGEMOEAII,DTLZ1,2,6,13,1,0.581937467176861,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_13.mat
AGEMOEAII,DTLZ1,2,6,14,1,0.581950378537476,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_14.mat
AGEMOEAII,DTLZ1,2,6,15,1,0.58184213241781,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_15.mat
AGEMOEAII,DTLZ1,2,6,16,1,0.581918363574839,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_16.mat
AGEMOEAII,DTLZ1,2,6,17,1,0.582078682944563,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_17.mat
AGEMOEAII,DTLZ1,2,6,18,1,0.58197411182447,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_18.mat
AGEMOEAII,DTLZ1,2,6,19,1,0.582130655733146,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_19.mat
AGEMOEAII,DTLZ1,2,6,2,1,0.582063972949082,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_2.mat
AGEMOEAII,DTLZ1,2,6,20,1,0.581737261484627,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_20.mat
AGEMOEAII,DTLZ1,2,6,21,1,0.581988474297162,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_21.mat
AGEMOEAII,DTLZ1,2,6,22,1,0.582090209684385,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_22.mat
AGEMOEAII,DTLZ1,2,6,23,1,0.582143832175614,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_23.mat
AGEMOEAII,DTLZ1,2,6,24,1,0.581824389809007,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_24.mat
AGEMOEAII,DTLZ1,2,6,25,1,0.581950683415435,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_25.mat
AGEMOEAII,DTLZ1,2,6,26,1,0.581998668594368,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_26.mat
AGEMOEAII,DTLZ1,2,6,27,1,0.582018263011941,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_27.mat
AGEMOEAII,DTLZ1,2,6,28,1,0.582052952191112,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_28.mat
AGEMOEAII,DTLZ1,2,6,29,1,0.581777471110443,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_29.mat
AGEMOEAII,DTLZ1,2,6,3,1,0.5821002227983,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_3.mat
AGEMOEAII,DTLZ1,2,6,30,1,0.581978999620523,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_30.mat
AGEMOEAII,DTLZ1,2,6,31,1,0.582105590275227,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_31.mat
AGEMOEAII,DTLZ1,2,6,32,1,0.582120649223528,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_32.mat
AGEMOEAII,DTLZ1,2,6,33,1,0.582124192745272,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_33.mat
