problem,m,ivf_median_igd,spea2_median_igd,ivf_median_hv,spea2_median_hv,delta_median_igd,delta_median_hv,a12_igd_ivf_better,a12_hv_ivf_better,ivf_q1_igd,ivf_q3_igd,spea2_q1_igd,spea2_q3_igd,ivf_iqr_igd,positive_rank,negative_rank,bimodal_rank
DTLZ1,2,0.0018257656624906002,0.0018341394130401,0.5825048945305635,0.582430295161232,8.373750549499825e-06,7.459936933151834e-05,0.7588888888888888,0.9755555555555555,0.0018191418030989752,0.001831277748201375,0.001828428199735,0.0018409233381499,1.213594510239991e-05,45.0,7.0,51.0
DTLZ1,3,0.02008858482020785,0.020106094205993748,0.8427081957640494,0.8424558835641356,1.750938578589864e-05,0.00025231219991384,0.5608333333333333,0.785,0.019989812772168027,0.020187134804162125,0.0200314400209574,0.020200622397223277,0.00019732203199409812,44.0,8.0,29.0
DTLZ2,2,0.004121174652654399,0.00418100382446195,0.347386243868131,0.347257313026262,5.9829171807550784e-05,0.0001289308418689905,0.7858333333333334,0.8380555555555556,0.00409509604751105,0.004154562398469925,0.004144548891472375,0.004203344942967175,5.9466350958875015e-05,32.0,20.0,39.0
DTLZ2,3,0.053725462043217945,0.05424000057341885,0.557960136051601,0.5553075889949874,0.0005145385302009059,0.0026525470566135523,0.7838888888888889,0.9455555555555556,0.053337102219537955,0.0540347415540727,0.05390523516712198,0.054626126229027724,0.000697639334534747,17.0,35.0,21.0
DTLZ3,2,0.00404793032667695,0.0042939187025745,0.3475164540207285,0.346247886349372,0.00024598837589755,0.0012685676713565242,0.9511111111111111,0.9741666666666666,0.004027320810077875,0.00407559322810305,0.004146369286426675,0.004525369620968675,4.8272418025175484e-05,22.0,30.0,44.0
DTLZ3,3,0.05301341506056595,0.0532882754632287,0.561317317549946,0.5584156068711295,0.00027486040266275213,0.002901710678816505,0.6458333333333334,0.9205555555555556,0.052694688693728724,0.05344767625355605,0.053018576341825274,0.053612935016654026,0.000752987559827327,20.0,32.0,20.0
DTLZ4,2,0.0041117571637087,0.00416475354508685,0.3474120381953665,0.34728570309011,5.2996381378150013e-05,0.00012633510525650316,0.7155555555555555,0.7480555555555556,0.004085141694621375,0.00416299460169445,0.00413223388485235,0.004207527376539875,7.785290707307529e-05,34.0,18.0,37.0
DTLZ4,3,0.05447963984648435,0.0549836185510664,0.5562261876221191,0.553481416150042,0.0005039787045820476,0.002744771472077079,0.6375,0.6738888888888889,0.053862496041949946,0.5408289527228718,0.05454439010768272,0.5408349707028273,0.48696645668092187,18.0,34.0,2.0
DTLZ5,2,0.00412167735220955,0.0041740627226965,0.3474107345523,0.347261389503511,5.238537048694956e-05,0.0001493450487889958,0.8036111111111112,0.8627777777777778,0.00409529726107095,0.004144577240022875,0.0041348598398748,0.0041957624516572,4.9279978951924895e-05,35.0,17.0,42.0
DTLZ5,3,0.0042788651243643,0.0044071630883601495,0.1997713093350975,0.199599160193554,0.0001282979639958496,0.00017214914154350947,0.8355555555555556,0.8625,0.004209239030465375,0.0043353328637012,0.0043541130584094,0.0044982410096395,0.00012609383323582482,26.0,26.0,31.0
