Algorithm,Median_HV,IQR_HV,Mean_HV,Std_HV,Q25_HV,Q75_HV,N,p_vs_IVFSPEA2,Symbol
IVF/SPEA2,4.1255005004e+01,3.6305481483e-02,4.1248545664e+01,2.2698385003e-02,4.1230350531e+01,4.1266656012e+01,60,NaN,
IVF/SPEA2-ABL-DOM,4.1249421394e+01,2.5968018406e-02,4.1251226469e+01,1.8256598580e-02,4.1237893168e+01,4.1263861186e+01,60,7.950122e-01,≈
IVF/SPEA2-ABL-4C,4.1249406998e+01,2.5441148647e-02,4.1247629191e+01,1.8860248614e-02,4.1233735402e+01,4.1259176550e+01,60,4.576740e-01,≈
IVF/SPEA2-ABL-1C,4.1252687887e+01,2.6564355705e-02,4.1252517092e+01,2.1064460008e-02,4.1240551299e+01,4.1267115655e+01,60,4.769662e-01,≈
SPEA2,4.1245768569e+01,3.3171230179e-02,4.1246826345e+01,2.3619146632e-02,4.1231122693e+01,4.1264293923e+01,60,5.761753e-01,≈
MFO/SPEA2,4.1253436952e+01,2.6771890369e-02,4.1251382183e+01,1.9434043643e-02,4.1237945968e+01,4.1264717858e+01,60,7.231267e-01,≈
SPEA2+SDE,4.1222839074e+01,5.4894481042e-02,4.1205598176e+01,4.9529330192e-02,4.1181521304e+01,4.1236415786e+01,60,7.181496e-09,+
NSGA-II,4.1192002169e+01,2.9865201425e-02,4.1187451123e+01,2.4564850238e-02,4.1173210151e+01,4.1203075352e+01,60,7.836161e-19,+
NSGA-III,4.1322426603e+01,2.2041906379e-02,4.1320270744e+01,1.9346558373e-02,4.1309997585e+01,4.1332039491e+01,60,1.362653e-20,-
MOEA/D,1.3898981774e-02,8.0836347157e-03,1.4421270022e-02,6.4938021714e-03,1.1106904673e-02,1.9190539388e-02,60,3.556571e-21,+
AGE-MOEA-II,4.1338654024e+01,6.7773110753e-03,4.1338382394e+01,4.3854553260e-03,4.1335035107e+01,4.1341812418e+01,60,3.556571e-21,-
AR-MOEA,4.1378688210e+01,1.8751213716e-03,4.1378855999e+01,1.5052050823e-03,4.1377907681e+01,4.1379782802e+01,60,3.556571e-21,-
