Algorithm,Median_IGD_PF,IQR_IGD_PF,Mean_IGD_PF,Std_IGD_PF,Q25_IGD_PF,Q75_IGD_PF,Median_IGD_GetOptimum,N,p_vs_IVFSPEA2,Symbol
IVF/SPEA2,4.2283577995e+00,1.1471879308e-01,4.2234926998e+00,7.9530052089e-02,4.1677787623e+00,4.2824975554e+00,3.7238595056e-02,60,NaN,
IVF/SPEA2-ABL-DOM,4.2247114088e+00,1.1132367637e-01,4.2343742916e+00,1.0356057698e-01,4.1742186107e+00,4.2855422871e+00,3.7238595056e-02,60,7.270634e-01,≈
IVF/SPEA2-ABL-4C,4.2413504192e+00,1.2580327931e-01,4.2533506185e+00,1.2270032202e-01,4.1845730988e+00,4.3103763781e+00,3.7238595056e-02,60,2.807682e-01,≈
IVF/SPEA2-ABL-1C,4.2306771131e+00,1.5353597146e-01,4.2400055566e+00,1.1110876529e-01,4.1724840550e+00,4.3260200265e+00,3.7238595056e-02,60,3.680449e-01,≈
SPEA2,4.2647522756e+00,1.1733935077e-01,4.2615959497e+00,8.4343396009e-02,4.1987352596e+00,4.3160746103e+00,3.7238595056e-02,60,3.202736e-02,+
MFO/SPEA2,4.2599417664e+00,1.4218033421e-01,4.2691164936e+00,1.0705302071e-01,4.1937173192e+00,4.3358976535e+00,3.7238595056e-02,60,2.165991e-02,+
SPEA2+SDE,1.0042171353e+01,6.4441264809e+00,1.2244633910e+01,6.0738549729e+00,7.8633314501e+00,1.4307457931e+01,1.0455086512e+02,60,3.556571e-21,+
NSGA-II,5.5183503031e+00,2.8776099907e-01,5.4961391338e+00,2.4730551809e-01,5.3177118679e+00,5.6054728670e+00,3.7238595056e-02,60,3.556571e-21,+
NSGA-III,5.6972255175e+00,1.6801744908e-01,5.7314347053e+00,1.2573034948e-01,5.6369919093e+00,5.8050093583e+00,3.7336146012e-02,60,3.556571e-21,+
MOEA/D,7.5192564681e+02,1.0208153735e-02,7.5192603984e+02,7.5439999968e-03,7.5192058796e+02,7.5193079611e+02,1.6483723645e+03,60,3.556571e-21,+
AGE-MOEA-II,4.6314175572e+00,2.1959578775e-01,4.6598505504e+00,1.4466810811e-01,4.5484867986e+00,4.7680825863e+00,3.7238595056e-02,60,3.556571e-21,+
AR-MOEA,5.2798261963e+00,4.0900967577e-02,5.2795296266e+00,2.7009147655e-02,5.2573302991e+00,5.2982312667e+00,1.2580527680e+00,60,3.556571e-21,+
