Problem,R,C,IGD_Median,Count,IQR
DTLZ2_M2,0.0,0.05,0.004162190194841649,30,8.092146728789096e-05
DTLZ2_M2,0.0,0.07,0.004165141636530685,30,5.042391649301946e-05
DTLZ2_M2,0.0,0.11,0.004163917307367638,30,6.610370340901645e-05
DTLZ2_M2,0.0,0.16,0.004169336814875682,30,4.8660196932685286e-05
DTLZ2_M2,0.0,0.21,0.004163767366496053,30,3.9214606095678076e-05
DTLZ2_M2,0.0,0.27,0.004151506917788876,30,6.603955565292249e-05
DTLZ2_M2,0.0,0.32,0.0041442469416717274,30,4.3866298579695734e-05
DTLZ2_M2,0.0,0.42,0.004156113774799344,30,6.0013003264191254e-05
DTLZ2_M2,0.0,0.53,0.0041566792388730185,30,4.790868600914721e-05
DTLZ2_M2,0.0,0.64,0.004173244140162603,30,7.06508905439487e-05
DTLZ2_M2,0.05,0.05,0.004153730395541878,30,7.097208276882552e-05
DTLZ2_M2,0.05,0.07,0.004147452356205139,30,4.334043620122727e-05
DTLZ2_M2,0.05,0.11,0.0041472588348234855,30,5.799914324815941e-05
DTLZ2_M2,0.05,0.16,0.004160002144039527,30,6.969160799917811e-05
DTLZ2_M2,0.05,0.21,0.004154960879689369,30,5.797390737595845e-05
DTLZ2_M2,0.05,0.27,0.004155112004013774,30,5.761352631952158e-05
DTLZ2_M2,0.05,0.32,0.004158335579858719,30,6.198246948251312e-05
DTLZ2_M2,0.05,0.42,0.004152676493119281,30,6.109381315065696e-05
DTLZ2_M2,0.05,0.53,0.004163944847610167,30,5.46867496305321e-05
DTLZ2_M2,0.05,0.64,0.004151567472473899,30,5.453011820906028e-05
DTLZ2_M2,0.075,0.05,0.004145453280795775,30,5.8420909129968356e-05
DTLZ2_M2,0.075,0.07,0.004148381430760288,30,6.304284506811197e-05
DTLZ2_M2,0.075,0.11,0.004139254476163195,30,6.0706415777153806e-05
DTLZ2_M2,0.075,0.16,0.004145218396070168,30,5.653340659993785e-05
DTLZ2_M2,0.075,0.21,0.0041574921306812024,30,6.242920280644104e-05
DTLZ2_M2,0.075,0.27,0.004153906418018428,30,3.1586127713581144e-05
DTLZ2_M2,0.075,0.32,0.004151982384328732,30,6.106972692298054e-05
DTLZ2_M2,0.075,0.42,0.004156564404454903,30,4.8491588812467e-05
DTLZ2_M2,0.075,0.53,0.004155492092109881,30,4.491072916452954e-05
DTLZ2_M2,0.075,0.64,0.004161201808095965,30,6.68161728916445e-05
DTLZ2_M2,0.1,0.05,0.004138322730904325,30,5.5741929107210215e-05
DTLZ2_M2,0.1,0.07,0.004132833990270689,30,5.903427240004557e-05
DTLZ2_M2,0.1,0.11,0.004137049083382959,30,3.977977731537026e-05
DTLZ2_M2,0.1,0.16,0.00415053336090037,30,4.6398744462700266e-05
DTLZ2_M2,0.1,0.21,0.004159009788564103,30,6.176193010054391e-05
DTLZ2_M2,0.1,0.27,0.0041682741208283886,30,6.0393694670522226e-05
DTLZ2_M2,0.1,0.32,0.00414885291970695,30,6.23622812749797e-05
DTLZ2_M2,0.1,0.42,0.004166176502652713,30,5.8021282979593865e-05
DTLZ2_M2,0.1,0.53,0.004147296038114345,30,5.652055294204546e-05
DTLZ2_M2,0.1,0.64,0.004148385887699293,30,6.639841062123803e-05
DTLZ2_M2,0.125,0.05,0.004144955159543529,30,6.839254943026042e-05
DTLZ2_M2,0.125,0.07,0.004128820857990088,30,7.093320702565489e-05
DTLZ2_M2,0.125,0.11,0.0041316510659734195,30,6.026349453623712e-05
DTLZ2_M2,0.125,0.16,0.004142410123660633,30,7.96140061823259e-05
DTLZ2_M2,0.125,0.21,0.004157668375954348,30,7.030331683683874e-05
DTLZ2_M2,0.125,0.27,0.004142167192345045,30,5.628976707881209e-05
DTLZ2_M2,0.125,0.32,0.004152432418169618,30,6.323261423180678e-05
DTLZ2_M2,0.125,0.42,0.00416677741581593,30,6.311904675021084e-05
DTLZ2_M2,0.125,0.53,0.004152663487404635,30,5.5030646027964814e-05
DTLZ2_M2,0.125,0.64,0.00415845421221583,30,4.5072022145863436e-05
DTLZ2_M2,0.15,0.05,0.0041378398087171375,30,4.2930107461474666e-05
DTLZ2_M2,0.15,0.07,0.004137557439849244,30,4.3710254313577765e-05
DTLZ2_M2,0.15,0.11,0.004132387764883383,30,5.2878255738068e-05
DTLZ2_M2,0.15,0.16,0.004140466820409732,30,5.626336280944045e-05
DTLZ2_M2,0.15,0.21,0.004147000756023287,30,4.85515783010251e-05
DTLZ2_M2,0.15,0.27,0.004144334671392215,30,6.093360983842975e-05
DTLZ2_M2,0.15,0.32,0.004146476780729323,30,5.121806241239861e-05
DTLZ2_M2,0.15,0.42,0.004166100063062051,30,5.690326119676698e-05
DTLZ2_M2,0.15,0.53,0.004138866383022946,30,4.915396941924336e-05
DTLZ2_M2,0.15,0.64,0.004150359152755859,30,6.094717607499269e-05
DTLZ2_M2,0.2,0.05,0.0041409649014281244,30,3.5545294072744996e-05
DTLZ2_M2,0.2,0.07,0.004143659931099957,30,5.416683627804727e-05
DTLZ2_M2,0.2,0.11,0.00413224675823684,30,4.3599113828897765e-05
DTLZ2_M2,0.2,0.16,0.004131140376956329,30,4.5551978984897067e-05
DTLZ2_M2,0.2,0.21,0.004148091340029551,30,4.580049923297823e-05
DTLZ2_M2,0.2,0.27,0.004153613449079172,30,5.208917049254972e-05
DTLZ2_M2,0.2,0.32,0.004140406118005678,30,6.614902757807236e-05
