Problem,R,C,Run,IGD
DTLZ2_M2,0.0,0.05,1,0.004208822144666098
DTLZ2_M2,0.0,0.05,2,0.00422991819670374
DTLZ2_M2,0.0,0.05,3,0.004202855338087916
DTLZ2_M2,0.0,0.05,4,0.004102691757949823
DTLZ2_M2,0.0,0.05,5,0.0041237875897500815
DTLZ2_M2,0.0,0.05,6,0.004210859963149389
DTLZ2_M2,0.0,0.05,7,0.0042312666932098125
DTLZ2_M2,0.0,0.05,8,0.0041119903285658085
DTLZ2_M2,0.0,0.05,9,0.004133092171061019
DTLZ2_M2,0.0,0.05,10,0.004207387592782411
DTLZ2_M2,0.0,0.05,11,0.004120540471369093
DTLZ2_M2,0.0,0.05,12,0.004119094725097758
DTLZ2_M2,0.0,0.05,13,0.0041582670793994265
DTLZ2_M2,0.0,0.05,14,0.004243564018378683
DTLZ2_M2,0.0,0.05,15,0.004096278278434211
DTLZ2_M2,0.0,0.05,16,0.004102066156286346
DTLZ2_M2,0.0,0.05,17,0.004202672253662001
DTLZ2_M2,0.0,0.05,18,0.0041703471781975535
DTLZ2_M2,0.0,0.05,19,0.004187804948331876
DTLZ2_M2,0.0,0.05,20,0.004177436564372577
DTLZ2_M2,0.0,0.05,21,0.004126910345350844
DTLZ2_M2,0.0,0.05,22,0.0042010781120229174
DTLZ2_M2,0.0,0.05,23,0.004116271796430912
DTLZ2_M2,0.0,0.05,24,0.004174844567804182
DTLZ2_M2,0.0,0.05,25,0.004097309333347618
DTLZ2_M2,0.0,0.05,26,0.0041661133102838714
DTLZ2_M2,0.0,0.05,27,0.004189386285154429
DTLZ2_M2,0.0,0.05,28,0.0041351270391565284
DTLZ2_M2,0.0,0.05,29,0.004144851344122983
DTLZ2_M2,0.0,0.05,30,0.004153284679666744
DTLZ7_M3,0.0,0.05,1,0.06223939929857593
DTLZ7_M3,0.0,0.05,2,0.05946351746138671
DTLZ7_M3,0.0,0.05,3,0.05765964259285125
DTLZ7_M3,0.0,0.05,4,0.060819297372247935
DTLZ7_M3,0.0,0.05,5,0.05943178552880487
DTLZ7_M3,0.0,0.05,6,0.06292062527408257
DTLZ7_M3,0.0,0.05,7,0.06063175158153939
DTLZ7_M3,0.0,0.05,8,0.05877331679255218
DTLZ7_M3,0.0,0.05,9,0.059866774162524686
DTLZ7_M3,0.0,0.05,10,0.059149632996424666
