metric,M,Problema,is_full12,p_raw,p_holm,indicator_raw,indicator_holm
IGD,M2,DTLZ1,False,1.0129440238323257e-06,1.3168272309820235e-05,+,+
IGD,M2,DTLZ2,False,6.73034238497736e-08,1.0095513577466042e-06,+,+
IGD,M2,DTLZ3,False,1.5795616385044056e-17,4.1068602601114544e-16,+,+
IGD,M2,DTLZ4,False,4.6948725649538774e-05,0.0005164359821449266,+,+
IGD,M2,DTLZ5,False,9.80095673602761e-09,1.5681530777644177e-07,+,+
IGD,M2,DTLZ6,False,5.951455309680416e-09,1.0117474026456708e-07,+,+
IGD,M2,DTLZ7,False,0.010039746753762605,0.04241790706586485,+,+
IGD,M2,MaF1,False,2.0571849835052572e-12,4.5258069637115656e-11,+,+
IGD,M2,MaF2,False,1.3173623434947598e-17,3.5568783274358517e-16,+,+
IGD,M2,MaF3,False,1.0086075021814828e-19,2.824101006108152e-18,+,+
IGD,M2,MaF4,False,6.615360470804152e-10,1.3230720941608305e-08,+,+
IGD,M2,MaF5,False,0.003990921984611365,0.02394553190766819,+,+
IGD,M2,MaF6,False,1.197724428391763e-09,2.2756764139443495e-08,+,+
IGD,M2,MaF7,False,0.00848358141317297,0.04241790706586485,+,+
IGD,M2,WFG1,False,0.04091949471374556,0.12275848414123669,+,=
IGD,M2,WFG2,False,5.019350885738354e-07,7.027091240033695e-06,-,-
IGD,M2,WFG3,False,0.00011567041416913156,0.0011567041416913155,-,-
IGD,M2,WFG4,True,3.7462303521192323e-10,7.867083739450388e-09,+,+
IGD,M2,WFG5,False,1.8954942689030208e-13,4.738735672257552e-12,+,+
IGD,M2,WFG6,False,0.14671063961713326,0.29342127923426653,=,=
IGD,M2,WFG7,False,2.6967994403039473e-13,6.4723186567294734e-12,+,+
IGD,M2,WFG8,False,0.9727845283335559,0.9727845283335559,=,=
IGD,M2,WFG9,True,0.0033181746205441717,0.023227222343809202,-,-
IGD,M2,ZDT1,True,2.8076730989401725e-06,3.369207718728207e-05,+,+
IGD,M2,ZDT2,False,0.00023629702600046998,0.001958318008375652,+,+
IGD,M2,ZDT3,False,0.00021759088981951688,0.001958318008375652,+,+
IGD,M2,ZDT4,False,2.7800794941475607e-09,5.0041430894656094e-08,+,+
IGD,M2,ZDT6,True,9.280744010258346e-13,2.1345711223594198e-11,+,+
IGD,M3,DTLZ1,True,0.251452888068492,1.0,=,=
IGD,M3,DTLZ2,True,8.254078546805342e-08,1.2381117820208015e-06,+,+
IGD,M3,DTLZ3,False,0.005906794153805775,0.0472543532304462,+,+
IGD,M3,DTLZ4,True,0.009446662644973153,0.06612663851481207,+,=
IGD,M3,DTLZ5,False,2.331729133806294e-10,4.197112440851329e-09,+,+
IGD,M3,DTLZ6,False,1.9060376716772359e-06,2.0966414388449596e-05,+,+
IGD,M3,DTLZ7,True,0.010348545242541524,0.06612663851481207,+,=
IGD,M3,MaF1,True,1.0016799339954478e-12,2.1035278613904403e-11,+,+
IGD,M3,MaF2,False,4.623374581637818e-07,6.010386956129164e-06,+,+
IGD,M3,MaF3,False,7.664991130625401e-13,1.6862980487375882e-11,+,+
IGD,M3,MaF4,False,9.734567564713231e-05,0.0009734567564713231,+,+
IGD,M3,MaF5,True,0.5478605382101781,1.0,=,=
IGD,M3,MaF6,False,3.413576835384452e-07,4.779007569538233e-06,+,+
IGD,M3,MaF7,False,0.001974291819957514,0.017768626379617628,+,+
IGD,M3,WFG1,False,0.5869686192952058,1.0,=,=
IGD,M3,WFG2,True,4.905063057299978e-14,1.128164503178995e-12,-,-
IGD,M3,WFG3,False,4.870894603796619e-08,7.793431366074591e-07,+,+
IGD,M3,WFG4,False,6.5384003124538474e-09,1.111528053117154e-07,+,+
IGD,M3,WFG5,True,8.008586969540811e-11,1.5216315242127541e-09,+,+
IGD,M3,WFG6,False,0.5374226858243835,1.0,=,=
IGD,M3,WFG7,False,1.392162775189286e-06,1.6705953302271433e-05,+,+
IGD,M3,WFG8,False,0.012022825407617432,0.06612663851481207,+,=
IGD,M3,WFG9,False,2.5768576646720453e-12,5.15371532934409e-11,+,+
HV,M2,DTLZ1,False,2.633739797040631e-19,6.847723472305641e-18,+,+
HV,M2,DTLZ2,False,1.714320668868863e-10,2.7429130701901806e-09,+,+
HV,M2,DTLZ3,False,3.3423072871068034e-19,8.355768217767008e-18,+,+
HV,M2,DTLZ4,False,2.8076730989401725e-06,3.08844040883419e-05,+,+
HV,M2,DTLZ5,False,7.277468720239168e-12,1.3099443696430504e-10,+,+
HV,M2,DTLZ6,False,8.732342012239755e-05,0.0006985873609791804,+,+
HV,M2,DTLZ7,False,1.275636178428175e-05,0.00012756361784281751,+,+
HV,M2,MaF1,False,1.1805490690799198e-14,2.5972079519758236e-13,+,+
HV,M2,MaF2,False,5.37163552223973e-19,1.2891925253375353e-17,+,+
HV,M2,MaF3,False,5.921579952162413e-20,1.5988265870838515e-18,+,+
HV,M2,MaF4,False,9.062329648846249e-17,2.084335819234637e-15,+,+
HV,M2,MaF5,False,0.00012600915597431902,0.0008820640918202332,+,+
HV,M2,MaF6,False,0.008225039013768774,0.0329001560550751,+,+
HV,M2,MaF7,False,0.00032074523716966617,0.001924471423017997,+,+
HV,M2,WFG1,False,0.048142035608382164,0.1444261068251465,+,=
HV,M2,WFG2,False,1.981204858491372e-12,3.764289231133607e-11,-,-
HV,M2,WFG3,False,9.531812446912538e-11,1.6204081159751316e-09,-,-
HV,M2,WFG4,True,3.385810060283848e-10,4.740134084397387e-09,+,+
HV,M2,WFG5,False,2.1780820981159448e-10,3.267123147173917e-09,+,+
HV,M2,WFG6,False,0.14671063961713326,0.29342127923426653,=,=
HV,M2,WFG7,False,2.901199443604255e-14,5.80239888720851e-13,+,+
HV,M2,WFG8,False,0.7869256969277942,0.7869256969277942,=,=
HV,M2,WFG9,True,0.0006153952324613767,0.0030769761623068836,-,-
HV,M2,ZDT1,True,8.017552559741532e-08,1.0422818327663991e-06,+,+
HV,M2,ZDT2,False,2.360098918237591e-05,0.0002124089026413832,+,+
HV,M2,ZDT3,False,3.054592595844628e-07,3.6655111150135535e-06,+,+
HV,M2,ZDT4,False,1.2344392360470397e-20,3.456429860931711e-19,+,+
HV,M2,ZDT6,True,2.1824685473921938e-14,4.583183949523607e-13,+,+
HV,M3,DTLZ1,True,7.346690917823128e-08,8.08136000960544e-07,+,+
HV,M3,DTLZ2,True,3.889185918602873e-17,7.389453245345458e-16,+,+
HV,M3,DTLZ3,False,1.960561874592059e-15,2.940842811888088e-14,+,+
HV,M3,DTLZ4,True,0.001027000762530675,0.00616200457518405,+,+
HV,M3,DTLZ5,False,7.549415560482037e-12,9.814240228626648e-11,+,+
HV,M3,DTLZ6,False,0.0945851787805473,0.3783407151221892,=,=
HV,M3,DTLZ7,True,1.823175027150317e-05,0.00014585400217202537,+,+
HV,M3,MaF1,True,2.7669870737784136e-18,5.533974147556827e-17,+,+
HV,M3,MaF2,False,1.9243539438520053e-08,2.3092247326224064e-07,+,+
HV,M3,MaF3,False,3.638619910050849e-20,8.004963802111868e-19,+,+
HV,M3,MaF4,False,1.0406014694805809e-12,1.4568420572728134e-11,+,+
HV,M3,MaF5,True,0.11718046133079055,0.3783407151221892,=,=
HV,M3,MaF6,False,0.06737704668693309,0.3368852334346655,=,=
HV,M3,MaF7,False,0.00032727775282331465,0.0022909442697632027,+,+
HV,M3,WFG1,False,0.10205932216637786,0.3783407151221892,=,=
HV,M3,WFG2,True,9.821670778401889e-08,9.82167077840189e-07,-,-
HV,M3,WFG3,False,6.745961014102749e-16,1.1468133723974673e-14,+,+
HV,M3,WFG4,False,5.0477740034171866e-21,1.1609880207859528e-19,+,+
HV,M3,WFG5,True,1.6547864611049924e-15,2.647658337767988e-14,+,+
HV,M3,WFG6,False,0.7389164706392968,0.7389164706392968,=,=
HV,M3,WFG7,False,2.633739797040631e-19,5.530853573785325e-18,+,+
HV,M3,WFG8,False,1.3866437611530045e-07,1.247979385037704e-06,+,+
HV,M3,WFG9,False,6.945206936526315e-17,1.2501372485747367e-15,+,+
