case_id,metric,pairing,test_method,n_ctrl,n_ivf,n_spea2,median_ctrl,iqr_ctrl,median_ivf,iqr_ivf,median_spea2,iqr_spea2,p_ctrl_vs_ivf,p_bh_ctrl_vs_ivf,a12_ctrl_vs_ivf,p_ctrl_vs_spea2,p_bh_ctrl_vs_spea2,a12_ctrl_vs_spea2,label,family,m_obj,outcome_ctrl_vs_ivf,outcome_ctrl_vs_spea2,wtl_ctrl_vs_ivf,wtl_ctrl_vs_spea2
dtlz1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.5825061605310056,1.9458711567610365e-05,0.5825061605310056,1.820760110582409e-05,0.5824140302172505,0.0001366982853521,0.3173105078629141,0.7552651206767836,0.4927777777777777,1.30385160446167e-07,8.312053978443146e-07,0.9322222222222222,HELPS,dtlz,2,tie,win,T,W
dtlz1_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.8427201674114257,0.0002727436930102,0.8427201674114257,0.0002594657354668,0.842543115676244,0.0005857246183652,0.9808795062755976,1.0,0.4966666666666666,0.0043382328003644,0.0077631534322312,0.7322222222222222,NOT_HELPS,dtlz,3,tie,win,T,W
dtlz2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3474281877387832,0.0001030596059027,0.3474330166776683,0.0001105270428929,0.3472789728589123,0.0001335148965036,0.3173105078629141,0.7552651206767836,0.4827777777777777,2.551823854446411e-07,1.446033517519633e-06,0.8333333333333334,HELPS,dtlz,2,tie,win,T,W
dtlz2_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5580394332480185,0.0012026148803027,0.5580394332480185,0.0012026148803027,0.5557195569826755,0.0013126457542316,1.0,1.0,0.5,2.60770320892334e-08,2.659857273101807e-07,0.9177777777777778,HELPS,dtlz,3,tie,win,T,W
dtlz3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3475052313238949,9.221449191570974e-05,0.3475052313238949,9.221449191570974e-05,0.3466986588009041,0.0009045907902038,1.0,1.0,0.5,3.725290298461914e-09,9.499490261077881e-08,0.9588888888888888,HELPS,dtlz,2,tie,win,T,W
dtlz3_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5614322941179273,0.0011629769035657,0.5614322941179273,0.0011629769035657,0.557948434482928,0.0033121129250529,1.0,1.0,0.5,1.30385160446167e-07,8.312053978443146e-07,0.8933333333333333,HELPS,dtlz,3,tie,win,T,W
dtlz4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.34741649433462,9.393670348101236e-05,0.34741649433462,8.503305055895805e-05,0.3472993746465463,9.611048932389732e-05,1.0,1.0,0.5088888888888888,0.0002316366881132,0.0006058190304499,0.8322222222222222,HELPS,dtlz,2,tie,win,T,W
dtlz4_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.558178236777906,0.0020631777851495,0.558178236777906,0.0020631777851495,0.5537945524155319,0.1563415703913858,1.0,1.0,0.5,1.30385160446167e-08,1.8998980522155762e-07,0.9144444444444444,HELPS,dtlz,3,tie,win,T,W
dtlz5_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3473971792976411,0.0001279601893022,0.3474017656710182,0.0001200477772523,0.3472511883220434,0.0001180609663001,0.3173105078629141,0.7552651206767836,0.4783333333333333,4.421919584274292e-06,1.9610252069390335e-05,0.8111111111111111,HELPS,dtlz,2,tie,win,T,W
dtlz5_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.1997494551931435,0.0001339314378651,0.1997494551931435,0.0001339314378651,0.1996213825513375,0.0001724318182165,1.0,1.0,0.5,0.0053827799856662,0.0094662682506544,0.77,HELPS,dtlz,3,tie,win,T,W
