metric,comparison,label,wins,ties,losses,skips,n_cases,match_or_beat
HV,CTRL vs IVF-SPEA2,ALL,2,40,9,0,51,42
HV,CTRL vs IVF-SPEA2,HELPS,0,32,9,0,41,32
HV,CTRL vs IVF-SPEA2,NOT_HELPS,2,8,0,0,10,10
HV,CTRL vs SPEA2,ALL,34,14,3,0,51,48
HV,CTRL vs SPEA2,HELPS,33,8,0,0,41,41
HV,CTRL vs SPEA2,NOT_HELPS,1,6,3,0,10,7
IGD,CTRL vs IVF-SPEA2,ALL,1,40,10,0,51,41
IGD,CTRL vs IVF-SPEA2,HELPS,0,33,8,0,41,33
IGD,CTRL vs IVF-SPEA2,NOT_HELPS,1,7,2,0,10,8
IGD,CTRL vs SPEA2,ALL,29,18,4,0,51,47
IGD,CTRL vs SPEA2,HELPS,29,12,0,0,41,41
IGD,CTRL vs SPEA2,NOT_HELPS,0,6,4,0,10,6
