problem,M,ivf_algo,base_algo,metric,p_value,a12,a12_label,n_pairs,median_ivf,median_base,p_adj
DTLZ1,2,IVFNSGAIII,NSGAIII,AUC_IGD,0.5291051845997572,0.5455555555555556,negligible,30,902.6463454155157,595.8387649965517,0.6502256485442799
DTLZ1,2,IVFNSGAIII,NSGAIII,Final_IGD,0.0021877754479646683,0.20333333333333334,small,30,0.0017853263971455,0.0017860342030849,0.014876873046159743
DTLZ1,2,IVFNSGAIII,NSGAIII,Best_IGD,0.0021877754479646683,0.20333333333333334,small,30,0.0017853263971455,0.0017860342030849,0.009702308508365051
DTLZ1,2,IVFNSGAIII,NSGAIII,AUC_HV,0.8078304156661034,0.49,negligible,30,50481.48490354589,51141.71364718408,0.8408030856932912
DTLZ1,2,IVFNSGAIII,NSGAIII,Final_HV,0.022098854184150696,0.7266666666666667,small,30,0.5825978368064713,0.5825539803608724,0.06830554929646579
DTLZ1,2,IVFNSGAIII,NSGAIII,Best_HV,0.022098854184150696,0.7266666666666667,small,30,0.5825978368064713,0.5825539803608724,0.0549776372386188
DTLZ1,2,IVFNSGAII,NSGAII,AUC_IGD,0.7456546742469072,0.5422222222222223,negligible,30,291.41620319269026,281.1186305756615,0.817814804012737
DTLZ1,2,IVFNSGAII,NSGAII,Final_IGD,0.9032264724373817,0.5188888888888888,negligible,30,0.0022352825686534,0.0022238075249268,0.9596781269647181
DTLZ1,2,IVFNSGAII,NSGAII,Best_IGD,0.370740607380867,0.5488888888888889,negligible,30,0.0021337556646116,0.0021286006321426503,0.5042072260379791
DTLZ1,2,IVFNSGAII,NSGAII,AUC_HV,0.6263462882488966,0.45111111111111113,negligible,30,52007.068146277474,52060.24047277424,0.7020584769383236
DTLZ1,2,IVFNSGAII,NSGAII,Final_HV,0.7000329215079546,0.5344444444444445,negligible,30,0.5814773247412564,0.5814449342774568,0.7846522856462788
DTLZ1,2,IVFNSGAII,NSGAII,Best_HV,0.5425279382616282,0.5622222222222222,negligible,30,0.5816619926385381,0.5816381051265247,0.6667210807552538
DTLZ1,3,IVFNSGAIII,NSGAIII,AUC_IGD,0.11907656863331795,0.5844444444444444,negligible,30,3070.0506468043523,2574.4109380519562,0.2478736734816006
DTLZ1,3,IVFNSGAIII,NSGAIII,Final_IGD,0.2621222734451294,0.4077777777777778,negligible,30,0.020558964174140652,0.02056161520981165,0.45315695279201523
DTLZ1,3,IVFNSGAIII,NSGAIII,Best_IGD,0.25343610532581806,0.4066666666666667,negligible,30,0.020558964174140652,0.02056161520981165,0.3692926106176206
DTLZ1,3,IVFNSGAIII,NSGAIII,AUC_HV,0.25343610532581806,0.43777777777777777,negligible,30,72357.42908968535,73645.68290460421,0.3541162019621019
DTLZ1,3,IVFNSGAIII,NSGAIII,Final_HV,0.21293285302817822,0.6077777777777778,negligible,30,0.8416944493697881,0.8416605960761334,0.36812120354024025
DTLZ1,3,IVFNSGAIII,NSGAIII,Best_HV,0.21293285302817822,0.6077777777777778,negligible,30,0.8416944493697881,0.8416605960761334,0.31477030447643733
DTLZ1,3,IVFNSGAII,NSGAII,AUC_IGD,0.12413446232676506,0.5288888888888889,negligible,30,2832.765257093817,2680.3805240792703,0.2532343031466007
DTLZ1,3,IVFNSGAII,NSGAII,Final_IGD,0.17719271034002304,0.6233333333333333,negligible,30,0.0267887526276709,0.0262598515356135,0.36885013172821124
DTLZ1,3,IVFNSGAII,NSGAII,Best_IGD,0.15188691951334476,0.5844444444444444,negligible,30,0.0254824592752811,0.0253886843547493,0.27179764544493273
DTLZ1,3,IVFNSGAII,NSGAII,AUC_HV,0.21293285302817822,0.4911111111111111,negligible,30,72907.89311396517,73358.33354505856,0.31477030447643733
DTLZ1,3,IVFNSGAII,NSGAII,Final_HV,0.6701805889606476,0.51,negligible,30,0.8253207176914206,0.8258250083460922,0.7846522856462788
DTLZ1,3,IVFNSGAII,NSGAII,Best_HV,0.5561132747679949,0.5555555555555556,negligible,30,0.8288372120921317,0.828557802666105,0.6673359297215938
DTLZ2,2,IVFNSGAIII,NSGAIII,AUC_IGD,0.5978077705949545,0.5322222222222223,negligible,30,357.84093384732677,357.854977232077,0.7008780758699467
DTLZ2,2,IVFNSGAIII,NSGAIII,Final_IGD,1.862645149230957e-09,0.0,large,30,0.0039658782972563505,0.003966037678771,3.799796104431152e-08
