case_id,instance_key,problem,m,role,n_ivf_files,n_spea2_files,n_paired_files_raw,n_selected_pairs,extra_paired_runs,selected_run_id_min,selected_run_id_max,response_available,label_binary_eval
zdt4_m2,ZDT4_M2,ZDT4,2,synthetic,40,40,40,30,10,70061,70090,True,HELPS
dtlz3_m2,DTLZ3_M2,DTLZ3,2,synthetic,31,31,31,30,1,70061,70090,True,HELPS
rwmop9_m2,RWMOP9_M2,RWMOP9,2,engineering,31,31,31,30,1,70901,70930,False,
dtlz1_m2,DTLZ1_M2,DTLZ1,2,synthetic,30,30,30,30,0,70091,70120,True,HELPS
dtlz1_m3,DTLZ1_M3,DTLZ1,3,synthetic,30,30,30,30,0,70511,70540,True,NOT_HELPS
dtlz2_m2,DTLZ2_M2,DTLZ2,2,synthetic,30,30,30,30,0,70121,70150,True,HELPS
dtlz2_m3,DTLZ2_M3,DTLZ2,3,synthetic,30,30,30,30,0,70541,70570,True,HELPS
dtlz3_m3,DTLZ3_M3,DTLZ3,3,synthetic,30,30,30,30,0,70331,70360,True,HELPS
dtlz4_m2,DTLZ4_M2,DTLZ4,2,synthetic,30,30,30,30,0,70091,70120,True,HELPS
dtlz4_m3,DTLZ4_M3,DTLZ4,3,synthetic,30,30,30,30,0,70361,70390,True,NOT_HELPS
dtlz5_m2,DTLZ5_M2,DTLZ5,2,synthetic,30,30,30,30,0,70151,70180,True,HELPS
dtlz5_m3,DTLZ5_M3,DTLZ5,3,synthetic,30,30,30,30,0,70571,70600,True,HELPS
dtlz6_m2,DTLZ6_M2,DTLZ6,2,synthetic,30,30,30,30,0,70121,70150,True,HELPS
dtlz6_m3,DTLZ6_M3,DTLZ6,3,synthetic,30,30,30,30,0,70391,70420,True,HELPS
dtlz7_m2,DTLZ7_M2,DTLZ7,2,synthetic,30,30,30,30,0,70181,70210,True,NOT_HELPS
dtlz7_m3,DTLZ7_M3,DTLZ7,3,synthetic,30,30,30,30,0,70601,70630,True,HELPS
maf1_m2,MAF1_M2,MaF1,2,synthetic,30,30,30,30,0,70361,70390,True,HELPS
maf1_m3,MAF1_M3,MaF1,3,synthetic,30,30,30,30,0,70511,70540,True,HELPS
maf2_m2,MAF2_M2,MaF2,2,synthetic,30,30,30,30,0,70391,70420,True,HELPS
maf2_m3,MAF2_M3,MaF2,3,synthetic,30,30,30,30,0,70811,70840,True,HELPS
maf3_m2,MAF3_M2,MaF3,2,synthetic,30,30,30,30,0,70271,70300,True,HELPS
maf3_m3,MAF3_M3,MaF3,3,synthetic,30,30,30,30,0,70841,70870,True,HELPS
maf4_m2,MAF4_M2,MaF4,2,synthetic,30,30,30,30,0,70421,70450,True,HELPS
maf4_m3,MAF4_M3,MaF4,3,synthetic,30,30,30,30,0,70541,70570,True,HELPS
maf5_m2,MAF5_M2,MaF5,2,synthetic,30,30,30,30,0,70301,70330,True,NOT_HELPS
maf5_m3,MAF5_M3,MaF5,3,synthetic,30,30,30,30,0,70871,70900,True,NOT_HELPS
maf6_m2,MAF6_M2,MaF6,2,synthetic,30,30,30,30,0,70451,70480,True,HELPS
maf6_m3,MAF6_M3,MaF6,3,synthetic,30,30,30,30,0,70571,70600,True,HELPS
maf7_m2,MAF7_M2,MaF7,2,synthetic,31,30,30,30,0,70481,70510,True,NOT_HELPS
maf7_m3,MAF7_M3,MaF7,3,synthetic,30,30,30,30,0,70601,70630,True,HELPS
wfg1_m2,WFG1_M2,WFG1,2,synthetic,30,30,30,30,0,70211,70240,True,HELPS
wfg1_m3,WFG1_M3,WFG1,3,synthetic,30,30,30,30,0,70631,70660,True,HELPS
wfg2_m2,WFG2_M2,WFG2,2,synthetic,30,30,30,30,0,70151,70180,True,NOT_HELPS
wfg2_m3,WFG2_M3,WFG2,3,synthetic,30,30,30,30,0,70661,70690,True,NOT_HELPS
wfg3_m2,WFG3_M2,WFG3,2,synthetic,30,30,30,30,0,70241,70270,True,NOT_HELPS
wfg3_m3,WFG3_M3,WFG3,3,synthetic,30,30,30,30,0,70421,70450,True,HELPS
wfg4_m2,WFG4_M2,WFG4,2,synthetic,30,30,30,30,0,70271,70300,True,HELPS
wfg4_m3,WFG4_M3,WFG4,3,synthetic,30,30,30,30,0,70691,70720,True,HELPS
wfg5_m2,WFG5_M2,WFG5,2,synthetic,30,30,30,30,0,70181,70210,True,HELPS
wfg5_m3,WFG5_M3,WFG5,3,synthetic,30,30,30,30,0,70721,70750,True,HELPS
wfg6_m2,WFG6_M2,WFG6,2,synthetic,30,30,30,30,0,70301,70330,True,NOT_HELPS
wfg6_m3,WFG6_M3,WFG6,3,synthetic,30,30,30,30,0,70451,70480,True,NOT_HELPS
wfg7_m2,WFG7_M2,WFG7,2,synthetic,30,30,30,30,0,70211,70240,True,HELPS
wfg7_m3,WFG7_M3,WFG7,3,synthetic,30,30,30,30,0,70751,70780,True,HELPS
wfg8_m2,WFG8_M2,WFG8,2,synthetic,30,30,30,30,0,70331,70360,True,NOT_HELPS
wfg8_m3,WFG8_M3,WFG8,3,synthetic,30,30,30,30,0,70481,70510,True,HELPS
wfg9_m2,WFG9_M2,WFG9,2,synthetic,30,30,30,30,0,70241,70270,True,NOT_HELPS
wfg9_m3,WFG9_M3,WFG9,3,synthetic,30,30,30,30,0,70781,70810,True,HELPS
zdt1_m2,ZDT1_M2,ZDT1,2,synthetic,30,30,30,30,0,70001,70030,True,HELPS
zdt2_m2,ZDT2_M2,ZDT2,2,synthetic,30,30,30,30,0,70001,70030,True,HELPS
zdt3_m2,ZDT3_M2,ZDT3,2,synthetic,30,30,30,30,0,70031,70060,True,HELPS
zdt6_m2,ZDT6_M2,ZDT6,2,synthetic,30,30,30,30,0,70031,70060,True,HELPS
