feature,n_eval,n_families,families_tested,direction_mode,median_threshold,family_rule_summary,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,mcc
ivf_turnover_early,51,4,DTLZ|MAF|WFG|ZDT,ge,0.2158040201005025,DTLZ:0.215804:ge;MAF:0.215804:ge;WFG:0.247889:ge;ZDT:0.215804:ge,29.0,8.0,2.0,12.0,0.7254901960784313,0.7536585365853659,0.7073170731707317,0.8,0.41254902195417
spea2_turnover_early,51,4,DTLZ|MAF|WFG|ZDT,ge,0.23374371859296478,DTLZ:0.233568:ge;MAF:0.233920:ge;WFG:0.274460:ge;ZDT:0.233568:ge,23.0,9.0,1.0,18.0,0.6274509803921569,0.7304878048780488,0.5609756097560976,0.9,0.36667590527902855
ivf_fitness_early,51,4,DTLZ|MAF|WFG|ZDT,ge,4.412813260230029,DTLZ:4.305755:ge;MAF:4.305755:ge;WFG:13.328395:ge;ZDT:4.519871:ge,20.0,9.0,1.0,21.0,0.5686274509803921,0.6939024390243902,0.4878048780487805,0.9,0.3128491081335063
fitness_delta,51,4,DTLZ|MAF|WFG|ZDT,ge,3.2552703776931473,DTLZ:3.255270:ge;MAF:3.255270:ge;WFG:1.765392:ge;ZDT:3.514463:ge,17.0,9.0,1.0,24.0,0.5098039215686274,0.6573170731707317,0.4146341463414634,0.9,0.2613993837824278
ivf_nd_early,51,4,DTLZ|MAF|WFG|ZDT,le,0.8414321608040202,DTLZ:0.890427:le;MAF:0.841219:le;WFG:0.841432:le;ZDT:0.841432:le,16.0,9.0,1.0,25.0,0.49019607843137253,0.6451219512195122,0.3902439024390244,0.9,0.24445060351935238
spea2_nd_early,51,4,DTLZ|MAF|WFG|ZDT,le,0.8014195979899498,DTLZ:0.842286:le;MAF:0.800741:le;WFG:0.801420:le;ZDT:0.801420:le,15.0,9.0,1.0,26.0,0.47058823529411764,0.6329268292682927,0.36585365853658536,0.9,0.2274786048828384
spea2_fitness_early,51,4,DTLZ|MAF|WFG|ZDT,ge,10.775314163445625,DTLZ:8.801424:ge;MAF:3.748672:ge;WFG:13.405310:ge;ZDT:12.749205:ge,19.0,8.0,2.0,22.0,0.5294117647058824,0.6317073170731707,0.4634146341463415,0.8,0.2125012809963439
nd_delta,51,4,DTLZ|MAF|WFG|ZDT,ge,0.03654522613065325,DTLZ:0.036545:ge;MAF:0.057035:ge;WFG:0.034422:ge;ZDT:0.036545:ge,10.0,9.0,1.0,31.0,0.37254901960784315,0.5719512195121952,0.24390243902439024,0.9,0.13891007475766326
ivf_spacing_early,51,4,DTLZ|MAF|WFG|ZDT,le,0.008968552727611451,DTLZ:0.008969:le;MAF:0.008812:le;WFG:0.077473:le;ZDT:0.008969:le,21.0,4.0,6.0,20.0,0.49019607843137253,0.4560975609756098,0.5121951219512195,0.4,-0.06984302957695782
spea2_spacing_early,51,4,DTLZ|MAF|WFG|ZDT,le,0.01033062358632035,DTLZ:0.010331:le;MAF:0.010253:le;WFG:0.073282:le;ZDT:0.010331:le,21.0,4.0,6.0,20.0,0.49019607843137253,0.4560975609756098,0.5121951219512195,0.4,-0.06984302957695782
igd_early_delta,51,4,DTLZ|MAF|WFG|ZDT,ge,0.0055249533218073,DTLZ:0.005525:ge;MAF:0.005525:ge;WFG:0.015927:le;ZDT:0.005525:ge,29.0,2.0,8.0,12.0,0.6078431372549019,0.4536585365853658,0.7073170731707317,0.2,-0.08245685919559344
spacing_ratio,51,4,DTLZ|MAF|WFG|ZDT,le,0.8562513777797638,DTLZ:0.860579:le;MAF:0.860579:le;WFG:0.608809:ge;ZDT:0.851924:le,31.0,1.0,9.0,10.0,0.6274509803921569,0.42804878048780487,0.7560975609756098,0.1,-0.13891007475766326
hv_early_delta,51,4,DTLZ|MAF|WFG|ZDT,ge,0.00522418206829715,DTLZ:0.005477:ge;MAF:0.005439:ge;WFG:0.005009:le;ZDT:0.000206:le,11.0,4.0,6.0,30.0,0.29411764705882354,0.33414634146341465,0.2682926829268293,0.4,-0.27937211830783126
ivf_cycles_early,51,4,DTLZ|MAF|WFG|ZDT,le,1.8756281407035176,DTLZ:1.868090:le;MAF:1.883166:le;WFG:1.523869:ge;ZDT:1.883166:le,27.0,0.0,10.0,14.0,0.5294117647058824,0.32926829268292684,0.6585365853658537,0.0,-0.3037884286153442
turnover_ratio,51,4,DTLZ|MAF|WFG|ZDT,ge,0.9584333868083688,DTLZ:0.983780:ge;MAF:0.933087:le;WFG:0.905403:ge;ZDT:1.111949:ge,18.0,1.0,9.0,23.0,0.37254901960784315,0.26951219512195124,0.43902439024390244,0.1,-0.36667590527902855
turnover_delta,51,4,DTLZ|MAF|WFG|ZDT,ge,0.004032663316582924,DTLZ:0.019108:ge;MAF:-0.011043:le;WFG:-0.026080:ge;ZDT:0.019108:ge,13.0,1.0,9.0,28.0,0.27450980392156865,0.20853658536585368,0.3170731707317073,0.1,-0.46729984097115257
