feature,n_eval,direction_mode,median_threshold,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,mcc
spea2_turnover_early,51,ge,0.23356783919597984,29.0,7.0,3.0,12.0,0.7058823529411765,0.7036585365853658,0.7073170731707317,0.7,0.3344820013731961
ivf_turnover_early,51,ge,0.22282663316582912,28.0,7.0,3.0,13.0,0.6862745098039216,0.6914634146341463,0.6829268292682927,0.7,0.3113951752250226
fitness_delta,51,ge,3.2552703776931473,17.0,9.0,1.0,24.0,0.5098039215686274,0.6573170731707317,0.4146341463414634,0.9,0.2613993837824278
ivf_fitness_early,51,ge,4.305755296309039,21.0,8.0,2.0,20.0,0.5686274509803921,0.6560975609756098,0.5121951219512195,0.8,0.24910079157436515
ivf_nd_early,51,le,0.8414321608040202,15.0,9.0,1.0,26.0,0.47058823529411764,0.6329268292682927,0.36585365853658536,0.9,0.2274786048828384
spea2_fitness_early,51,ge,12.749204729363235,18.0,8.0,2.0,23.0,0.5098039215686274,0.6195121951219512,0.43902439024390244,0.8,0.1943740584207147
spea2_spacing_early,51,le,0.01033062358632035,12.0,9.0,1.0,29.0,0.4117647058823529,0.5963414634146341,0.2926829268292683,0.9,0.17553821930354513
spacing_ratio,51,le,0.8605789692915905,24.0,6.0,4.0,17.0,0.5882352941176471,0.5926829268292683,0.5853658536585366,0.6,0.14790359499727931
ivf_cycles_early,51,le,1.8831658291457285,32.0,4.0,6.0,9.0,0.7058823529411765,0.5902439024390245,0.7804878048780488,0.4,0.16442820542357392
spea2_nd_early,51,le,0.8014195979899498,14.0,8.0,2.0,27.0,0.43137254901960786,0.5707317073170732,0.34146341463414637,0.8,0.12104366131380391
hv_early_delta,51,ge,0.00547675252472045,19.0,6.0,4.0,22.0,0.49019607843137253,0.5317073170731708,0.4634146341463415,0.6,0.05059859828854292
igd_early_delta,51,ge,0.0055249533218073,19.0,5.0,5.0,22.0,0.47058823529411764,0.4817073170731707,0.4634146341463415,0.5,-0.029101262323732426
turnover_ratio,51,ge,0.9837795468940487,25.0,3.0,7.0,16.0,0.5490196078431373,0.45487804878048776,0.6097560975609756,0.3,-0.07410679072340273
nd_delta,51,ge,0.03654522613065325,11.0,6.0,4.0,30.0,0.3333333333333333,0.43414634146341463,0.2682926829268293,0.6,-0.1147638083514009
ivf_spacing_early,51,le,0.008968552727611451,12.0,5.0,5.0,29.0,0.3333333333333333,0.39634146341463417,0.2926829268292683,0.5,-0.17460757394239457
turnover_delta,51,ge,0.019108040201004997,8.0,3.0,7.0,33.0,0.21568627450980393,0.2475609756097561,0.1951219512195122,0.3,-0.43992793201370345
