problem,M,ivf_algo,base_algo,n_targets,n_runs_ivf,n_runs_base,ks_stat,p_value,max_ecdf_gap,max_gap_fe,mean_ecdf_diff,direction
DTLZ1,2,IVFSPEA2,SPEA2,10,30,30,0.09333333333333334,0.14660689047075634,0.09333333333333338,20100.502512562813,0.014000000000000012,IVF faster
DTLZ1,2,IVFNSGAIII,NSGAIII,10,30,30,0.02666666666666667,0.9999324508116627,0.026666666666666727,30150.75376884422,0.0003333333333333438,IVF faster
DTLZ1,2,IVFNSGAII,NSGAII,10,30,30,0.023333333333333334,0.9999978779719236,0.023333333333333317,20100.502512562813,-0.004633333333333341,base faster
DTLZ1,3,IVFSPEA2,SPEA2,10,30,30,0.04,0.9704671760269938,0.040000000000000036,10050.251256281406,-0.0036666666666666627,base faster
DTLZ1,3,IVFNSGAIII,NSGAIII,10,30,30,0.4166666666666667,1.0427642021280988e-23,0.046666666666666634,10050.251256281406,-0.008333333333333337,base faster
DTLZ1,3,IVFNSGAII,NSGAII,10,30,30,0.05,0.8483422371364409,0.050000000000000044,20100.502512562813,-0.0076666666666666715,base faster
DTLZ2,2,IVFSPEA2,SPEA2,10,30,30,0.0,1.0,0.0,0.0,0.0,base faster
DTLZ2,2,IVFNSGAIII,NSGAIII,10,30,30,0.0,1.0,0.0,0.0,0.0,base faster
DTLZ2,2,IVFNSGAII,NSGAII,10,30,30,0.006666666666666667,1.0,0.00666666666666671,20100.502512562813,-0.0042999999999999775,base faster
DTLZ2,3,IVFSPEA2,SPEA2,10,30,30,0.0033333333333333335,1.0,0.0033333333333332993,60301.50753768844,0.0013166666666666533,IVF faster
DTLZ2,3,IVFNSGAIII,NSGAIII,10,30,30,0.9,5.90299077423856e-129,0.0,0.0,0.0,base faster
DTLZ2,3,IVFNSGAII,NSGAII,10,30,30,0.0,1.0,0.0,0.0,0.0,base faster
DTLZ3,2,IVFSPEA2,SPEA2,10,30,30,0.25,1.2161555648200794e-08,0.25,40201.005025125625,0.08051666666666665,IVF faster
DTLZ3,2,IVFNSGAIII,NSGAIII,10,30,30,0.09,0.17609362474930004,0.08999999999999997,50251.25628140703,0.026533333333333325,IVF faster
DTLZ3,2,IVFNSGAII,NSGAII,10,30,30,0.03666666666666667,0.9879477457246794,0.03666666666666667,20100.502512562813,0.009649999999999994,IVF faster
DTLZ3,3,IVFSPEA2,SPEA2,10,30,30,0.14333333333333334,0.004164755648201053,0.14333333333333334,20100.502512562813,0.034,IVF faster
DTLZ3,3,IVFNSGAIII,NSGAIII,10,30,30,0.27,5.01791941596116e-10,0.020000000000000018,60301.50753768844,0.002333333333333328,IVF faster
DTLZ3,3,IVFNSGAII,NSGAII,10,30,30,0.056666666666666664,0.7220634112888834,0.05666666666666664,20100.502512562813,0.015333333333333319,IVF faster
DTLZ4,2,IVFSPEA2,SPEA2,10,30,30,0.09,0.17609362474930004,0.08999999999999997,10050.251256281406,0.08054999999999995,IVF faster
DTLZ4,2,IVFNSGAIII,NSGAIII,10,30,30,0.15666666666666668,0.0012455277365958025,0.15666666666666662,10050.251256281406,-0.06186666666666664,base faster
DTLZ4,2,IVFNSGAII,NSGAII,10,30,30,0.11,0.05296383973125253,0.10999999999999999,90452.26130653266,0.09478333333333332,IVF faster
DTLZ4,3,IVFSPEA2,SPEA2,10,30,30,0.0033333333333333335,1.0,0.0033333333333334103,20100.502512562813,0.002650000000000061,IVF faster
DTLZ4,3,IVFNSGAIII,NSGAIII,10,30,30,0.82,5.7434087328299434e-102,0.12,90452.26130653266,0.08939999999999998,IVF faster
DTLZ4,3,IVFNSGAII,NSGAII,10,30,30,0.03333333333333333,0.996366687488538,0.033333333333333326,90452.26130653266,0.021500000000000005,IVF faster
DTLZ5,2,IVFSPEA2,SPEA2,10,30,30,0.0,1.0,0.0,0.0,0.0,base faster
DTLZ5,2,IVFNSGAIII,NSGAIII,10,30,30,0.0,1.0,0.0,0.0,0.0,base faster
DTLZ5,2,IVFNSGAII,NSGAII,10,30,30,0.01,1.0,0.010000000000000009,40201.005025125625,0.0029999999999999914,IVF faster
DTLZ5,3,IVFSPEA2,SPEA2,10,30,30,0.08,0.2926468667924955,0.07999999999999996,10050.251256281406,0.00831666666666666,IVF faster
DTLZ5,3,IVFNSGAIII,NSGAIII,10,30,30,0.5333333333333333,2.0885153422421613e-39,0.033333333333333326,20100.502512562813,-0.009999999999999998,base faster
DTLZ5,3,IVFNSGAII,NSGAII,10,30,30,0.04,0.9704671760269938,0.039999999999999925,10050.251256281406,0.004333333333333333,IVF faster
DTLZ6,2,IVFSPEA2,SPEA2,10,30,30,0.006666666666666667,1.0,0.006666666666666599,10050.251256281406,-0.0006666666666666598,base faster
DTLZ6,2,IVFNSGAIII,NSGAIII,10,30,30,0.01,1.0,0.010000000000000009,10050.251256281406,-0.0010000000000000009,base faster
DTLZ6,2,IVFNSGAII,NSGAII,10,30,30,0.016666666666666666,0.9999999999989688,0.01666666666666672,10050.251256281406,-0.002000000000000013,base faster
DTLZ6,3,IVFSPEA2,SPEA2,10,30,30,0.006666666666666667,1.0,0.006666666666666599,10050.251256281406,0.0029833333333333027,IVF faster
DTLZ6,3,IVFNSGAIII,NSGAIII,10,30,30,0.48,1.161721406761561e-31,0.00666666666666671,10050.251256281406,-0.0033333333333333214,base faster
DTLZ6,3,IVFNSGAII,NSGAII,10,30,30,0.03,0.9993001912185819,0.029999999999999916,10050.251256281406,0.0030000000000000027,IVF faster
DTLZ7,2,IVFSPEA2,SPEA2,10,30,30,0.07666666666666666,0.34165950354815394,0.07666666666666666,10050.251256281406,-0.011550000000000003,base faster
DTLZ7,2,IVFNSGAIII,NSGAIII,10,30,30,0.056666666666666664,0.7220634112888834,0.05666666666666664,10050.251256281406,-0.0056666666666666645,base faster
DTLZ7,2,IVFNSGAII,NSGAII,10,30,30,0.023333333333333334,0.9999978779719236,0.023333333333333317,10050.251256281406,-0.0019999999999999905,base faster
DTLZ7,3,IVFSPEA2,SPEA2,10,30,30,0.03333333333333333,0.996366687488538,0.033333333333333326,20100.502512562813,-0.02251666666666667,base faster
DTLZ7,3,IVFNSGAIII,NSGAIII,10,30,30,0.6766666666666666,1.2617570371375253e-65,0.030000000000000027,60301.50753768844,0.019516666666666686,IVF faster
