Problem,Algorithm,Display,Metric,n_valid,median,q1,q3
RWMOP9,IVFSPEA2,IVF/SPEA2,IGD_PF,60,4.1919,4.095775,4.266775
RWMOP9,SPEA2,SPEA2,IGD_PF,60,4.24175,4.19445,4.329775
RWMOP9,MFOSPEA2,MFO/SPEA2,IGD_PF,60,4.239800000000001,4.155875,4.30115
RWMOP9,SPEA2SDE,SPEA2+SDE,IGD_PF,60,8.76985,7.2351,12.238275
RWMOP9,NSGAII,NSGA-II,IGD_PF,60,5.28775,5.102575,5.4243500000000004
RWMOP9,NSGAIII,NSGA-III,IGD_PF,60,5.3114,5.227925,5.4211
RWMOP9,MOEAD,MOEA/D,IGD_PF,60,700.689,700.6853249999999,700.695025
RWMOP9,AGEMOEAII,AGE-MOEA-II,IGD_PF,60,4.346500000000001,4.233325000000001,4.39115
RWMOP9,ARMOEA,AR-MOEA,IGD_PF,60,4.84935,4.8342,4.859375
RWMOP21,IVFSPEA2,IVF/SPEA2,IGD_PF,60,0.017189000000000003,0.01690525,0.01751575
RWMOP21,SPEA2,SPEA2,IGD_PF,60,0.0172355,0.01684,0.0175555
RWMOP21,MFOSPEA2,MFO/SPEA2,IGD_PF,60,0.0172775,0.017042250000000002,0.01769575
RWMOP21,SPEA2SDE,SPEA2+SDE,IGD_PF,60,0.0882665,0.059997,0.12342499999999999
RWMOP21,NSGAII,NSGA-II,IGD_PF,60,0.021888499999999998,0.0208445,0.022997749999999997
RWMOP21,NSGAIII,NSGA-III,IGD_PF,60,0.016229,0.0161075,0.016374
RWMOP21,MOEAD,MOEA/D,IGD_PF,60,2.89085,2.888575,2.8928499999999997
RWMOP21,AGEMOEAII,AGE-MOEA-II,IGD_PF,60,0.013824,0.013406000000000001,0.014255499999999999
RWMOP21,ARMOEA,AR-MOEA,IGD_PF,60,0.016101499999999998,0.01606775,0.016133
RWMOP8,IVFSPEA2,IVF/SPEA2,IGD_PF,60,1.3743500000000002,1.1486,1.69815
RWMOP8,SPEA2,SPEA2,IGD_PF,60,1.44605,1.211775,1.606675
RWMOP8,MFOSPEA2,MFO/SPEA2,IGD_PF,60,0.27952,0.27393,0.28509
RWMOP8,SPEA2SDE,SPEA2+SDE,IGD_PF,18,16.7224,16.138174999999997,17.3013
RWMOP8,NSGAII,NSGA-II,IGD_PF,60,0.342955,0.335405,0.355545
RWMOP8,NSGAIII,NSGA-III,IGD_PF,60,0.5608299999999999,0.50593,0.6423375
RWMOP8,MOEAD,MOEA/D,IGD_PF,0,,,
RWMOP8,AGEMOEAII,AGE-MOEA-II,IGD_PF,60,0.469205,0.419385,0.5584425
RWMOP8,ARMOEA,AR-MOEA,IGD_PF,60,0.35277000000000003,0.34983000000000003,0.35639
RWMOP9,IVFSPEA2,IVF/SPEA2,HV,60,0.4095,0.40944,0.4096125
RWMOP9,SPEA2,SPEA2,HV,60,0.40946,0.4093425,0.4095325
RWMOP9,MFOSPEA2,MFO/SPEA2,HV,60,0.40943,0.4093375,0.40955
RWMOP9,SPEA2SDE,SPEA2+SDE,HV,60,0.40790000000000004,0.4070475,0.40862
RWMOP9,NSGAII,NSGA-II,HV,60,0.40907,0.4089375,0.4091425
RWMOP9,NSGAIII,NSGA-III,HV,60,0.40997,0.40985499999999997,0.4100125
RWMOP9,MOEAD,MOEA/D,HV,60,0.0530615,0.05302975,0.05309725
RWMOP9,AGEMOEAII,AGE-MOEA-II,HV,60,0.41006,0.41004,0.41008
RWMOP9,ARMOEA,AR-MOEA,HV,60,0.41032,0.41031,0.41033
RWMOP21,IVFSPEA2,IVF/SPEA2,HV,60,0.031757,0.031757,0.031758
RWMOP21,SPEA2,SPEA2,HV,60,0.031757,0.031756,0.031758
RWMOP21,MFOSPEA2,MFO/SPEA2,HV,60,0.031757,0.031757,0.031758
RWMOP21,SPEA2SDE,SPEA2+SDE,HV,60,0.0316465,0.031619,0.031676
RWMOP21,NSGAII,NSGA-II,HV,60,0.031752,0.031751,0.031753
RWMOP21,NSGAIII,NSGA-III,HV,60,0.031765,0.031765,0.031765
RWMOP21,MOEAD,MOEA/D,HV,60,0.02932,0.029318,0.029322
RWMOP21,AGEMOEAII,AGE-MOEA-II,HV,60,0.031762,0.031762,0.031762
RWMOP21,ARMOEA,AR-MOEA,HV,60,0.031765,0.031765,0.031765
RWMOP8,IVFSPEA2,IVF/SPEA2,HV,60,0.0234785,0.0231655,0.023849000000000002
RWMOP8,SPEA2,SPEA2,HV,60,0.0234065,0.02321725,0.0238385
RWMOP8,MFOSPEA2,MFO/SPEA2,HV,60,0.026055,0.0260065,0.02608925
RWMOP8,SPEA2SDE,SPEA2+SDE,HV,18,0.0187895,0.017518,0.01963525
RWMOP8,NSGAII,NSGA-II,HV,60,0.0259155,0.0258575,0.025964
RWMOP8,NSGAIII,NSGA-III,HV,60,0.025559,0.025431500000000003,0.025625000000000002
RWMOP8,MOEAD,MOEA/D,HV,0,,,
RWMOP8,AGEMOEAII,AGE-MOEA-II,HV,60,0.025877,0.0257915,0.025937250000000002
RWMOP8,ARMOEA,AR-MOEA,HV,60,0.026176,0.0261665,0.026191
