Grupo,Problema,M,instance,instance_label,Algoritmo,value,score,metric
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,0.00202766116504445,0.42480211727110806,IGD
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,0.00178702710436745,0.9974448164137653,IGD
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,0.0018257656624906002,0.9052577319165633,IGD
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,0.00183661332827075,0.8794432790736615,IGD
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MOEAD,0.0017866176021831002,0.9984193186745475,IGD
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),NSGAII,0.00220617013515125,0.0,IGD
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),NSGAIII,0.0017859533733951501,1.0,IGD
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),SPEA2,0.0018341394130401,0.8853305150332919,IGD
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),SPEA2SDE,0.00199981901758315,0.491058749550474,IGD
DTLZ,DTLZ1,M3,DTLZ1__M3,DTLZ1 (M3),AGEMOEAII,0.02004388482661435,1.0,IGD
DTLZ,DTLZ1,M3,DTLZ1__M3,DTLZ1 (M3),ARMOEA,0.0205611568669744,0.9231268062882114,IGD
DTLZ,DTLZ1,M3,DTLZ1__M3,DTLZ1 (M3),IVFSPEA2,0.02008858482020785,0.9933570133347303,IGD
DTLZ,DTLZ1,M3,DTLZ1__M3,DTLZ1 (M3),MFOSPEA2,0.0201623250418378,0.9823982800195414,IGD
DTLZ,DTLZ1,M3,DTLZ1__M3,DTLZ1 (M3),MOEAD,0.02056135012393715,0.9230980858494972,IGD
DTLZ,DTLZ1,M3,DTLZ1__M3,DTLZ1 (M3),NSGAII,0.02677278492018135,0.0,IGD
DTLZ,DTLZ1,M3,DTLZ1__M3,DTLZ1 (M3),NSGAIII,0.0205633411662313,0.9228021916815854,IGD
DTLZ,DTLZ1,M3,DTLZ1__M3,DTLZ1 (M3),SPEA2,0.020106094205993748,0.9907548962662011,IGD
DTLZ,DTLZ1,M3,DTLZ1__M3,DTLZ1 (M3),SPEA2SDE,0.02056576133391105,0.9224425240321779,IGD
DTLZ,DTLZ2,M2,DTLZ2__M2,DTLZ2 (M2),AGEMOEAII,0.00449581607367235,0.9071195528027501,IGD
DTLZ,DTLZ2,M2,DTLZ2__M2,DTLZ2 (M2),ARMOEA,0.00396651323268425,0.999891253335618,IGD
DTLZ,DTLZ2,M2,DTLZ2__M2,DTLZ2 (M2),IVFSPEA2,0.004121174652654399,0.9727835149553107,IGD
DTLZ,DTLZ2,M2,DTLZ2__M2,DTLZ2 (M2),MFOSPEA2,0.0041742493308982,0.9634810367242844,IGD
DTLZ,DTLZ2,M2,DTLZ2__M2,DTLZ2 (M2),MOEAD,0.0039658927857368,1.0,IGD
DTLZ,DTLZ2,M2,DTLZ2__M2,DTLZ2 (M2),NSGAII,0.00512477643792005,0.7968807291264892,IGD
DTLZ,DTLZ2,M2,DTLZ2__M2,DTLZ2 (M2),NSGAIII,0.0039660399534517995,0.999974205694497,IGD
DTLZ,DTLZ2,M2,DTLZ2__M2,DTLZ2 (M2),SPEA2,0.00418100382446195,0.9622971665357594,IGD
DTLZ,DTLZ2,M2,DTLZ2__M2,DTLZ2 (M2),SPEA2SDE,0.00967132707170825,0.0,IGD
DTLZ,DTLZ2,M3,DTLZ2__M3,DTLZ2 (M3),AGEMOEAII,0.05257087289111635,1.0,IGD
DTLZ,DTLZ2,M3,DTLZ2__M3,DTLZ2 (M3),ARMOEA,0.054464906480820655,0.9217978906672936,IGD
DTLZ,DTLZ2,M3,DTLZ2__M3,DTLZ2 (M3),IVFSPEA2,0.053725462043217945,0.9523285608038757,IGD
