Grupo,Problema,M,instance,instance_label,Algoritmo,Run,IGD,score
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,1,0.0021030305470577,0.4575148282168685
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,2,0.0020029451145855,0.6284025206604512
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,3,0.0019960242518764,0.6402193278507029
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,4,0.0019827509502101,0.6628824051521032
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,5,0.0021259040366319,0.41846021502375397
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,6,0.0021189393179039,0.43035190278038205
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,7,0.0019764795468347,0.6735903136332166
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,8,0.0019935141696674,0.6445050879852642
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,9,0.0019937131004184,0.6441654299935389
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,10,0.0020814497775825,0.49436222754042314
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,11,0.0020413744396626,0.5627875902717152
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,12,0.0020491533851786,0.5495056768499706
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,13,0.0020698760667112,0.5141233925266967
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,14,0.0020618436232618,0.5278381329424189
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,15,0.0020927937290423,0.47499335796296827
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,16,0.0020780428960502,0.5001791991925675
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,17,0.0020090244728812,0.6180225134503262
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,18,0.0020524499617316,0.5438770419308752
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,19,0.0019607816564156,0.7003931779831047
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,20,0.002147452617878,0.3816677744695114
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,21,0.0020100084251429,0.6163424954165003
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,22,0.0020022866532952,0.6295267894744372
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,23,0.0019702021924204,0.6843083830266647
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,24,0.0021164042393208,0.4346803421798868
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,25,0.0020580983889366,0.5342328143229658
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,26,0.0020434003347308,0.5593285400904247
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,27,0.0020303822642655,0.5815558309851407
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,28,0.0019940583158977,0.6435760027892377
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,29,0.00213260352762,0.4070213819466124
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,30,0.0020475522517095,0.5522394813315044
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,31,0.0019935735214094,0.6444037497387048
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,32,0.001991008865385,0.648782690200824
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,33,0.0019548941354343,0.7104456386645026
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,34,0.001980771516038,0.666262127152186
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,35,0.0020188258528659,0.6012874585379806
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,36,0.0020751173988373,0.5051742464798088
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,37,0.0019882841853764,0.6534348585315766
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,38,0.0019838382515483,0.6610259270205088
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,39,0.0021504456451905,0.3765574250588134
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,40,0.0020965465117294,0.4685857883716703
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,41,0.0019496529106639,0.7193946014103106
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,42,0.002145405881815,0.38516240894535547
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,43,0.0020684690476375,0.5165257625498811
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,44,0.0019728505373296,0.679786550636585
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,45,0.0021339861141118,0.4046607285592878
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,46,0.0020037307525132,0.6270611081367239
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,47,0.0019633483622191,0.6960107376907723
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,48,0.0020249400658234,0.5908479398427295
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,49,0.0019848069910983,0.6593718834480402
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,50,0.0019974204050302,0.637835510497293
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,51,0.0020607527252066,0.5297007521742049
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,52,0.0020387351129217,0.5672940248767944
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,53,0.0019591565924611,0.7031678418117782
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,54,0.0021269664874327,0.41664616715286085
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,55,0.0020865562959425,0.48564326497608046
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,56,0.0019972337819718,0.6381541541102447
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,57,0.0021116609210278,0.44277917032694325
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,58,0.0020816267250081,0.4940601042793481
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,59,0.0019680864411982,0.6879208552438065
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),AGEMOEAII,60,0.0020194661184001,0.6001942574897559
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,1,0.001788995384014,0.9937041919745575
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,2,0.0017857111053946,0.9993118291775736
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,3,0.0017855119735908,0.9996518304505158
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,4,0.0018138250428996,0.9513095796287496
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,5,0.0017855489321686,0.9995887267008469
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,6,0.0017859721988402,0.9988660334675625
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,7,0.0017854786070816,0.9997088010367566
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,8,0.0017855792469898,0.9995369666223445
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,9,0.0017913008487565,0.9897677994334624
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,10,0.0017858429669275,0.999086686391828
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,11,0.001793065727265,0.9867544136857953
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,12,0.0017914312808125,0.989545097362642
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,13,0.0017856576427463,0.9994031122781634
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,14,0.0017869886828119,0.9971304701988724
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,15,0.0017863601922153,0.9982035665039247
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,16,0.0017864152680465,0.9981095290254354
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,17,0.0018140639466989,0.9509016709254554
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,18,0.001786330510408,0.9982542457629513
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,19,0.001793338367368,0.9862889030023879
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,20,0.0017886958492758,0.9942156230485245
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,21,0.0017937757471549,0.9855421127786899
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,22,0.0018534312543524,0.883685211981824
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,23,0.0017981691853858,0.9780406762296651
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,24,0.0017900690701635,0.99187096066442
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,25,0.0017857694359792,0.9992122344737796
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,26,0.0017871356611813,0.9968795166508337
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,27,0.0017869173229176,0.9972523113836356
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,28,0.0017879796170836,0.9954385309538568
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,29,0.0017854874936662,0.999693627920165
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,30,0.0017899422491742,0.9920874971341097
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,31,0.001793155704664,0.9866007846340203
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,32,0.0017903110089778,0.9914578699211719
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,33,0.0017887282682105,0.9941602703682638
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,34,0.0017854948416988,0.9996810817553138
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,35,0.001787065525923,0.9969992668697595
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,36,0.0017856612847948,0.9993968937781423
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,37,0.0017868898252089,0.9972992614728861
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,38,0.0017854852217673,0.9996975070017747
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,39,0.0017893640139618,0.9930747864797808
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,40,0.0017865497598244,0.9978798953114149
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,41,0.0018164466715798,0.9468333630152306
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,42,0.0018322630514895,0.9198281875484572
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,43,0.0017882144473764,0.9950375774298403
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,44,0.0018049112040556,0.9665292306133043
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,45,0.0018086921316483,0.9600736058969678
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,46,0.0017855906138557,0.9995175586282338
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,47,0.0017864816904367,0.9979961182252074
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,48,0.0018050514692795,0.9662897392123055
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,49,0.0017857950356148,0.9991685251891513
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,50,0.0017895218088868,0.9928053645474724
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,51,0.001785560138453,0.9995695928865177
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,52,0.001785575412509,0.9995435136847834
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,53,0.0017855513761257,0.9995845538439291
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,54,0.0017854486286418,0.9997599867715224
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,55,0.0017864413878596,0.9980649315802582
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,56,0.0017882812588224,0.9949235023486448
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,57,0.001787292244933,0.9966121626979034
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,58,0.0017859543849586,0.9988964492138395
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,59,0.0017858865832226,0.9990122151342388
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),ARMOEA,60,0.0017889167134359,0.99383851555415
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3001,0.001815681974027,0.9481390215610087
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3002,0.0018272394782139,0.9284055281632063
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3003,0.0018383993535685,0.9093509534843653
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3004,0.0018140989242501,0.9508419496167269
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),IVFSPEA2,3005,0.0018191847626029,0.9421582964737734
