metric,suite,problem,M,baseline,A12,significant,p_value
IGD,ZDT,ZDT1,M2,SPEA2,0.7480555555555556,True,2.8076730989401725e-06
IGD,ZDT,ZDT1,M2,MFOSPEA2,0.6836111111111111,True,0.000526838762919239
IGD,ZDT,ZDT1,M2,SPEA2SDE,0.9975,True,5.57752449300398e-21
IGD,ZDT,ZDT1,M2,NSGAII,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT1,M2,NSGAIII,0.5575,False,0.27843401051812156
IGD,ZDT,ZDT1,M2,MOEAD,0.8830555555555556,True,4.646771557204004e-13
IGD,ZDT,ZDT1,M2,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT1,M2,ARMOEA,0.55,False,0.3461257456151704
IGD,ZDT,ZDT2,M2,SPEA2,0.6947222222222222,True,0.00023629702600046998
IGD,ZDT,ZDT2,M2,MFOSPEA2,0.7302777777777778,True,1.3707353413162363e-05
IGD,ZDT,ZDT2,M2,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT2,M2,NSGAII,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT2,M2,NSGAIII,0.03333333333333333,True,1.1959014793911051e-18
IGD,ZDT,ZDT2,M2,MOEAD,0.9086111111111111,True,1.1805490690799198e-14
IGD,ZDT,ZDT2,M2,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT2,M2,ARMOEA,0.03333333333333333,True,1.1959014793911051e-18
IGD,ZDT,ZDT3,M2,SPEA2,0.6958333333333333,True,0.00021759088981951688
IGD,ZDT,ZDT3,M2,MFOSPEA2,0.6694444444444444,True,0.0013788347498115713
IGD,ZDT,ZDT3,M2,SPEA2SDE,0.9588888888888889,True,4.3928660847134696e-18
IGD,ZDT,ZDT3,M2,NSGAII,0.9827777777777778,True,7.54647961587896e-20
IGD,ZDT,ZDT3,M2,NSGAIII,0.9833333333333333,True,6.849473201576513e-20
IGD,ZDT,ZDT3,M2,MOEAD,0.9838888888888889,True,6.216166216570142e-20
IGD,ZDT,ZDT3,M2,AGEMOEAII,0.9833333333333333,True,6.849473201576513e-20
IGD,ZDT,ZDT3,M2,ARMOEA,0.9833333333333333,True,6.849473201576513e-20
IGD,ZDT,ZDT4,M2,SPEA2,0.8147222222222222,True,2.7800794941475607e-09
IGD,ZDT,ZDT4,M2,MFOSPEA2,0.7063888888888888,True,9.734567564713231e-05
IGD,ZDT,ZDT4,M2,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT4,M2,NSGAII,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT4,M2,NSGAIII,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT4,M2,MOEAD,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT4,M2,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT4,M2,ARMOEA,1.0,True,3.5565709749847226e-21
IGD,ZDT,ZDT6,M2,SPEA2,0.8780555555555556,True,9.280744010258346e-13
IGD,ZDT,ZDT6,M2,MFOSPEA2,0.7866666666666666,True,6.164217691987269e-08
IGD,ZDT,ZDT6,M2,SPEA2SDE,1.0,True,3.5565709749847226e-21
