,corr_obj_mean,conflict_degree,skewness_mean,kurtosis_mean,cv_mean,cv_max,prop_nondominated,dom_depth_mean,dom_depth_std,n_nondominated,front_n_clusters,front_connectivity,front_diameter,front_gap_ratio,front_curvature_var,autocorr_mean,autocorr_min,info_content,neutrality_ratio,fdc_mean,n_obj,n_var
corr_obj_mean,0.9999999999999999,-0.3257013574660633,0.5138461538461538,0.6356561085972849,0.27547511312217193,0.5180995475113122,0.059775108049417505,0.3260633484162896,0.4486877828054298,0.059775108049417505,-0.0615441145633358,-0.32717242602935703,-0.15315682673214615,0.32235294117647056,-0.20416289592760178,-0.19665158371040722,-0.29521029895109746,0.23999999999999996,0.26549106091298913,0.16434389140271494,0.5488009777132643,0.38390937025494265
conflict_degree,-0.3257013574660633,0.9999999999999999,-0.11248868778280542,-0.5004524886877828,0.003076923076923077,-0.17683257918552034,0.8393402567817149,-0.9992760180995474,-0.9764705882352941,0.8393402567817149,0.8888094070811058,-0.09865307952442304,0.8351663486076515,-0.5009049773755656,-0.7135746606334842,0.15782805429864255,0.07461707280354994,-0.22633484162895925,-0.37251543263622566,-0.2616289592760181,0.5380926659530055,0.16319526020641228
skewness_mean,0.5138461538461538,-0.11248868778280542,0.9999999999999999,0.654841628959276,0.6132126696832578,0.6415384615384615,0.19271929234100618,0.10199095022624433,0.1687782805429864,0.19271929234100618,0.04930780312585372,-0.3035603774874459,0.10812401272550151,0.5911312217194571,-0.2718552036199095,-0.40443438914027147,-0.4734043757857728,0.1034389140271493,0.27529249654862115,0.11375565610859728,0.4229783145302233,0.13897171773934575
kurtosis_mean,0.6356561085972849,-0.5004524886877828,0.654841628959276,0.9999999999999999,0.33737556561085974,0.5062443438914026,-0.15226588840748667,0.49927601809954747,0.5829864253393665,-0.15226588840748667,-0.3137934088634293,-0.15606593728043971,-0.24910613898750955,0.6857013574660632,0.050316742081447964,-0.5019004524886878,-0.5103282881009316,0.15674208144796378,0.4663900522023411,0.19375565610859727,0.1686559102240764,0.011050181723024367
cv_mean,0.27547511312217193,0.003076923076923077,0.6132126696832578,0.33737556561085974,0.9999999999999999,0.8133031674208144,0.10497975069996109,-0.013303167420814478,0.016380090497737556,0.10497975069996109,0.004305368839114065,-0.37229408043478984,0.04014483017476762,0.32325791855203617,-0.11945701357466063,-0.2987330316742081,-0.3322247110513424,0.06479638009049773,0.18750572520339517,0.26597285067873305,0.2971556513471822,-0.09192400079633808
cv_max,0.5180995475113122,-0.17683257918552034,0.6415384615384615,0.5062443438914026,0.8133031674208144,0.9999999999999999,0.004479739361765581,0.16760180995475113,0.23411764705882354,0.004479739361765581,-0.09557918822833225,-0.35693007624656,-0.12876216668231552,0.5140271493212669,-0.06841628959276018,-0.2395475113122172,-0.2556618928684397,0.18289592760180995,0.14020314452708416,0.2938461538461538,0.33195766456802334,0.23533509285235737
prop_nondominated,0.059775108049417505,0.8393402567817148,0.19271929234100618,-0.15226588840748667,0.1049797506999611,0.004479739361765581,1.0,-0.839430756566801,-0.7413742394259321,1.0,0.9572864299320513,-0.32661377330526836,0.9209984576277215,-0.31950949124673506,-0.8882101407282483,0.037964659843649724,-0.09253812389700891,-0.14670015162468703,-0.16303626400040475,-0.25317314877857,0.8138501068863112,0.362082596193133
dom_depth_mean,0.3260633484162896,-0.9992760180995474,0.10199095022624433,0.49927601809954747,-0.013303167420814478,0.16760180995475113,-0.8394307565668009,0.9999999999999999,0.9770135746606334,-0.8394307565668009,-0.8887187677371244,0.09865307952442304,-0.8357999761414133,0.49149321266968327,0.7110407239819005,-0.1513122171945701,-0.06678884139359594,0.2283257918552036,0.3740373946914481,0.26380090497737557,-0.5380926659530055,-0.16657304501257691
dom_depth_std,0.4486877828054298,-0.9764705882352941,0.1687782805429864,0.5829864253393665,0.016380090497737556,0.23411764705882354,-0.7413742394259321,0.9770135746606334,0.9999999999999999,-0.7413742394259321,-0.8108595712571459,0.016334362347486434,-0.7671871660569175,0.5065158371040723,0.6251583710407239,-0.19285067873303163,-0.12647344965792726,0.2243438914027149,0.4258449830512174,0.2358371040723982,-0.40959292482989973,-0.07981222956280482
n_nondominated,0.059775108049417505,0.8393402567817148,0.19271929234100618,-0.15226588840748667,0.1049797506999611,0.004479739361765581,1.0,-0.839430756566801,-0.7413742394259321,1.0,0.9572864299320513,-0.32661377330526836,0.9209984576277215,-0.31950949124673506,-0.8882101407282483,0.037964659843649724,-0.09253812389700891,-0.14670015162468703,-0.16303626400040475,-0.25317314877857,0.8138501068863112,0.362082596193133
front_n_clusters,-0.06154411456333579,0.8888094070811058,0.04930780312585372,-0.3137934088634293,0.004305368839114065,-0.09557918822833225,0.9572864299320513,-0.8887187677371243,-0.8108595712571459,0.9572864299320513,1.0,-0.24029647158527523,0.9152339272562033,-0.42419212983271215,-0.8225520466307398,0.12494633567828925,0.000815772552433515,-0.1761122453557606,-0.2519435014251789,-0.2562827451072636,0.7105357286145272,0.34176258438941864
front_connectivity,-0.32717242602935703,-0.09865307952442304,-0.3035603774874459,-0.1560659372804397,-0.37229408043478984,-0.35693007624656,-0.32661377330526836,0.09865307952442304,0.016334362347486434,-0.32661377330526836,-0.24029647158527523,1.0,-0.3263567757790704,-0.12275030714596241,0.2640991456776767,0.136173595015679,0.18938585221117568,0.08215699081706049,-0.12924785567962338,-0.06614608118932626,-0.4018679681000597,-0.22429385721734332
front_diameter,-0.15315682673214615,0.8351663486076514,0.10812401272550151,-0.24910613898750955,0.04014483017476762,-0.12876216668231552,0.9209984576277214,-0.8357999761414133,-0.7671871660569175,0.9209984576277214,0.9152339272562032,-0.3263567757790704,1.0,-0.33107038639055825,-0.7504412955217833,-0.01498076526251193,-0.10647446417854513,-0.1930753613591417,-0.09005965297949545,-0.3373161435090677,0.5971234917328285,0.21661327321678353
front_gap_ratio,0.32235294117647056,-0.5009049773755656,0.5911312217194571,0.6857013574660632,0.32325791855203617,0.5140271493212669,-0.319509491246735,0.49149321266968327,0.5065158371040723,-0.319509491246735,-0.4241921298327121,-0.12275030714596243,-0.33107038639055825,0.9999999999999999,0.2662443438914027,-0.3612669683257918,-0.3263422250207411,0.11828054298642533,0.17155556286466483,0.20850678733031672,-0.07763526026187642,-0.022196871583367726
front_curvature_var,-0.20416289592760178,-0.7135746606334842,-0.2718552036199095,0.050316742081447964,-0.11945701357466063,-0.06841628959276018,-0.8882101407282484,0.7110407239819005,0.6251583710407239,-0.8882101407282484,-0.8225520466307398,0.2640991456776768,-0.7504412955217834,0.2662443438914027,0.9999999999999999,-0.10524886877828053,0.06448109687389851,0.03755656108597285,0.13655043559455046,0.2520361990950226,-0.8620190967008348,-0.4234777065557286
