feature_set,model,validation,balanced_acc,mcc,spearman_r,r2,mae,p_value
SET_ALL,RF_Regression,LOOCV,,,0.3744,0.1604,11.0048,0.006798
SET_ALL,RF_Regression,LOFO,,,0.3803,,,
SET_ALL,RF_Classification,LOOCV,0.5268,0.0586,,,,
SET_ALL,RF_Classification,LOFO,0.4878,-0.0698,,,,
SET_NO_STRUCTURAL,RF_Regression,LOOCV,,,0.3137,0.094,11.728,0.025001
SET_NO_STRUCTURAL,RF_Regression,LOFO,,,0.1919,,,
SET_NO_STRUCTURAL,RF_Classification,LOOCV,0.5268,0.0586,,,,
SET_NO_STRUCTURAL,RF_Classification,LOFO,0.5,0.0,,,,
SET_FRONT_ONLY,RF_Regression,LOOCV,,,0.2093,-0.0353,12.1584,0.140433
SET_FRONT_ONLY,RF_Regression,LOFO,,,0.0493,,,
SET_FRONT_ONLY,RF_Classification,LOOCV,0.4024,-0.213,,,,
SET_FRONT_ONLY,RF_Classification,LOFO,0.4768,-0.0535,,,,
SET_ALL,LogisticRegression,LOOCV,0.728,0.3841,,,,
SET_ALL,SVC_RBF,LOOCV,0.6902,0.3315,,,,
SET_ALL,KNN_5,LOOCV,0.6134,0.2795,,,,
SET_ALL,LogisticRegression,LOFO,0.439,-0.1628,,,,
SET_ALL,SVC_RBF,LOFO,0.4878,-0.0698,,,,
SET_ALL,KNN_5,LOFO,0.4878,-0.0698,,,,
