feature,rho,p_raw,p_corrected,significant
front_diameter,0.47146414422835886,0.0004790407007401848,0.0036816263940226447,True
n_obj,0.46848863951132325,0.0005259466277175207,0.0036816263940226447,True
dom_depth_std,-0.3551131221719457,0.01055535144229893,0.03803347276436422,True
n_var,0.3537988314114177,0.010866706504104064,0.03803347276436422,True
skewness_mean,0.2093212669683258,0.14043313186993003,0.32767730769650344,False
fdc_mean,-0.21122171945701354,0.13678426929590276,0.32767730769650344,False
front_connectivity,0.17369411050693498,0.22285796539987304,0.4457159307997461,False
front_gap_ratio,-0.1281447963800905,0.3701715789659482,0.6478002631904094,False
corr_obj_mean,0.10081447963800905,0.481490554792119,0.7197184168440784,False
info_content,0.09348416289592759,0.514084583460056,0.7197184168440784,False
neutrality_ratio,0.061121996137730124,0.6700526009439528,0.8527942193832128,False
kurtosis_mean,0.043800904977375564,0.7602192991892849,0.8869225157208324,False
cv_mean,0.004524886877828054,0.9748602738030748,0.9748602738030748,False
autocorr_mean,0.005701357466063347,0.9683269296134881,0.9748602738030748,False
