Problema,IVFSPEA2,SPEA2,MFOSPEA2,SPEA2SDE,NSGAII,NSGAIII,MOEAD,AGEMOEAII,ARMOEA
ZDT1,1.0,5.0,4.0,7.0,9.0,2.0,6.0,8.0,3.0
ZDT2,3.0,4.0,5.0,9.0,8.0,1.0,6.0,7.0,2.0
ZDT3,1.0,3.0,2.0,4.0,5.0,7.0,9.0,6.0,8.0
ZDT4,1.0,3.0,2.0,6.0,7.0,4.0,9.0,8.0,5.0
ZDT6,3.0,5.0,4.0,6.0,9.0,1.0,7.0,8.0,2.0
DTLZ1,4.0,5.0,6.0,7.0,9.0,1.0,2.0,8.0,3.0
DTLZ2,4.0,6.0,5.0,9.0,8.0,2.0,1.0,7.0,3.0
DTLZ3,1.0,5.0,4.0,9.0,8.0,3.0,6.0,7.0,2.0
DTLZ4,4.0,5.0,6.0,9.0,8.0,2.0,1.0,7.0,3.0
DTLZ5,4.0,6.0,5.0,9.0,8.0,2.0,1.0,7.0,3.0
DTLZ6,4.0,6.0,5.0,9.0,8.0,2.0,1.0,7.0,3.0
DTLZ7,1.0,3.0,2.0,7.0,8.0,5.0,9.0,6.0,4.0
WFG1,3.0,4.0,9.0,6.0,2.0,7.0,5.0,1.0,8.0
WFG2,3.0,2.0,1.0,6.0,4.0,7.0,9.0,8.0,5.0
WFG3,5.0,4.0,3.0,6.0,9.0,1.0,8.0,7.0,2.0
WFG4,3.0,4.0,5.0,9.0,7.0,1.0,8.0,6.0,2.0
WFG5,3.0,4.0,5.0,9.0,7.0,1.0,8.0,6.0,2.0
WFG6,7.0,1.0,8.0,9.0,5.0,6.0,4.0,3.0,2.0
WFG7,3.0,5.0,4.0,9.0,8.0,1.0,7.0,6.0,2.0
WFG8,5.0,6.0,4.0,9.0,8.0,1.0,7.0,3.0,2.0
WFG9,6.0,4.0,2.0,9.0,7.0,1.0,8.0,5.0,3.0
MaF1,4.0,6.0,5.0,7.0,9.0,2.0,1.0,8.0,3.0
MaF2,4.0,6.0,5.0,7.0,9.0,1.0,3.0,8.0,2.0
MaF3,1.0,2.0,3.0,8.0,5.0,6.0,9.0,4.0,7.0
MaF4,1.0,3.0,2.0,8.0,5.0,7.0,9.0,4.0,6.0
MaF5,3.0,4.0,5.0,9.0,8.0,1.0,6.0,7.0,2.0
MaF6,4.0,6.0,5.0,9.0,8.0,2.0,1.0,7.0,3.0
MaF7,1.0,3.0,2.0,6.0,8.0,5.0,9.0,7.0,4.0
