comparison,ivf_algo,base_algo,metric,tau,M,geometry_group,n_traces_ivf,n_traces_base,auc_ivf,auc_base,delta_auc,final_frac_ivf,final_frac_base
IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,IGD,0.5,2,irregular,120,120,0.8859090909090909,0.8983333333333333,-0.012424242424242449,1.0,1.0
IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,IGD,0.5,2,regular,720,720,0.8621590909090909,0.8609911616161615,0.001167929292929415,0.9875,0.9791666666666666
IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,IGD,0.5,3,irregular,210,210,0.8838095238095238,0.8790909090909091,0.004718614718614678,1.0,0.9904761904761905
IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,IGD,0.5,3,regular,480,480,0.8582954545454545,0.854251893939394,0.004043560606060481,0.9895833333333334,0.98125
IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,IGD,0.25,2,irregular,120,120,0.8562121212121212,0.8832954545454546,-0.027083333333333348,1.0,1.0
IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,IGD,0.25,2,regular,720,720,0.7762058080808081,0.7817739898989897,-0.005568181818181639,0.9222222222222223,0.9152777777777777
IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,IGD,0.25,3,irregular,210,210,0.748982683982684,0.7954761904761906,-0.04649350649350659,0.9333333333333333,0.9619047619047619
IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,IGD,0.25,3,regular,480,480,0.7344791666666667,0.7215814393939395,0.0128977272727272,0.90625,0.89375
IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,IGD,0.1,2,irregular,120,120,0.8325,0.8494696969696969,-0.016969696969696857,1.0,1.0
IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,IGD,0.1,2,regular,720,720,0.6697537878787879,0.6819760101010102,-0.012222222222222245,0.8486111111111111,0.8625
